Setup title,I_V_sweep_0_-2.5V_light
-0.97,-6.85536E-08
-0.98,-7.22063E-08
-0.99,-6.82746E-08
-1,-7.25271E-08
-1.01,-7.35418E-08
-1.02,-7.25195E-08
-1.03,-7.44746E-08
-1.04,-7.64416E-08
-1.05,-7.76887E-08
-1.06,-7.7791E-08
-1.07,-7.76469E-08
-1.08,-7.94412E-08
-1.09,-8.05758E-08
-1.1,-8.13809E-08
-1.11,-8.19101E-08
-1.12,-8.42299E-08
-1.13,-8.5614E-08
-1.14,-8.61557E-08
-1.15,-8.70049E-08
-1.16,-8.79718E-08
-1.17,-8.98253E-08
-1.18,-8.96595E-08
-1.19,-9.14883E-08
-1.2,-9.16272E-08
-1.21,-9.08584E-08
-1.22,-9.41555E-08
-1.23,-9.57189E-08
-1.24,-9.6064E-08
-1.25,-9.6319E-08
-1.26,-9.69189E-08
-1.27,-9.87653E-08
-1.28,-9.5808E-08
-1.29,-1.01693E-07
-1.3,-1.02329E-07
-1.31,-1.01266E-07
-1.32,-1.03739E-07
-1.33,-1.05539E-07
-1.34,-1.07602E-07
-1.35,-1.07219E-07
-1.36,-1.09149E-07
-1.37,-1.10721E-07
-1.38,-1.10667E-07
-1.39,-1.1153E-07
-1.4,-1.12529E-07
-1.41,-1.12715E-07
-1.42,-1.15626E-07
-1.43,-1.16021E-07
-1.44,-1.16949E-07
-1.45,-1.18902E-07
-1.46,-1.18791E-07
-1.47,-1.21588E-07
-1.48,-1.20759E-07
-1.49,-1.23639E-07
-1.5,-1.26218E-07
-1.51,-1.25577E-07
-1.52,-1.26842E-07
-1.53,-1.28729E-07
-1.54,-1.30539E-07
-1.55,-1.31882E-07
-1.56,-1.31958E-07
-1.57,-1.33162E-07
-1.58,-1.34738E-07
-1.59,-1.36381E-07
-1.6,-1.38359E-07
-1.61,-1.389E-07
-1.62,-1.40469E-07
-1.63,-1.42447E-07
-1.64,-1.43064E-07
-1.65,-1.43387E-07
-1.66,-1.44161E-07
-1.67,-1.46749E-07
-1.68,-1.48892E-07
-1.69,-1.48863E-07
-1.7,-1.50105E-07
-1.71,-1.54113E-07
-1.72,-1.53413E-07
-1.73,-1.56352E-07
-1.74,-1.55987E-07
-1.75,-1.5762E-07
-1.76,-1.58502E-07
-1.77,-1.61567E-07
-1.78,-1.62676E-07
-1.79,-1.63106E-07
-1.8,-1.64275E-07
-1.81,-1.68672E-07
-1.82,-1.6905E-07
-1.83,-1.6976E-07
-1.84,-1.715E-07
-1.85,-1.7204E-07
-1.86,-1.73286E-07
-1.87,-1.75868E-07
-1.88,-1.76496E-07
-1.89,-1.78036E-07
-1.9,-1.8014E-07
-1.91,-1.82063E-07
-1.92,-1.84259E-07
-1.93,-1.85012E-07
-1.94,-1.85984E-07
-1.95,-1.88907E-07
-1.96,-1.89879E-07
-1.97,-1.91984E-07
-1.98,-1.9212E-07
-1.99,-1.94887E-07
-2,-1.95905E-07
-2.01,-1.98984E-07
-2.02,-1.98673E-07
-2.03,-2.00263E-07
-2.04,-2.02686E-07
-2.05,-2.04856E-07
-2.06,-2.08256E-07
-2.07,-2.09958E-07
-2.08,-2.09705E-07
-2.09,-2.10659E-07
-2.1,-2.1268E-07
-2.11,-2.16934E-07
-2.12,-2.17574E-07
-2.13,-2.2005E-07
-2.14,-2.19868E-07
-2.15,-2.23817E-07
-2.16,-2.26021E-07
-2.17,-2.27596E-07
-2.18,-2.29044E-07
-2.19,-2.3107E-07
-2.2,-2.32445E-07
-2.21,-2.33673E-07
-2.22,-2.36558E-07
-2.23,-2.38229E-07
-2.24,-2.41662E-07
-2.25,-2.42862E-07
-2.26,-2.45851E-07
-2.27,-2.49143E-07
-2.28,-2.51191E-07
-2.29,-2.51812E-07
-2.3,-2.53214E-07
-2.31,-2.56388E-07
-2.32,-2.60158E-07
-2.33,-2.58951E-07
-2.34,-2.63955E-07
-2.35,-2.6561E-07
-2.36,-2.66009E-07
-2.37,-2.70751E-07
-2.38,-2.7228E-07
-2.39,-2.75885E-07
-2.4,-2.7866E-07
-2.41,-2.79867E-07
-2.42,-2.80665E-07
-2.43,-2.8565E-07
-2.44,-2.86477E-07
-2.45,-2.88498E-07
-2.46,-2.89295E-07
-2.47,-2.93224E-07
-2.48,-2.96908E-07
-2.49,-2.98581E-07
-2.5,-3.01943E-07
-2.5,-2.98609E-07
-2.49,-2.92259E-07
-2.48,-2.86837E-07
-2.47,-2.85077E-07
-2.46,-2.84887E-07
-2.45,-2.81415E-07
-2.44,-2.80661E-07
-2.43,-2.7558E-07
-2.42,-2.73173E-07
-2.41,-2.68528E-07
-2.4,-2.68202E-07
-2.39,-2.64879E-07
-2.38,-2.62416E-07
-2.37,-2.60196E-07
-2.36,-2.57254E-07
-2.35,-2.55248E-07
-2.34,-2.53449E-07
-2.33,-2.52585E-07
-2.32,-2.5029E-07
-2.31,-2.47334E-07
-2.3,-2.44967E-07
-2.29,-2.44085E-07
-2.28,-2.39734E-07
-2.27,-2.38885E-07
-2.26,-2.37891E-07
-2.25,-2.337E-07
-2.24,-2.3128E-07
-2.23,-2.29181E-07
-2.22,-2.28872E-07
-2.21,-2.26138E-07
-2.2,-2.23881E-07
-2.19,-2.22422E-07
-2.18,-2.22197E-07
-2.17,-2.17215E-07
-2.16,-2.16313E-07
-2.15,-2.13654E-07
-2.14,-2.12327E-07
-2.13,-2.10303E-07
-2.12,-2.09598E-07
-2.11,-2.07861E-07
-2.1,-2.05051E-07
-2.09,-2.04484E-07
-2.08,-2.02713E-07
-2.07,-1.99797E-07
-2.06,-1.99183E-07
-2.05,-1.96004E-07
-2.04,-1.9459E-07
-2.03,-1.94017E-07
-2.02,-1.91403E-07
-2.01,-1.88741E-07
-2,-1.8793E-07
-1.99,-1.8563E-07
-1.98,-1.84714E-07
-1.97,-1.81887E-07
-1.96,-1.7984E-07
-1.95,-1.78622E-07
-1.94,-1.77497E-07
-1.93,-1.74426E-07
-1.92,-1.74543E-07
-1.91,-1.72582E-07
-1.9,-1.71063E-07
-1.89,-1.69326E-07
-1.88,-1.69173E-07
-1.87,-1.67447E-07
-1.86,-1.64933E-07
-1.85,-1.62477E-07
-1.84,-1.62057E-07
-1.83,-1.59004E-07
-1.82,-1.57673E-07
-1.81,-1.56599E-07
-1.8,-1.5479E-07
-1.79,-1.53435E-07
-1.78,-1.51279E-07
-1.77,-1.50045E-07
-1.76,-1.4995E-07
-1.75,-1.48261E-07
-1.74,-1.46884E-07
-1.73,-1.45109E-07
-1.72,-1.42475E-07
-1.71,-1.42806E-07
-1.7,-1.40737E-07
-1.69,-1.38226E-07
-1.68,-1.38461E-07
-1.67,-1.36547E-07
-1.66,-1.35645E-07
-1.65,-1.33962E-07
-1.64,-1.32267E-07
-1.63,-1.31354E-07
-1.62,-1.30129E-07
-1.61,-1.27811E-07
-1.6,-1.27306E-07
-1.59,-1.26009E-07
-1.58,-1.3094E-07
-1.57,-1.23295E-07
-1.56,-1.22953E-07
-1.55,-1.21313E-07
-1.54,-1.20123E-07
-1.53,-1.18744E-07
-1.52,-1.16636E-07
-1.51,-1.16671E-07
-1.5,-1.15248E-07
-1.49,-1.14026E-07
-1.48,-1.17629E-07
-1.47,-1.11804E-07
-1.46,-1.08613E-07
-1.45,-1.12102E-07
-1.44,-1.11941E-07
-1.43,-1.10214E-07
-1.42,-1.10509E-07
-1.41,-1.09245E-07
-1.4,-1.037836E-07
-1.39,-1.022686E-07
-1.38,-1.012024E-07
-1.37,-9.98331E-08
-1.36,-9.98439E-08
-1.35,-9.83277E-08
-1.34,-9.52363E-08
-1.33,-9.56627E-08
-1.32,-9.39317E-08
-1.31,-9.5374E-08
-1.3,-9.2623E-08
-1.29,-9.01892E-08
-1.28,-9.20577E-08
-1.27,-9.05886E-08
-1.26,-8.77524E-08
-1.25,-8.81118E-08
-1.24,-8.61026E-08
-1.23,-8.40433E-08
-1.22,-8.26376E-08
-1.21,-8.333E-08
-1.2,-8.20903E-08
-1.19,-8.05635E-08
-1.18,-8.02487E-08
-1.17,-7.87893E-08
-1.16,-7.67857E-08
-1.15,-7.78907E-08
-1.14,-7.47772E-08
-1.13,-7.39211E-08
-1.12,-7.2706E-08
-1.11,-7.21221E-08
-1.1,-7.08346E-08
-1.09,-7.07027E-08
-1.08,-7.00247E-08
-1.07,-6.90415E-08
-1.06,-6.76201E-08
-1.05,-6.74587E-08
-1.04,-6.59869E-08
-1.03,-6.49817E-08
-1.02,-6.28965E-08
-1.01,-6.2325E-08
-1,-6.22885E-08
-0.99,-6.17249E-08
-0.98,-6.0691E-08
-0.97,-5.89791E-08
-0.96,-5.8162E-08
-0.95,-5.65102E-08
-0.94,-5.76004E-08
-0.93,-5.54551E-08
-0.92,-5.4895E-08
-0.91,-5.42348E-08
-0.9,-5.29931E-08
-0.89,-5.30773E-08
-0.88,-5.13402E-08
-0.87,-5.06352E-08
-0.86,-4.99295E-08
-0.85,-4.88174E-08
-0.84,-4.78265E-08
-0.83,-4.70309E-08
-0.82,-4.71356E-08
-0.81,-4.46568E-08
-0.8,-4.44631E-08
-0.79,-4.31186E-08
-0.78,-4.31368E-08
-0.77,-4.23398E-08
-0.76,-4.13626E-08
-0.75,-4.08889E-08
-0.74,-3.98782E-08
-0.73,-3.99888E-08
-0.72,-3.85652E-08
-0.71,-3.7867E-08
-0.7,-3.67396E-08
-0.69,-3.70684E-08
-0.68,-3.61486E-08
-0.67,-3.522E-08
-0.66,-3.42943E-08
-0.65,-3.37368E-08
-0.64,-3.30665E-08
-0.63,-3.12423E-08
-0.62,-3.0526E-08
-0.61,-3.03991E-08
-0.6,-3.00761E-08
-0.59,-2.97078E-08
-0.58,-2.84816E-08
-0.57,-2.72458E-08
-0.56,-2.72629E-08
-0.55,-2.61135E-08
-0.54,-2.60147E-08
-0.53,-2.54051E-08
-0.52,-2.45592E-08
-0.51,-2.43979E-08
-0.5,-2.29669E-08
-0.49,-2.19761E-08
-0.48,-2.1042E-08
-0.47,-2.13747E-08
-0.46,-2.02851E-08
-0.45,-1.95799E-08
-0.44,-1.89896E-08
-0.43,-1.84036E-08
-0.42,-1.79906E-08
-0.41,-1.74311E-08
-0.4,-1.66576E-08
-0.39,-1.61848E-08
-0.38,-1.54308E-08
-0.37,-1.47352E-08
-0.36,-1.40639E-08
-0.35,-1.34024E-08
-0.34,-1.25283E-08
-0.33,-1.19768E-08
-0.32,-1.13989E-08
-0.31,-1.12312E-08
-0.3,-1.06135E-08
-0.29,-9.869E-09
-0.28,-9.2611E-09
-0.27,-8.7782E-09
-0.26,-8.2008E-09
-0.25,-7.7461E-09
-0.24,-6.6649E-09
-0.23,-6.1991E-09
-0.22,-6.1354E-09
-0.21,-5.6697E-09
-0.2,-5.31092E-09
-0.19,-4.77444E-09
-0.18,-4.34667E-09
-0.17,-3.8174E-09
-0.16,-3.24628E-09
-0.15,-3.04416E-09
-0.14,-2.51575E-09
-0.13,-2.23503E-09
-0.12,-2.00419E-09
-0.11,-1.63763E-09
-0.1,-1.37239E-09
-0.09,-1.20383E-09
-0.08,-9.3989E-10
-0.07,-7.1871E-10
-0.06,-5.4785E-10
-0.05,-3.8342E-10
-0.04,-2.6451E-10
-0.03,-1.2701E-10
-0.02,-7.6E-12
-0.01,1.031E-10
0,2.2063E-10
