Setup title,I_V_0_1_dark
0.86,1.01791E-09
0.85,9.5216E-10
0.84,1.01199E-09
0.83,1.02076E-09
0.82,1.01775E-09
0.81,9.7949E-10
0.8,9.787E-10
0.79,9.2675E-10
0.78,9.3623E-10
0.77,9.4481E-10
0.76,9.5663E-10
0.75,9.4575E-10
0.74,9.0615E-10
0.73,8.5733E-10
0.72,8.5797E-10
0.71,9.0937E-10
0.7,9.0119E-10
0.69,8.5046E-10
0.68,7.8608E-10
0.67,7.6411E-10
0.66,8.0328E-10
0.65,8.3384E-10
0.64,8.0105E-10
0.63,7.7256E-10
0.62,7.4261E-10
0.61,7.3845E-10
0.6,7.0127E-10
0.59,7.2595E-10
0.58,6.9392E-10
0.57,6.5205E-10
0.56,6.5971E-10
0.55,6.5568E-10
0.54,6.6253E-10
0.53,7.2965E-10
0.52,7.5528E-10
0.51,7.2035E-10
0.5,6.6368E-10
0.49,6.7254E-10
0.48,6.8044E-10
0.47,7.2367E-10
0.46,6.9128E-10
0.45,6.9178E-10
0.44,6.4893E-10
0.43,6.6354E-10
0.42,6.1284E-10
0.41,5.3509E-10
0.4,5.3367E-10
0.39,5.608E-10
0.38,5.6021E-10
0.37,5.383E-10
0.36,5.4426E-10
0.35,5.638E-10
0.34,5.5524E-10
0.33,5.5708E-10
0.32,4.5732E-10
0.31,4.6426E-10
0.3,4.8314E-10
0.29,4.5307E-10
0.28,4.2767E-10
0.27,4.7477E-10
0.26,4.528E-10
0.25,4.1012E-10
0.24,4.0981E-10
0.23,3.9241E-10
0.22,3.7529E-10
0.21,3.448E-10
0.2,3.4308E-10
0.19,3.1265E-10
0.18,3.0194E-10
0.17,3.0733E-10
0.16,2.9697E-10
0.15,2.9419E-10
0.14,2.949E-10
0.13,3.0385E-10
0.12,3.0003E-10
0.11,2.6893E-10
0.1,2.4626E-10
0.09,2.2264E-10
0.08,2.431E-10
0.07,2.1047E-10
0.06,1.8433E-10
0.05,1.9114E-10
0.04,1.7755E-10
0.03,1.5146E-10
0.02,1.0889E-10
0.01,6.287E-11
0,-2.46E-12
