Setup title,I_V_sweep_0_2.5V_light
1.14,1.24682E-09
1.15,1.20225E-09
1.16,1.27421E-09
1.17,1.06935E-09
1.18,1.07252E-09
1.19,1.09872E-09
1.2,1.08891E-09
1.21,1.02807E-09
1.22,9.6838E-10
1.23,1.00395E-09
1.24,9.3206E-10
1.25,1.03564E-09
1.26,1.03759E-09
1.27,1.11569E-09
1.28,1.16002E-09
1.29,1.0963E-09
1.3,1.08223E-09
1.31,1.0394E-09
1.32,1.02905E-09
1.33,9.8119E-10
1.34,9.5864E-10
1.35,1.07579E-09
1.36,1.00886E-09
1.37,9.4314E-10
1.38,1.03048E-09
1.39,1.08465E-09
1.4,1.11771E-09
1.41,1.12195E-09
1.42,1.07199E-09
1.43,1.08273E-09
1.44,1.04733E-09
1.45,1.01201E-09
1.46,9.9257E-10
1.47,1.03683E-09
1.48,9.9041E-10
1.49,9.9466E-10
1.5,9.42E-10
1.51,9.2309E-10
1.52,8.9497E-10
1.53,9.8244E-10
1.54,1.06026E-09
1.55,9.2153E-10
1.56,8.7449E-10
1.57,9.1016E-10
1.58,9.7465E-10
1.59,9.7996E-10
1.6,9.6963E-10
1.61,9.5674E-10
1.62,9.6839E-10
1.63,1.00627E-09
1.64,9.6149E-10
1.65,1.06188E-09
1.66,1.05333E-09
1.67,1.16282E-09
1.68,1.12879E-09
1.69,1.07632E-09
1.7,1.09276E-09
1.71,1.08285E-09
1.72,1.03302E-09
1.73,9.9606E-10
1.74,1.00765E-09
1.75,9.7575E-10
1.76,9.7531E-10
1.77,1.05245E-09
1.78,1.02288E-09
1.79,1.1327E-09
1.8,1.04927E-09
1.81,1.01946E-09
1.82,1.02441E-09
1.83,1.02067E-09
1.84,1.10201E-09
1.85,1.07961E-09
1.86,9.895E-10
1.87,9.7186E-10
1.88,9.2836E-10
1.89,9.9305E-10
1.9,9.988E-10
1.91,9.1988E-10
1.92,9.9103E-10
1.93,1.0261E-09
1.94,1.03196E-09
1.95,9.7734E-10
1.96,9.5624E-10
1.97,9.9657E-10
1.98,9.568E-10
1.99,8.9941E-10
2,9.2721E-10
2.01,9.3919E-10
2.02,9.1805E-10
2.03,9.2077E-10
2.04,8.8337E-10
2.05,9.1226E-10
2.06,9.6004E-10
2.07,9.5885E-10
2.08,9.258E-10
2.09,8.2993E-10
2.1,9.6694E-10
2.11,9.987E-10
2.12,1.01325E-09
2.13,1.03277E-09
2.14,1.05334E-09
2.15,1.03326E-09
2.16,9.8743E-10
2.17,1.0593E-09
2.18,1.06473E-09
2.19,1.04903E-09
2.2,9.9128E-10
2.21,8.8013E-10
2.22,9.0577E-10
2.23,1.00275E-09
2.24,1.08863E-09
2.25,1.0892E-09
2.26,1.03069E-09
2.27,1.07509E-09
2.28,1.10772E-09
2.29,9.2765E-10
2.3,9.3267E-10
2.31,1.01104E-09
2.32,1.02517E-09
2.33,1.01806E-09
2.34,9.4835E-10
2.35,9.0289E-10
2.36,9.5797E-10
2.37,9.6809E-10
2.38,9.5513E-10
2.39,9.9421E-10
2.4,1.02173E-09
2.41,9.5612E-10
2.42,9.4554E-10
2.43,9.3654E-10
2.44,1.03888E-09
2.45,9.6423E-10
2.46,9.8531E-10
2.47,9.7586E-10
2.48,1.05032E-09
2.49,1.02153E-09
2.5,1.04236E-09
2.5,1.09389E-09
2.49,1.0599E-09
2.48,1.08138E-09
2.47,1.12424E-09
2.46,1.0735E-09
2.45,1.13573E-09
2.44,1.06087E-09
2.43,1.04631E-09
2.42,1.1416E-09
2.41,1.17293E-09
2.4,1.13865E-09
2.39,1.13424E-09
2.38,1.12841E-09
2.37,1.09376E-09
2.36,1.09808E-09
2.35,1.12747E-09
2.34,1.15183E-09
2.33,1.11621E-09
2.32,1.15981E-09
2.31,1.13759E-09
2.3,1.11163E-09
2.29,1.11644E-09
2.28,1.04907E-09
2.27,1.08243E-09
2.26,1.04871E-09
2.25,1.08679E-09
2.24,1.13023E-09
2.23,1.08006E-09
2.22,9.9402E-10
2.21,9.4654E-10
2.2,9.8318E-10
2.19,9.7419E-10
2.18,1.00533E-09
2.17,9.7542E-10
2.16,9.9303E-10
2.15,9.793E-10
2.14,9.4246E-10
2.13,9.0668E-10
2.12,9.0643E-10
2.11,8.9011E-10
2.1,8.6088E-10
2.09,8.5421E-10
2.08,8.6394E-10
2.07,8.5417E-10
2.06,8.9145E-10
2.05,8.8663E-10
2.04,8.8213E-10
2.03,8.3848E-10
2.02,8.3157E-10
2.01,8.4724E-10
2,7.9777E-10
1.99,7.9024E-10
1.98,7.7674E-10
1.97,7.749E-10
1.96,8.001E-10
1.95,7.5495E-10
1.94,7.6741E-10
1.93,7.5159E-10
1.92,7.5636E-10
1.91,7.3068E-10
1.9,7.0065E-10
1.89,7.5501E-10
1.88,8.2942E-10
1.87,7.3834E-10
1.86,7.1326E-10
1.85,7.3731E-10
1.84,7.4901E-10
1.83,8.3012E-10
1.82,7.8612E-10
1.81,8.1357E-10
1.8,8.393E-10
1.79,7.7833E-10
1.78,7.9464E-10
1.77,7.3444E-10
1.76,8.2604E-10
1.75,8.4369E-10
1.74,8.1872E-10
1.73,8.0967E-10
1.72,7.42E-10
1.71,7.6023E-10
1.7,7.6028E-10
1.69,7.4741E-10
1.68,6.9388E-10
1.67,6.6748E-10
1.66,6.894E-10
1.65,6.86E-10
1.64,7.3576E-10
1.63,6.8761E-10
1.62,6.3419E-10
1.61,6.2677E-10
1.6,6.7046E-10
1.59,6.084E-10
1.58,6.1714E-10
1.57,6.2938E-10
1.56,6.0877E-10
1.55,6.5066E-10
1.54,6.3001E-10
1.53,5.978E-10
1.52,5.756E-10
1.51,5.9466E-10
1.5,5.6431E-10
1.49,5.7524E-10
1.48,5.4913E-10
1.47,5.8792E-10
1.46,5.6078E-10
1.45,5.77E-10
1.44,5.7869E-10
1.43,5.733E-10
1.42,5.8827E-10
1.41,5.9615E-10
1.4,5.9803E-10
1.39,6.3108E-10
1.38,6.2448E-10
1.37,6.1021E-10
1.36,6.4471E-10
1.35,5.5615E-10
1.34,5.8507E-10
1.33,6.3819E-10
1.32,5.9701E-10
1.31,6.1034E-10
1.3,6.1736E-10
1.29,6.223E-10
1.28,6.4388E-10
1.27,6.0884E-10
1.26,5.6981E-10
1.25,5.3752E-10
1.24,5.0373E-10
1.23,5.6196E-10
1.22,5.8126E-10
1.21,5.8214E-10
1.2,6.1113E-10
1.19,6.3008E-10
1.18,5.4698E-10
1.17,5.8792E-10
1.16,6.0657E-10
1.15,6.1492E-10
1.14,5.7871E-10
1.13,6.2968E-10
1.12,5.5262E-10
1.11,4.8842E-10
1.1,4.88E-10
1.09,4.6638E-10
1.08,4.6255E-10
1.07,4.7778E-10
1.06,5.1744E-10
1.05,5.1166E-10
1.04,5.6913E-10
1.03,5.9241E-10
1.02,5.8999E-10
1.01,5.5373E-10
1,5.4069E-10
0.99,5.311E-10
0.98,5.0225E-10
0.97,5.2561E-10
0.96,5.4196E-10
0.95,5.8096E-10
0.94,5.6092E-10
0.93,5.7301E-10
0.92,5.7637E-10
0.91,5.4057E-10
0.9,5.4247E-10
0.89,5.5157E-10
0.88,5.7389E-10
0.87,5.6432E-10
0.86,5.5572E-10
0.85,5.0894E-10
0.84,5.0556E-10
0.83,5.3209E-10
0.82,5.5059E-10
0.81,5.0554E-10
0.8,4.8403E-10
0.79,4.9944E-10
0.78,4.788E-10
0.77,5.0017E-10
0.76,4.8529E-10
0.75,4.8384E-10
0.74,5.4738E-10
0.73,5.1058E-10
0.72,5.0709E-10
0.71,5.2506E-10
0.7,5.1664E-10
0.69,5.1549E-10
0.68,5.2919E-10
0.67,5.3251E-10
0.66,5.2574E-10
0.65,5.3504E-10
0.64,4.9442E-10
0.63,4.7252E-10
0.62,4.7885E-10
0.61,5.5008E-10
0.6,4.9159E-10
0.59,4.6586E-10
0.58,4.7962E-10
0.57,4.5741E-10
0.56,4.5435E-10
0.55,4.3986E-10
0.54,4.2729E-10
0.53,4.3592E-10
0.52,4.6858E-10
0.51,4.6297E-10
0.5,4.3644E-10
0.49,4.7659E-10
0.48,4.9286E-10
0.47,4.3087E-10
0.46,4.2794E-10
0.45,4.4015E-10
0.44,4.1875E-10
0.43,3.692E-10
0.42,3.265E-10
0.41,3.2138E-10
0.4,3.7545E-10
0.39,3.8597E-10
0.38,3.2128E-10
0.37,3.2151E-10
0.36,3.3735E-10
0.35,3.1535E-10
0.34,3.2185E-10
0.33,3.457E-10
0.32,3.3328E-10
0.31,2.9082E-10
0.3,3.0728E-10
0.29,2.8807E-10
0.28,3.0334E-10
0.27,3.2407E-10
0.26,3.2881E-10
0.25,3.3623E-10
0.24,3.0926E-10
0.23,2.8345E-10
0.22,2.5862E-10
0.21,2.6359E-10
0.2,2.5024E-10
0.19,2.5423E-10
0.18,2.5036E-10
0.17,2.4073E-10
0.16,2.2752E-10
0.15,2.2802E-10
0.14,2.2396E-10
0.13,2.0693E-10
0.12,2.0718E-10
0.11,2.1112E-10
0.1,2.023E-10
0.09,1.8586E-10
0.08,1.8609E-10
0.07,1.9395E-10
0.06,1.7244E-10
0.05,1.548E-10
0.04,1.3044E-10
0.03,1.0998E-10
0.02,7.285E-11
0.01,3.301E-11
0,-1.51E-11
