Setup title,I_V_light_0_-1
-0.98,-7.22257E-08
-0.99,-7.23232E-08
-1,-7.36032E-08
-1,-7.07607E-08
-0.99,-6.39599E-08
-0.98,-6.23021E-08
-0.97,-6.21865E-08
-0.96,-5.98626E-08
-0.95,-5.91511E-08
-0.94,-5.93216E-08
-0.93,-5.69557E-08
-0.92,-5.66192E-08
-0.91,-5.5689E-08
-0.9,-5.42115E-08
-0.89,-5.49017E-08
-0.88,-5.181E-08
-0.87,-5.22251E-08
-0.86,-5.14133E-08
-0.85,-5.0657E-08
-0.84,-4.97123E-08
-0.83,-4.90249E-08
-0.82,-4.79185E-08
-0.81,-4.63635E-08
-0.8,-4.59953E-08
-0.79,-4.54384E-08
-0.78,-4.472E-08
-0.77,-4.4639E-08
-0.76,-4.27686E-08
-0.75,-4.21074E-08
-0.74,-4.05459E-08
-0.73,-4.05718E-08
-0.72,-3.9172E-08
-0.71,-3.73844E-08
-0.7,-3.81583E-08
-0.69,-3.75614E-08
-0.68,-3.72768E-08
-0.67,-3.57332E-08
-0.66,-3.54732E-08
-0.65,-3.45049E-08
-0.64,-3.35577E-08
-0.63,-3.22578E-08
-0.62,-3.23101E-08
-0.61,-3.36158E-08
-0.6,-3.06047E-08
-0.59,-2.85831E-08
-0.58,-2.85379E-08
-0.57,-2.91598E-08
-0.56,-2.83652E-08
-0.55,-2.71724E-08
-0.54,-2.52384E-08
-0.53,-2.5141E-08
-0.52,-2.44491E-08
-0.51,-2.4463E-08
-0.5,-2.53037E-08
-0.49,-2.28254E-08
-0.48,-2.2189E-08
-0.47,-2.04979E-08
-0.46,-2.03989E-08
-0.45,-2.01985E-08
-0.44,-1.86099E-08
-0.43,-1.84316E-08
-0.42,-1.80482E-08
-0.41,-1.74548E-08
-0.4,-1.69359E-08
-0.39,-1.61489E-08
-0.38,-1.58834E-08
-0.37,-1.57062E-08
-0.36,-1.50445E-08
-0.35,-1.38068E-08
-0.34,-1.24491E-08
-0.33,-1.23225E-08
-0.32,-1.2322E-08
-0.31,-1.15413E-08
-0.3,-1.1187E-08
-0.29,-1.10218E-08
-0.28,-9.685E-09
-0.27,-8.8561E-09
-0.26,-8.4371E-09
-0.25,-8.0322E-09
-0.24,-7.1626E-09
-0.23,-7.23119E-09
-0.22,-6.67992E-09
-0.21,-6.14354E-09
-0.2,-5.73117E-09
-0.19,-5.37336E-09
-0.18,-5.19076E-09
-0.17,-4.68457E-09
-0.16,-4.01792E-09
-0.15,-3.61404E-09
-0.14,-3.35318E-09
-0.13,-2.77315E-09
-0.12,-2.45928E-09
-0.11,-2.15634E-09
-0.1,-1.82522E-09
-0.09,-1.534E-09
-0.08,-1.24967E-09
-0.07,-1.09807E-09
-0.06,-7.3905E-10
-0.05,-4.9252E-10
-0.04,-3.4274E-10
-0.03,-1.7218E-10
-0.02,-2.757E-11
-0.01,1.0281E-10
0,2.1827E-10
