Setup title,I_V_sweep_0_6V_light
1.15,5.7335E-10
1.16,5.9831E-10
1.17,6.0196E-10
1.18,6.107E-10
1.19,5.7525E-10
1.2,5.5641E-10
1.21,5.2967E-10
1.22,5.6806E-10
1.23,5.3667E-10
1.24,5.6649E-10
1.25,5.9519E-10
1.26,6.2546E-10
1.27,5.9307E-10
1.28,6.0012E-10
1.29,5.8444E-10
1.3,5.4702E-10
1.31,5.5592E-10
1.32,5.3399E-10
1.33,5.6647E-10
1.34,5.7017E-10
1.35,5.5931E-10
1.36,5.5974E-10
1.37,5.439E-10
1.38,4.9839E-10
1.39,5.551E-10
1.4,5.8203E-10
1.41,5.7646E-10
1.42,5.7823E-10
1.43,5.4637E-10
1.44,5.334E-10
1.45,5.53E-10
1.46,5.8412E-10
1.47,5.361E-10
1.48,5.4043E-10
1.49,5.4755E-10
1.5,5.713E-10
1.51,5.7113E-10
1.52,5.9576E-10
1.53,6.1347E-10
1.54,6.4544E-10
1.55,5.8502E-10
1.56,5.7558E-10
1.57,6.0352E-10
1.58,5.8032E-10
1.59,6.2049E-10
1.6,6.1786E-10
1.61,6.4725E-10
1.62,6.6148E-10
1.63,6.496E-10
1.64,6.5022E-10
1.65,6.4436E-10
1.66,6.3487E-10
1.67,6.2702E-10
1.68,6.7424E-10
1.69,6.8636E-10
1.7,6.6637E-10
1.71,6.318E-10
1.72,6.3079E-10
1.73,6.3853E-10
1.74,6.3454E-10
1.75,6.1333E-10
1.76,5.9386E-10
1.77,6.1747E-10
1.78,6.4412E-10
1.79,6.3325E-10
1.8,7.1736E-10
1.81,6.6158E-10
1.82,6.3507E-10
1.83,5.9381E-10
1.84,5.9539E-10
1.85,5.8502E-10
1.86,5.6945E-10
1.87,5.9959E-10
1.88,5.7994E-10
1.89,5.7126E-10
1.9,5.6724E-10
1.91,5.8671E-10
1.92,5.6213E-10
1.93,5.8767E-10
1.94,6.0245E-10
1.95,6.106E-10
1.96,6.1413E-10
1.97,7.3036E-10
1.98,7.1724E-10
1.99,6.8858E-10
2,6.8067E-10
2.01,7.4887E-10
2.02,7.7137E-10
2.03,7.4304E-10
2.04,7.1624E-10
2.05,7.7799E-10
2.06,7.1483E-10
2.07,7.2663E-10
2.08,7.4959E-10
2.09,7.5495E-10
2.1,6.7727E-10
2.11,6.8522E-10
2.12,6.7754E-10
2.13,6.4571E-10
2.14,5.6586E-10
2.15,5.5967E-10
2.16,5.7589E-10
2.17,5.7041E-10
2.18,5.6408E-10
2.19,6.5669E-10
2.2,6.0291E-10
2.21,5.8598E-10
2.22,6.1353E-10
2.23,6.1891E-10
2.24,6.2183E-10
2.25,6.1184E-10
2.26,6.1208E-10
2.27,6.0104E-10
2.28,5.8847E-10
2.29,5.9464E-10
2.3,6.3755E-10
2.31,6.184E-10
2.32,6.027E-10
2.33,6.1547E-10
2.34,6.6463E-10
2.35,7.0752E-10
2.36,6.6976E-10
2.37,6.4612E-10
2.38,6.4481E-10
2.39,6.5277E-10
2.4,6.5896E-10
2.41,6.3792E-10
2.42,6.4389E-10
2.43,6.327E-10
2.44,6.2208E-10
2.45,6.1816E-10
2.46,6.3441E-10
2.47,6.6281E-10
2.48,6.8738E-10
2.49,7.1293E-10
2.5,6.978E-10
2.51,7.0618E-10
2.52,6.5414E-10
2.53,6.5199E-10
2.54,7.1618E-10
2.55,7.2056E-10
2.56,7.2298E-10
2.57,6.9669E-10
2.58,7.4417E-10
2.59,7.2356E-10
2.6,7.2659E-10
2.61,7.2897E-10
2.62,7.3005E-10
2.63,7.3277E-10
2.64,7.1204E-10
2.65,7.2028E-10
2.66,7.0948E-10
2.67,6.5004E-10
2.68,6.4906E-10
2.69,6.8541E-10
2.7,6.6887E-10
2.71,6.6867E-10
2.72,7.045E-10
2.73,7.1423E-10
2.74,7.7151E-10
2.75,7.5792E-10
2.76,6.727E-10
2.77,6.3758E-10
2.78,6.4875E-10
2.79,6.7026E-10
2.8,6.8068E-10
2.81,7.4294E-10
2.82,6.8292E-10
2.83,6.8192E-10
2.84,6.8953E-10
2.85,6.9779E-10
2.86,7.2641E-10
2.87,7.1867E-10
2.88,7.1354E-10
2.89,6.7667E-10
2.9,6.9225E-10
2.91,7.344E-10
2.92,7.2564E-10
2.93,7.4061E-10
2.94,7.5548E-10
2.95,7.5376E-10
2.96,7.8412E-10
2.97,8.2953E-10
2.98,8.2307E-10
2.99,7.7966E-10
3,8.1479E-10
3.01,8.3511E-10
3.02,8.0584E-10
3.03,7.8487E-10
3.04,7.8387E-10
3.05,7.625E-10
3.06,7.7374E-10
3.07,7.5603E-10
3.08,7.7086E-10
3.09,7.463E-10
3.1,7.5744E-10
3.11,7.3416E-10
3.12,7.348E-10
3.13,7.6122E-10
3.14,7.4885E-10
3.15,7.8226E-10
3.16,7.779E-10
3.17,8.5267E-10
3.18,8.262E-10
3.19,8.2866E-10
3.2,8.4112E-10
3.21,8.7312E-10
3.22,8.7839E-10
3.23,8.2807E-10
3.24,8.5188E-10
3.25,9.2363E-10
3.26,8.5917E-10
3.27,8.7656E-10
3.28,9.288E-10
3.29,9.5915E-10
3.3,9.8387E-10
3.31,9.5574E-10
3.32,9.8522E-10
3.33,1.00202E-09
3.34,9.7863E-10
3.35,9.6524E-10
3.36,9.387E-10
3.37,9.0521E-10
3.38,8.6421E-10
3.39,9.2513E-10
3.4,9.3997E-10
3.41,9.2357E-10
3.42,9.4507E-10
3.43,9.9696E-10
3.44,9.7103E-10
3.45,1.01705E-09
3.46,9.9763E-10
3.47,9.7932E-10
3.48,9.8037E-10
3.49,9.9146E-10
3.5,1.00129E-09
3.51,1.01104E-09
3.52,1.00236E-09
3.53,1.00594E-09
3.54,9.9203E-10
3.55,1.03939E-09
3.56,1.07705E-09
3.57,1.09688E-09
3.58,1.10536E-09
3.59,1.09507E-09
3.6,1.06612E-09
3.61,1.02751E-09
3.62,9.8945E-10
3.63,1.02214E-09
3.64,1.0359E-09
3.65,1.06631E-09
3.66,1.07978E-09
3.67,1.08396E-09
3.68,1.12379E-09
3.69,1.06322E-09
3.7,1.10626E-09
3.71,1.12004E-09
3.72,1.11581E-09
3.73,1.12364E-09
3.74,1.10518E-09
3.75,1.07285E-09
3.76,1.07459E-09
3.77,1.14626E-09
3.78,1.1201E-09
3.79,1.14702E-09
3.8,1.14854E-09
3.81,1.1209E-09
3.82,1.15351E-09
3.83,1.16756E-09
3.84,1.18832E-09
3.85,1.20866E-09
3.86,1.25892E-09
3.87,1.25213E-09
3.88,1.25911E-09
3.89,1.22471E-09
3.9,1.19969E-09
3.91,1.20715E-09
3.92,1.22296E-09
3.93,1.23241E-09
3.94,1.22939E-09
3.95,1.28615E-09
3.96,1.30436E-09
3.97,1.30408E-09
3.98,1.33585E-09
3.99,1.39822E-09
4,1.35953E-09
4.01,1.31565E-09
4.02,1.34462E-09
4.03,1.31512E-09
4.04,1.37368E-09
4.05,1.39042E-09
4.06,1.37712E-09
4.07,1.37164E-09
4.08,1.40373E-09
4.09,1.40188E-09
4.1,1.38027E-09
4.11,1.41905E-09
4.12,1.44366E-09
4.13,1.44617E-09
4.14,1.49459E-09
4.15,1.51321E-09
4.16,1.49697E-09
4.17,1.51372E-09
4.18,1.52644E-09
4.19,1.53863E-09
4.2,1.57009E-09
4.21,1.60151E-09
4.22,1.66995E-09
4.23,1.64411E-09
4.24,1.68043E-09
4.25,1.67442E-09
4.26,1.68052E-09
4.27,1.67593E-09
4.28,1.67714E-09
4.29,1.73429E-09
4.3,1.66729E-09
4.31,1.68198E-09
4.32,1.62122E-09
4.33,1.56305E-09
4.34,1.72071E-09
4.35,1.68244E-09
4.36,1.67344E-09
4.37,1.65078E-09
4.38,1.65292E-09
4.39,1.68834E-09
4.4,1.81298E-09
4.41,1.6309E-09
4.42,1.56394E-09
4.43,1.58341E-09
4.44,1.63294E-09
4.45,1.64809E-09
4.46,1.63775E-09
4.47,1.63858E-09
4.48,1.62755E-09
4.49,1.73846E-09
4.5,1.78995E-09
4.51,1.77101E-09
4.52,1.93904E-09
4.53,1.9089E-09
4.54,1.97509E-09
4.55,1.92475E-09
4.56,1.80757E-09
4.57,1.72576E-09
4.58,1.74019E-09
4.59,1.67599E-09
4.6,1.72426E-09
4.61,1.74823E-09
4.62,1.75426E-09
4.63,1.72649E-09
4.64,1.72217E-09
4.65,1.75456E-09
4.66,1.75209E-09
4.67,1.74593E-09
4.68,1.7353E-09
4.69,1.76439E-09
4.7,1.77723E-09
4.71,1.78194E-09
4.72,1.816E-09
4.73,1.83678E-09
4.74,1.86917E-09
4.75,1.95597E-09
4.76,1.98233E-09
4.77,2.01339E-09
4.78,2.03231E-09
4.79,2.04038E-09
4.8,2.04145E-09
4.81,2.07858E-09
4.82,2.08327E-09
4.83,2.11446E-09
4.84,2.13532E-09
4.85,2.17661E-09
4.86,2.16635E-09
4.87,2.18153E-09
4.88,2.19791E-09
4.89,2.22705E-09
4.9,2.18113E-09
4.91,2.2621E-09
4.92,2.3213E-09
4.93,2.33619E-09
4.94,2.37386E-09
4.95,2.34141E-09
4.96,2.38219E-09
4.97,2.37782E-09
4.98,2.44661E-09
4.99,2.5117E-09
5,2.77164E-09
5.01,2.67296E-09
5.02,2.68859E-09
5.03,2.65674E-09
5.04,2.62907E-09
5.05,2.68992E-09
5.06,2.55377E-09
5.07,2.51385E-09
5.08,2.57822E-09
5.09,2.63224E-09
5.1,2.62779E-09
5.11,2.67964E-09
5.12,2.66288E-09
5.13,2.62181E-09
5.14,2.68928E-09
5.15,2.63258E-09
5.16,2.70296E-09
5.17,2.81627E-09
5.18,2.75473E-09
5.19,2.80044E-09
5.2,2.86283E-09
5.21,2.81466E-09
5.22,2.89573E-09
5.23,2.90882E-09
5.24,2.96756E-09
5.25,2.92121E-09
5.26,2.92741E-09
5.27,3.03047E-09
5.28,3.02986E-09
5.29,2.93794E-09
5.3,2.98866E-09
5.31,3.08178E-09
5.32,3.04887E-09
5.33,3.08929E-09
5.34,3.13706E-09
5.35,3.16897E-09
5.36,3.1418E-09
5.37,3.11477E-09
5.38,3.15355E-09
5.39,3.18176E-09
5.4,3.19785E-09
5.41,3.20488E-09
5.42,3.09846E-09
5.43,3.0964E-09
5.44,3.20373E-09
5.45,3.26255E-09
5.46,3.1776E-09
5.47,3.29601E-09
5.48,3.30502E-09
5.49,3.40961E-09
5.5,3.40099E-09
5.51,3.40998E-09
5.52,3.45556E-09
5.53,3.45539E-09
5.54,3.43374E-09
5.55,3.47083E-09
5.56,3.4961E-09
5.57,3.50937E-09
5.58,3.52972E-09
5.59,3.58741E-09
5.6,3.61777E-09
5.61,3.66071E-09
5.62,3.68723E-09
5.63,3.56594E-09
5.64,3.65786E-09
5.65,3.60073E-09
5.66,3.61354E-09
5.67,3.57527E-09
5.68,3.82027E-09
5.69,3.69533E-09
5.7,3.77772E-09
5.71,3.80764E-09
5.72,3.79635E-09
5.73,3.71768E-09
5.74,3.82138E-09
5.75,3.82142E-09
5.76,3.76551E-09
5.77,3.76659E-09
5.78,3.81244E-09
5.79,3.78901E-09
5.8,3.85545E-09
5.81,3.80404E-09
5.82,3.87831E-09
5.83,4.00917E-09
5.84,3.96706E-09
5.85,3.9821E-09
5.86,3.94226E-09
5.87,4.04308E-09
5.88,3.99073E-09
5.89,4.0808E-09
5.9,4.0786E-09
5.91,4.14063E-09
5.92,4.04217E-09
5.93,4.15099E-09
5.94,4.08502E-09
5.95,4.1004E-09
5.96,4.19849E-09
5.97,4.39241E-09
5.98,4.3141E-09
5.99,4.2043E-09
6,4.2309E-09
6,4.33049E-09
5.99,4.2329E-09
5.98,4.2391E-09
5.97,4.23562E-09
5.96,4.19344E-09
5.95,4.16202E-09
5.94,4.11773E-09
5.93,4.13976E-09
5.92,4.00938E-09
5.91,3.99048E-09
5.9,3.94375E-09
5.89,3.81892E-09
5.88,3.86624E-09
5.87,3.95717E-09
5.86,3.84241E-09
5.85,3.80191E-09
5.84,3.7109E-09
5.83,3.61407E-09
5.82,3.5872E-09
5.81,3.62594E-09
5.8,3.58874E-09
5.79,3.58802E-09
5.78,3.54379E-09
5.77,3.62961E-09
5.76,3.59716E-09
5.75,3.57263E-09
5.74,3.6392E-09
5.73,3.49143E-09
5.72,3.48581E-09
5.71,3.46171E-09
5.7,3.46692E-09
5.69,3.44499E-09
5.68,3.36039E-09
5.67,3.32602E-09
5.66,3.34419E-09
5.65,3.36629E-09
5.64,3.40087E-09
5.63,3.36293E-09
5.62,3.3487E-09
5.61,3.34778E-09
5.6,3.31525E-09
5.59,3.31431E-09
5.58,3.24557E-09
5.57,3.21994E-09
5.56,3.23944E-09
5.55,3.21125E-09
5.54,3.2469E-09
5.53,3.32039E-09
5.52,3.26548E-09
5.51,3.25479E-09
5.5,3.1842E-09
5.49,3.11211E-09
5.48,3.10486E-09
5.47,3.11486E-09
5.46,3.10727E-09
5.45,3.0653E-09
5.44,3.06759E-09
5.43,3.04138E-09
5.42,3.00182E-09
5.41,2.99518E-09
5.4,2.93167E-09
5.39,2.95391E-09
5.38,3.01531E-09
5.37,3.00465E-09
5.36,2.95788E-09
5.35,2.95209E-09
5.34,2.95949E-09
5.33,2.96882E-09
5.32,2.93901E-09
5.31,2.87429E-09
5.3,2.92495E-09
5.29,2.90783E-09
5.28,2.94598E-09
5.27,2.92212E-09
5.26,2.92119E-09
5.25,2.88854E-09
5.24,2.83318E-09
5.23,2.78157E-09
5.22,2.73518E-09
5.21,2.73743E-09
5.2,2.82066E-09
5.19,2.76831E-09
5.18,2.74139E-09
5.17,2.74948E-09
5.16,2.73761E-09
5.15,2.69852E-09
5.14,2.66801E-09
5.13,2.60265E-09
5.12,2.67001E-09
5.11,2.66599E-09
5.1,2.65037E-09
5.09,2.64536E-09
5.08,2.65445E-09
5.07,2.66649E-09
5.06,2.58614E-09
5.05,2.55687E-09
5.04,2.51298E-09
5.03,2.50096E-09
5.02,2.52245E-09
5.01,2.48358E-09
5,2.42315E-09
4.99,2.45182E-09
4.98,2.46892E-09
4.97,2.49236E-09
4.96,2.49009E-09
4.95,2.40783E-09
4.94,2.41036E-09
4.93,2.36898E-09
4.92,2.36983E-09
4.91,2.37218E-09
4.9,2.33599E-09
4.89,2.33996E-09
4.88,2.26062E-09
4.87,2.21811E-09
4.86,2.23244E-09
4.85,2.26957E-09
4.84,2.18297E-09
4.83,2.19511E-09
4.82,2.22289E-09
4.81,2.23883E-09
4.8,2.17763E-09
4.79,2.15146E-09
4.78,2.14268E-09
4.77,2.19347E-09
4.76,2.14783E-09
4.75,2.15029E-09
4.74,2.17462E-09
4.73,2.09576E-09
4.72,2.10637E-09
4.71,2.13888E-09
4.7,2.1618E-09
4.69,2.1098E-09
4.68,2.12465E-09
4.67,2.105E-09
4.66,2.08439E-09
4.65,2.07611E-09
4.64,2.03743E-09
4.63,2.03482E-09
4.62,2.01854E-09
4.61,2.05926E-09
4.6,2.05498E-09
4.59,2.04065E-09
4.58,2.02607E-09
4.57,2.00576E-09
4.56,2.02106E-09
4.55,2.02277E-09
4.54,2.0037E-09
4.53,1.98937E-09
4.52,1.96727E-09
4.51,1.93278E-09
4.5,1.88109E-09
4.49,1.91414E-09
4.48,1.91985E-09
4.47,1.88766E-09
4.46,1.89573E-09
4.45,1.90376E-09
4.44,1.89861E-09
4.43,1.86928E-09
4.42,1.88443E-09
4.41,1.88943E-09
4.4,1.84925E-09
4.39,1.82772E-09
4.38,1.79285E-09
4.37,1.83523E-09
4.36,1.81312E-09
4.35,1.80408E-09
4.34,1.80476E-09
4.33,1.81081E-09
4.32,1.81313E-09
4.31,1.76069E-09
4.3,1.76824E-09
4.29,1.73779E-09
4.28,1.71205E-09
4.27,1.67327E-09
4.26,1.65375E-09
4.25,1.65843E-09
4.24,1.6539E-09
4.23,1.62003E-09
4.22,1.60779E-09
4.21,1.59651E-09
4.2,1.58148E-09
4.19,1.59747E-09
4.18,1.60609E-09
4.17,1.59942E-09
4.16,1.57628E-09
4.15,1.56418E-09
4.14,1.54528E-09
4.13,1.53767E-09
4.12,1.55684E-09
4.11,1.55136E-09
4.1,1.58836E-09
4.09,1.57691E-09
4.08,1.52635E-09
4.07,1.51053E-09
4.06,1.55515E-09
4.05,1.53996E-09
4.04,1.53908E-09
4.03,1.52282E-09
4.02,1.49755E-09
4.01,1.47979E-09
4,1.49999E-09
3.99,1.43693E-09
3.98,1.43505E-09
3.97,1.44538E-09
3.96,1.45493E-09
3.95,1.45946E-09
3.94,1.46901E-09
3.93,1.47432E-09
3.92,1.42204E-09
3.91,1.3787E-09
3.9,1.38564E-09
3.89,1.3753E-09
3.88,1.35722E-09
3.87,1.35808E-09
3.86,1.33832E-09
3.85,1.34163E-09
3.84,1.35846E-09
3.83,1.34304E-09
3.82,1.36917E-09
3.81,1.40491E-09
3.8,1.35891E-09
3.79,1.34737E-09
3.78,1.3391E-09
3.77,1.33419E-09
3.76,1.39159E-09
3.75,1.34411E-09
3.74,1.31031E-09
3.73,1.29406E-09
3.72,1.28125E-09
3.71,1.28382E-09
3.7,1.25028E-09
3.69,1.22152E-09
3.68,1.22699E-09
3.67,1.19556E-09
3.66,1.17349E-09
3.65,1.17961E-09
3.64,1.21095E-09
3.63,1.20458E-09
3.62,1.25796E-09
3.61,1.20702E-09
3.6,1.18953E-09
3.59,1.18691E-09
3.58,1.20023E-09
3.57,1.19131E-09
3.56,1.17059E-09
3.55,1.16785E-09
3.54,1.15603E-09
3.53,1.12262E-09
3.52,1.13801E-09
3.51,1.14265E-09
3.5,1.14143E-09
3.49,1.1402E-09
3.48,1.15657E-09
3.47,1.15008E-09
3.46,1.11492E-09
3.45,1.11596E-09
3.44,1.06799E-09
3.43,1.08325E-09
3.42,1.09231E-09
3.41,1.09827E-09
3.4,1.09139E-09
3.39,1.12663E-09
3.38,1.08328E-09
3.37,1.05625E-09
3.36,1.05448E-09
3.35,1.0323E-09
3.34,1.0518E-09
3.33,1.03453E-09
3.32,1.00604E-09
3.31,9.9058E-10
3.3,1.00216E-09
3.29,1.01381E-09
3.28,9.9343E-10
3.27,9.6919E-10
3.26,9.5285E-10
3.25,9.4556E-10
3.24,9.639E-10
3.23,9.9105E-10
3.22,9.6473E-10
3.21,9.8266E-10
3.2,1.00262E-09
3.19,9.5536E-10
3.18,9.6505E-10
3.17,9.5218E-10
3.16,9.426E-10
3.15,9.3481E-10
3.14,9.6813E-10
3.13,1.00156E-09
3.12,1.00434E-09
3.11,9.6396E-10
3.1,9.5518E-10
3.09,9.366E-10
3.08,9.3441E-10
3.07,9.5631E-10
3.06,9.6719E-10
3.05,9.5865E-10
3.04,9.4037E-10
3.03,9.3531E-10
3.02,9.3083E-10
3.01,9.2125E-10
3,9.3631E-10
2.99,9.5293E-10
2.98,9.2915E-10
2.97,8.9296E-10
2.96,8.7424E-10
2.95,8.7658E-10
2.94,8.7184E-10
2.93,8.6319E-10
2.92,8.1752E-10
2.91,8.4789E-10
2.9,8.3838E-10
2.89,8.499E-10
2.88,8.5683E-10
2.87,8.6562E-10
2.86,8.0642E-10
2.85,8.125E-10
2.84,8.0463E-10
2.83,8.2952E-10
2.82,7.897E-10
2.81,8.0296E-10
2.8,7.8112E-10
2.79,7.8876E-10
2.78,7.8295E-10
2.77,7.7216E-10
2.76,7.5167E-10
2.75,7.5384E-10
2.74,7.3999E-10
2.73,7.133E-10
2.72,7.678E-10
2.71,7.7609E-10
2.7,7.6688E-10
2.69,7.7806E-10
2.68,7.72E-10
2.67,8.1718E-10
2.66,7.8119E-10
2.65,7.6356E-10
2.64,7.5733E-10
2.63,7.5268E-10
2.62,7.2621E-10
2.61,7.1555E-10
2.6,7.1393E-10
2.59,7.5597E-10
2.58,7.4221E-10
2.57,7.3896E-10
2.56,7.5484E-10
2.55,7.7667E-10
2.54,7.0744E-10
2.53,6.7882E-10
2.52,6.8409E-10
2.51,6.5475E-10
2.5,6.8784E-10
2.49,6.7849E-10
2.48,6.3803E-10
2.47,6.1528E-10
2.46,6.037E-10
2.45,5.9198E-10
2.44,5.9556E-10
2.43,6.0922E-10
2.42,5.8897E-10
2.41,5.9398E-10
2.4,6.1004E-10
2.39,5.9879E-10
2.38,6.0508E-10
2.37,5.7052E-10
2.36,5.7528E-10
2.35,5.6065E-10
2.34,5.7054E-10
2.33,5.9247E-10
2.32,5.7954E-10
2.31,5.8488E-10
2.3,5.6565E-10
2.29,5.7345E-10
2.28,5.8201E-10
2.27,5.7871E-10
