Setup title,I_V_0_-1.2_dark
-0.98,-6.07097E-08
-0.99,-6.18244E-08
-1,-6.40034E-08
-1.01,-6.38622E-08
-1.02,-6.46182E-08
-1.03,-6.55898E-08
-1.04,-6.49424E-08
-1.05,-6.685E-08
-1.06,-6.67935E-08
-1.07,-6.79493E-08
-1.08,-6.82225E-08
-1.09,-6.87654E-08
-1.1,-7.06343E-08
-1.11,-7.20596E-08
-1.12,-7.12829E-08
-1.13,-7.36494E-08
-1.14,-7.25221E-08
-1.15,-7.41206E-08
-1.16,-7.4704E-08
-1.17,-7.57647E-08
-1.18,-7.4925E-08
-1.19,-7.70346E-08
-1.2,-7.62005E-08
-1.2,-7.18551E-08
-1.19,-6.72336E-08
-1.18,-6.44112E-08
-1.17,-6.49428E-08
-1.16,-6.39117E-08
-1.15,-6.33783E-08
-1.14,-6.31764E-08
-1.13,-6.11204E-08
-1.12,-6.16078E-08
-1.11,-5.9656E-08
-1.1,-5.84456E-08
-1.09,-5.98718E-08
-1.08,-5.94173E-08
-1.07,-5.75698E-08
-1.06,-5.82069E-08
-1.05,-5.37373E-08
-1.04,-5.65002E-08
-1.03,-5.43184E-08
-1.02,-5.44377E-08
-1.01,-5.38614E-08
-1,-5.50065E-08
-0.99,-5.21533E-08
-0.98,-5.1983E-08
-0.97,-5.05327E-08
-0.96,-5.12112E-08
-0.95,-5.04854E-08
-0.94,-4.87416E-08
-0.93,-5.01943E-08
-0.92,-4.86405E-08
-0.91,-4.70618E-08
-0.9,-4.56456E-08
-0.89,-4.53807E-08
-0.88,-4.50217E-08
-0.87,-4.43597E-08
-0.86,-4.40924E-08
-0.85,-4.32141E-08
-0.84,-4.26053E-08
-0.83,-4.14455E-08
-0.82,-4.08442E-08
-0.81,-4.05857E-08
-0.8,-3.97331E-08
-0.79,-3.82808E-08
-0.78,-3.86343E-08
-0.77,-3.75159E-08
-0.76,-3.69994E-08
-0.75,-3.61552E-08
-0.74,-3.52224E-08
-0.73,-3.55276E-08
-0.72,-3.42759E-08
-0.71,-3.36741E-08
-0.7,-3.31532E-08
-0.69,-3.27373E-08
-0.68,-3.28536E-08
-0.67,-3.26785E-08
-0.66,-3.11009E-08
-0.65,-2.96513E-08
-0.64,-2.99273E-08
-0.63,-2.87845E-08
-0.62,-2.77131E-08
-0.61,-2.77701E-08
-0.6,-2.68451E-08
-0.59,-2.62133E-08
-0.58,-2.61143E-08
-0.57,-2.46637E-08
-0.56,-2.5127E-08
-0.55,-2.37947E-08
-0.54,-2.34459E-08
-0.53,-2.29277E-08
-0.52,-2.20538E-08
-0.51,-2.16566E-08
-0.5,-2.06625E-08
-0.49,-1.99062E-08
-0.48,-1.85478E-08
-0.47,-1.81827E-08
-0.46,-1.79468E-08
-0.45,-1.76582E-08
-0.44,-1.64844E-08
-0.43,-1.62015E-08
-0.42,-1.5552E-08
-0.41,-1.48193E-08
-0.4,-1.50771E-08
-0.39,-1.4767E-08
-0.38,-1.41771E-08
-0.37,-1.27994E-08
-0.36,-1.21804E-08
-0.35,-1.14758E-08
-0.34,-1.11364E-08
-0.33,-1.06062E-08
-0.32,-9.8069E-09
-0.31,-9.4656E-09
-0.3,-9.2826E-09
-0.29,-8.8259E-09
-0.28,-7.8359E-09
-0.27,-8.6389E-09
-0.26,-7.5524E-09
-0.25,-6.8215E-09
-0.24,-6.57246E-09
-0.23,-6.14553E-09
-0.22,-5.37559E-09
-0.21,-4.97967E-09
-0.2,-4.41182E-09
-0.19,-4.17538E-09
-0.18,-3.79848E-09
-0.17,-3.66172E-09
-0.16,-3.14925E-09
-0.15,-2.75476E-09
-0.14,-2.37361E-09
-0.13,-2.06088E-09
-0.12,-1.6186E-09
-0.11,-1.40862E-09
-0.1,-1.16228E-09
-0.09,-1.00006E-09
-0.08,-8.1643E-10
-0.07,-6.6509E-10
-0.06,-5.0161E-10
-0.05,-4.0767E-10
-0.04,-2.3694E-10
-0.03,-1.3598E-10
-0.02,-4.346E-11
-0.01,4.292E-11
0,1.2486E-10
