Setup title,I_V_0_-1_dark
-0.98,-6.24333E-08
-0.99,-6.53189E-08
-1,-6.12239E-08
-1,-5.72327E-08
-0.99,-5.33779E-08
-0.98,-5.40607E-08
-0.97,-5.31961E-08
-0.96,-5.02783E-08
-0.95,-5.01154E-08
-0.94,-4.87779E-08
-0.93,-4.73998E-08
-0.92,-4.70572E-08
-0.91,-5.03433E-08
-0.9,-4.38794E-08
-0.89,-4.76229E-08
-0.88,-4.53709E-08
-0.87,-4.4266E-08
-0.86,-4.31405E-08
-0.85,-4.26501E-08
-0.84,-4.14551E-08
-0.83,-4.26364E-08
-0.82,-4.1996E-08
-0.81,-3.96511E-08
-0.8,-4.03227E-08
-0.79,-3.94729E-08
-0.78,-3.99254E-08
-0.77,-3.6122E-08
-0.76,-3.62419E-08
-0.75,-3.59897E-08
-0.74,-3.55054E-08
-0.73,-3.46859E-08
-0.72,-3.42702E-08
-0.71,-3.41845E-08
-0.7,-3.31371E-08
-0.69,-3.14905E-08
-0.68,-3.15996E-08
-0.67,-3.2021E-08
-0.66,-3.08461E-08
-0.65,-3.07118E-08
-0.64,-2.98902E-08
-0.63,-2.8307E-08
-0.62,-2.71889E-08
-0.61,-2.79187E-08
-0.6,-2.69549E-08
-0.59,-2.53945E-08
-0.58,-2.56051E-08
-0.57,-2.52904E-08
-0.56,-2.44918E-08
-0.55,-2.42326E-08
-0.54,-2.32083E-08
-0.53,-2.26041E-08
-0.52,-2.16144E-08
-0.51,-2.12263E-08
-0.5,-2.06582E-08
-0.49,-2.02616E-08
-0.48,-1.89819E-08
-0.47,-1.85433E-08
-0.46,-1.8386E-08
-0.45,-1.79075E-08
-0.44,-1.623E-08
-0.43,-1.59466E-08
-0.42,-1.55716E-08
-0.41,-1.53136E-08
-0.4,-1.4798E-08
-0.39,-1.40955E-08
-0.38,-1.32512E-08
-0.37,-1.36186E-08
-0.36,-1.23787E-08
-0.35,-1.15366E-08
-0.34,-1.10968E-08
-0.33,-1.07973E-08
-0.32,-9.9202E-09
-0.31,-9.8333E-09
-0.3,-9.4231E-09
-0.29,-8.1254E-09
-0.28,-7.8201E-09
-0.27,-8.9172E-09
-0.26,-7.6817E-09
-0.25,-7.2578E-09
-0.24,-6.4295E-09
-0.23,-5.93224E-09
-0.22,-5.23976E-09
-0.21,-4.77919E-09
-0.2,-4.38784E-09
-0.19,-4.46771E-09
-0.18,-3.83345E-09
-0.17,-3.54318E-09
-0.16,-2.89811E-09
-0.15,-2.65091E-09
-0.14,-2.42443E-09
-0.13,-2.0248E-09
-0.12,-1.70987E-09
-0.11,-1.54045E-09
-0.1,-1.31156E-09
-0.09,-9.769E-10
-0.08,-8.3495E-10
-0.07,-6.4062E-10
-0.06,-4.5929E-10
-0.05,-3.4492E-10
-0.04,-2.107E-10
-0.03,-1.3798E-10
-0.02,-4.593E-11
-0.01,3.791E-11
0,1.1553E-10
