Setup title,"I/V Sweep_device3_0-1_dark_1/2/23"
0.99,-1.3E-13
0.98,-1E-13
0.97,5E-14
0.96,-1E-13
0.95,3E-14
0.94,-5E-14
0.93,-2.2E-13
0.92,7E-14
0.91,2E-14
0.9,-3.2E-13
0.89,-4E-14
0.88,-1E-14
0.87,-2.5E-13
0.86,-2E-13
0.85,4E-14
0.84,1.5E-13
0.83,-3E-14
0.82,-7.3E-13
0.81,1.6E-13
0.8,-2E-13
0.79,0
0.78,2E-13
0.77,-3.9E-13
0.76,4.3E-13
0.75,-2.2E-13
0.74,-4E-14
0.73,9E-14
0.72,5E-14
0.71,5E-14
0.7,-3.3E-13
0.69,0
0.68,-1.2E-13
0.67,4E-14
0.66,-2.1E-13
0.65,1.4E-13
0.64,-2E-13
0.63,-4E-14
0.62,-1.7E-13
0.61,4E-14
0.6,-1.7E-13
0.59,1.7E-13
0.58,7E-14
0.57,1.3E-13
0.56,-5.8E-13
0.55,1.3E-13
0.54,-1.3E-13
0.53,-1.8E-13
0.52,-1.6E-13
0.51,5E-14
0.5,-6E-14
0.49,-5E-14
0.48,-1.8E-13
0.47,-1.5E-13
0.46,-1.1E-13
0.45,2E-14
0.44,-3.2E-13
0.43,-8E-14
0.42,-1.4E-13
0.41,-2.4E-13
0.4,-1E-13
0.39,-5E-14
0.38,-2.7E-13
0.37,-3.3E-13
0.36,-2.2E-13
0.35,0
0.34,1E-14
0.33,-7E-14
0.32,-1.9E-13
0.31,-1.8E-13
0.3,1E-14
0.29,-1.4E-13
0.28,-2.5E-13
0.27,-1.2E-13
0.26,4E-14
0.25,-3E-13
0.24,-9E-14
0.23,-1.5E-13
0.22,5E-14
0.21,1.6E-13
0.2,-1.1E-13
0.19,6E-14
0.18,-5E-14
0.17,-2.6E-13
0.16,-2.5E-13
0.15,-1.1E-13
0.14,5E-14
0.13,-9E-14
0.12,1E-13
0.11,-1.1E-13
0.1,-1.3E-13
0.09,1.6E-13
0.08,5E-14
0.07,7E-14
0.06,4E-14
0.05,5E-14
0.04,-1.8E-13
0.03,-8E-14
0.02,-8E-14
0.01,-2.3E-13
0,-5E-14
