Setup title,"C-V Sweep_Device3_W1_Light_1k-950k"
-2.28,2.54543E-10
-2.27,2.53679E-10
-2.26,2.54685E-10
-2.25,2.51551E-10
-2.24,2.53794E-10
-2.23,2.52784E-10
-2.22,2.53827E-10
-2.21,2.51872E-10
-2.2,2.52675E-10
-2.19,2.54842E-10
-2.18,2.51455E-10
-2.17,2.53066E-10
-2.16,2.51739E-10
-2.15,2.5366E-10
-2.14,2.51695E-10
-2.13,2.53243E-10
-2.12,2.5438E-10
-2.11,2.51015E-10
-2.1,2.52734E-10
-2.09,2.51766E-10
-2.08,2.53588E-10
-2.07,2.52141E-10
-2.06,2.52076E-10
-2.05,2.54951E-10
-2.04,2.51166E-10
-2.03,2.52388E-10
-2.02,2.5049E-10
-2.01,2.53952E-10
-2,2.53429E-10
-1.99,2.5145E-10
-1.98,2.53621E-10
-1.97,2.52268E-10
-1.96,2.52816E-10
-1.95,2.5069E-10
-1.94,2.53048E-10
-1.93,2.5358E-10
-1.92,2.53121E-10
-1.91,2.51114E-10
-1.9,2.49611E-10
-1.89,2.53569E-10
-1.88,2.51191E-10
-1.87,2.51626E-10
-1.86,2.50915E-10
-1.85,2.51316E-10
-1.84,2.52388E-10
-1.83,2.50369E-10
-1.82,2.52185E-10
-1.81,2.53293E-10
-1.8,2.52144E-10
-1.79,2.5057E-10
-1.78,2.4931E-10
-1.77,2.52473E-10
-1.76,2.53153E-10
-1.75,2.49635E-10
-1.74,2.50883E-10
-1.73,2.49622E-10
-1.72,2.52059E-10
-1.71,2.53064E-10
-1.7,2.49739E-10
-1.69,2.5131E-10
-1.68,2.51623E-10
-1.67,2.52063E-10
-1.66,2.51648E-10
-1.65,2.50842E-10
-1.64,2.51611E-10
-1.63,2.51589E-10
-1.62,2.48467E-10
-1.61,2.52422E-10
-1.6,2.50469E-10
-1.59,2.52099E-10
-1.58,2.50173E-10
-1.57,2.48128E-10
-1.56,2.52548E-10
-1.55,2.50769E-10
-1.54,2.52263E-10
-1.53,2.49295E-10
-1.52,2.46782E-10
-1.51,2.52136E-10
-1.5,2.51459E-10
-1.49,2.52273E-10
-1.48,2.49263E-10
-1.47,2.47843E-10
-1.46,2.51295E-10
-1.45,2.50569E-10
-1.44,2.49138E-10
-1.43,2.49187E-10
-1.42,2.47405E-10
-1.41,2.5125E-10
-1.4,2.50977E-10
-1.39,2.48021E-10
-1.38,2.48243E-10
-1.37,2.47912E-10
-1.36,2.50284E-10
-1.35,2.50961E-10
-1.34,2.47292E-10
-1.33,2.48402E-10
-1.32,2.50299E-10
-1.31,2.49507E-10
-1.3,2.50426E-10
-1.29,2.47119E-10
-1.28,2.46754E-10
-1.27,2.49956E-10
-1.26,2.48723E-10
-1.25,2.46851E-10
-1.24,2.472E-10
-1.23,2.4572E-10
-1.22,2.499E-10
-1.21,2.49723E-10
-1.2,2.45886E-10
-1.19,2.46752E-10
-1.18,2.45341E-10
-1.17,2.48087E-10
-1.16,2.49528E-10
-1.15,2.45489E-10
-1.14,2.47499E-10
-1.13,2.4591E-10
-1.12,2.45993E-10
-1.11,2.48774E-10
-1.1,2.45495E-10
-1.09,2.43838E-10
-1.08,2.46447E-10
-1.07,2.45391E-10
-1.06,2.46476E-10
-1.05,2.45762E-10
-1.04,2.43628E-10
-1.03,2.44999E-10
-1.02,2.46668E-10
-1.01,2.44534E-10
-1,2.45105E-10
-0.99,2.43357E-10
-0.98,2.43089E-10
-0.97,2.45772E-10
-0.96,2.43225E-10
-0.95,2.43953E-10
-0.94,2.43787E-10
-0.93,2.41741E-10
-0.92,2.41883E-10
-0.91,2.4334E-10
-0.9,2.4072E-10
-0.89,2.41281E-10
-0.88,2.39851E-10
-0.87,2.39245E-10
-0.86,2.42528E-10
-0.85,2.41183E-10
-0.84,2.3923E-10
-0.83,2.38562E-10
-0.82,2.37294E-10
-0.81,2.39719E-10
-0.8,2.4017E-10
-0.79,2.36031E-10
-0.78,2.36446E-10
-0.77,2.3454E-10
-0.76,2.36924E-10
-0.75,2.37921E-10
-0.74,2.3349E-10
-0.73,2.34001E-10
-0.72,2.34842E-10
-0.71,2.33841E-10
-0.7,2.34116E-10
-0.69,2.29178E-10
-0.68,2.29607E-10
-0.67,2.30213E-10
-0.66,2.29265E-10
-0.65,2.27447E-10
-0.64,2.25068E-10
-0.63,2.25166E-10
-0.62,2.22538E-10
-0.61,2.19405E-10
-0.6,2.21222E-10
-0.59,2.18957E-10
-0.58,2.17458E-10
-0.57,2.1264E-10
-0.56,2.1183E-10
-0.55,2.0999E-10
-0.54,2.04727E-10
-0.53,2.04837E-10
-0.52,2.01564E-10
-0.51,1.98944E-10
-0.5,1.92313E-10
-0.49,1.90912E-10
-0.48,1.84778E-10
-0.47,1.80613E-10
-0.46,1.75915E-10
-0.45,1.75153E-10
-0.44,1.70689E-10
-0.43,1.67763E-10
-0.42,1.66686E-10
-0.41,1.61528E-10
-0.4,1.59598E-10
-0.39,1.60273E-10
-0.38,1.58048E-10
-0.37,1.58242E-10
-0.36,1.59899E-10
-0.35,1.57816E-10
-0.34,1.59998E-10
-0.33,1.63204E-10
-0.32,1.64254E-10
-0.31,1.66268E-10
-0.3,1.68928E-10
-0.29,1.69164E-10
-0.28,1.73489E-10
-0.27,1.75498E-10
-0.26,1.75244E-10
-0.25,1.78167E-10
-0.24,1.81407E-10
-0.23,1.81157E-10
-0.22,1.84357E-10
-0.21,1.8837E-10
-0.2,1.89456E-10
-0.19,1.93335E-10
-0.18,1.95721E-10
-0.17,1.97223E-10
-0.16,1.98203E-10
-0.15,2.02996E-10
-0.14,2.01863E-10
-0.13,2.05578E-10
-0.12,2.0632E-10
-0.11,2.07486E-10
-0.1,2.09895E-10
-0.09,2.13113E-10
-0.08,2.12585E-10
-0.07,2.16222E-10
-0.06,2.1641E-10
-0.05,2.18351E-10
-0.04,2.20823E-10
-0.03,2.22332E-10
-0.02,2.2073E-10
-0.01,2.2481E-10
0,2.22629E-10
0.01,2.26015E-10
0.02,2.25518E-10
0.03,2.26686E-10
0.04,2.26071E-10
0.05,2.29787E-10
0.06,2.27133E-10
0.07,2.31152E-10
0.08,2.31932E-10
0.09,2.31985E-10
0.1,2.32613E-10
0.11,2.34803E-10
0.12,2.32818E-10
0.13,2.35941E-10
0.14,2.3413E-10
0.15,2.3363E-10
0.16,2.35462E-10
0.17,2.36172E-10
0.18,2.35142E-10
0.19,2.38255E-10
0.2,2.35447E-10
0.21,2.36466E-10
0.22,2.39748E-10
0.23,2.39423E-10
0.24,2.39713E-10
0.25,2.41325E-10
0.26,2.41607E-10
0.27,2.39496E-10
0.28,2.41019E-10
0.29,2.40542E-10
0.3,2.40771E-10
0.31,2.41677E-10
0.32,2.41366E-10
0.33,2.40714E-10
0.34,2.43442E-10
0.35,2.42162E-10
0.36,2.43915E-10
0.37,2.44768E-10
0.38,2.44849E-10
0.39,2.42573E-10
0.4,2.44491E-10
0.41,2.42875E-10
0.42,2.4287E-10
0.43,2.4465E-10
0.44,2.42303E-10
0.45,2.43322E-10
0.46,2.45689E-10
0.47,2.4644E-10
0.48,2.44284E-10
0.49,2.47593E-10
0.5,2.45303E-10
0.51,2.4461E-10
0.52,2.45275E-10
0.53,2.46919E-10
0.54,2.44791E-10
0.55,2.48451E-10
0.56,2.47107E-10
0.57,2.47014E-10
0.58,2.461E-10
0.59,2.48846E-10
0.6,2.46046E-10
0.61,2.46724E-10
0.62,2.47797E-10
0.63,2.45254E-10
0.64,2.49514E-10
0.65,2.49495E-10
0.66,2.4923E-10
0.67,2.46744E-10
0.68,2.49887E-10
0.69,2.46829E-10
0.7,2.47128E-10
0.71,2.47049E-10
0.72,2.49736E-10
0.73,2.47088E-10
0.74,2.49972E-10
0.75,2.49209E-10
0.76,2.48232E-10
0.77,2.47693E-10
0.78,2.50966E-10
0.79,2.47886E-10
0.8,2.49234E-10
0.81,2.48939E-10
0.82,2.47802E-10
0.83,2.48898E-10
0.84,2.50095E-10
0.85,2.47777E-10
0.86,2.51152E-10
0.87,2.48615E-10
0.88,2.51125E-10
0.89,2.49885E-10
0.9,2.49904E-10
0.91,2.50963E-10
0.92,2.50543E-10
0.93,2.50392E-10
0.94,2.51565E-10
0.95,2.4986E-10
0.96,2.5227E-10
0.97,2.49773E-10
0.98,2.5276E-10
0.99,2.52646E-10
1,2.49423E-10
1.01,2.52377E-10
1.02,2.50213E-10
1.03,2.52012E-10
1.04,2.51757E-10
1.05,2.51534E-10
1.06,2.52271E-10
1.07,2.51424E-10
1.08,2.51342E-10
1.09,2.51832E-10
1.1,2.51933E-10
1.11,2.50669E-10
1.12,2.52496E-10
1.13,2.50153E-10
1.14,2.53146E-10
1.15,2.50041E-10
1.16,2.5185E-10
1.17,2.49629E-10
1.18,2.50632E-10
1.19,2.50886E-10
1.2,2.51342E-10
1.21,2.50705E-10
1.22,2.53316E-10
1.23,2.50542E-10
1.24,2.53856E-10
1.25,2.51135E-10
1.26,2.52237E-10
1.27,2.51538E-10
1.28,2.52712E-10
1.29,2.51139E-10
1.3,2.52814E-10
1.31,2.49884E-10
1.32,2.52533E-10
1.33,2.51981E-10
1.34,2.52337E-10
1.35,2.51061E-10
1.36,2.53375E-10
1.37,2.50749E-10
1.38,2.53903E-10
1.39,2.51722E-10
1.4,2.53746E-10
1.41,2.5242E-10
1.42,2.5367E-10
1.43,2.50463E-10
1.44,2.52947E-10
1.45,2.50632E-10
1.46,2.52475E-10
1.47,2.51891E-10
1.48,2.5304E-10
1.49,2.51509E-10
1.5,2.54589E-10
1.51,2.51833E-10
1.52,2.53986E-10
1.53,2.54263E-10
1.54,2.53605E-10
1.55,2.53122E-10
1.56,2.53717E-10
1.57,2.50699E-10
1.58,2.54278E-10
1.59,2.51429E-10
1.6,2.52505E-10
1.61,2.52837E-10
1.62,2.53036E-10
1.63,2.52306E-10
1.64,2.552E-10
1.65,2.52163E-10
1.66,2.54698E-10
1.67,2.52455E-10
1.68,2.5346E-10
1.69,2.54538E-10
1.7,2.53882E-10
1.71,2.51864E-10
1.72,2.545E-10
1.73,2.5171E-10
1.74,2.54351E-10
1.75,2.52577E-10
1.76,2.52042E-10
1.77,2.52147E-10
1.78,2.54032E-10
1.79,2.52119E-10
1.8,2.55534E-10
1.81,2.52934E-10
1.82,2.53595E-10
1.83,2.53813E-10
1.84,2.54297E-10
1.85,2.53673E-10
1.86,2.54903E-10
1.87,2.51887E-10
1.88,2.54606E-10
1.89,2.51813E-10
1.9,2.52483E-10
1.91,2.5297E-10
1.92,2.53231E-10
1.93,2.5232E-10
1.94,2.54938E-10
1.95,2.52535E-10
1.96,2.55861E-10
1.97,2.54335E-10
1.98,2.54984E-10
1.99,2.52967E-10
2,2.5487E-10
2.01,2.51697E-10
2.02,2.54821E-10
2.03,2.51839E-10
2.04,2.53294E-10
2.05,2.53619E-10
2.06,2.55266E-10
2.07,2.53214E-10
2.08,2.55223E-10
2.09,2.53561E-10
2.1,2.53832E-10
2.11,2.54857E-10
2.12,2.54749E-10
2.13,2.53159E-10
2.14,2.53946E-10
2.15,2.53163E-10
2.16,2.53103E-10
2.17,2.55579E-10
2.18,2.53314E-10
2.19,2.54345E-10
2.2,2.54016E-10
2.21,2.54486E-10
2.22,2.52631E-10
2.23,2.54983E-10
2.24,2.52826E-10
2.25,2.53022E-10
2.26,2.54296E-10
2.27,2.55368E-10
2.28,2.54135E-10
2.29,2.54826E-10
2.3,2.54848E-10
2.31,2.53071E-10
2.32,2.55217E-10
2.33,2.52715E-10
2.34,2.52857E-10
2.35,2.54044E-10
2.36,2.56264E-10
2.37,2.53637E-10
2.38,2.543E-10
2.39,2.55874E-10
2.4,2.53018E-10
2.41,2.55497E-10
2.42,2.5281E-10
2.43,2.54218E-10
2.44,2.53637E-10
2.45,2.55674E-10
2.46,2.54116E-10
2.47,2.55596E-10
2.48,2.54906E-10
2.49,2.53725E-10
2.5,2.53399E-10
2.51,2.55226E-10
2.52,2.53754E-10
2.53,2.53388E-10
2.54,2.55657E-10
2.55,2.53277E-10
2.56,2.5549E-10
2.57,2.5463E-10
2.58,2.55463E-10
2.59,2.53084E-10
2.6,2.54748E-10
2.61,2.54414E-10
2.62,2.53093E-10
2.63,2.5617E-10
2.64,2.55402E-10
2.65,2.55368E-10
2.66,2.53668E-10
2.67,2.55365E-10
2.68,2.53849E-10
2.69,2.53321E-10
2.7,2.56548E-10
2.71,2.54724E-10
2.72,2.54338E-10
2.73,2.53673E-10
2.74,2.54636E-10
2.75,2.54125E-10
2.76,2.53963E-10
2.77,2.55802E-10
2.78,2.54368E-10
2.79,2.54327E-10
2.8,2.56223E-10
2.81,2.5524E-10
2.82,2.54582E-10
2.83,2.5389E-10
2.84,2.56534E-10
2.85,2.55578E-10
2.86,2.5314E-10
2.87,2.5568E-10
2.88,2.54068E-10
2.89,2.55513E-10
2.9,2.54514E-10
2.91,2.56279E-10
2.92,2.556E-10
2.93,2.53622E-10
2.94,2.5407E-10
2.95,2.53986E-10
2.96,2.55953E-10
2.97,2.55266E-10
2.98,2.54086E-10
2.99,2.55814E-10
3,2.53183E-10
3,2.54036E-10
2.99,2.57137E-10
2.98,2.55252E-10
2.97,2.55552E-10
2.96,2.53811E-10
2.95,2.54673E-10
2.94,2.55293E-10
2.93,2.53845E-10
2.92,2.55132E-10
2.91,2.56133E-10
2.9,2.52979E-10
2.89,2.53883E-10
2.88,2.53681E-10
2.87,2.55824E-10
2.86,2.55621E-10
2.85,2.53388E-10
2.84,2.55016E-10
2.83,2.55709E-10
2.82,2.54822E-10
2.81,2.55117E-10
2.8,2.53277E-10
2.79,2.54881E-10
2.78,2.55064E-10
2.77,2.53689E-10
2.76,2.55833E-10
2.75,2.55785E-10
2.74,2.55E-10
2.73,2.55507E-10
2.72,2.5374E-10
2.71,2.55379E-10
2.7,2.56235E-10
2.69,2.538E-10
2.68,2.54206E-10
2.67,2.54142E-10
2.66,2.54571E-10
2.65,2.55676E-10
2.64,2.53635E-10
2.63,2.53871E-10
2.62,2.54703E-10
2.61,2.55584E-10
2.6,2.5337E-10
2.59,2.53988E-10
2.58,2.54688E-10
2.57,2.53568E-10
2.56,2.54694E-10
2.55,2.55109E-10
2.54,2.53562E-10
2.53,2.54705E-10
2.52,2.55592E-10
2.51,2.54696E-10
2.5,2.53558E-10
2.49,2.55122E-10
2.48,2.52902E-10
2.47,2.53792E-10
2.46,2.5576E-10
2.45,2.54875E-10
2.44,2.52243E-10
2.43,2.5398E-10
2.42,2.551E-10
2.41,2.5383E-10
2.4,2.5492E-10
2.39,2.53712E-10
2.38,2.53307E-10
2.37,2.54746E-10
2.36,2.55189E-10
2.35,2.54695E-10
2.34,2.55464E-10
2.33,2.54576E-10
2.32,2.52981E-10
2.31,2.53404E-10
2.3,2.5592E-10
2.29,2.55377E-10
2.28,2.52469E-10
2.27,2.52949E-10
2.26,2.55308E-10
2.25,2.53369E-10
2.24,2.54033E-10
2.23,2.55981E-10
2.22,2.54504E-10
2.21,2.52817E-10
2.2,2.53498E-10
2.19,2.55614E-10
2.18,2.55072E-10
2.17,2.53224E-10
2.16,2.52766E-10
2.15,2.54714E-10
2.14,2.53543E-10
2.13,2.53518E-10
2.12,2.55055E-10
2.11,2.54426E-10
2.1,2.53403E-10
2.09,2.52742E-10
2.08,2.54442E-10
2.07,2.53076E-10
2.06,2.52963E-10
2.05,2.55336E-10
2.04,2.54746E-10
2.03,2.52795E-10
2.02,2.52972E-10
2.01,2.53782E-10
2,2.52793E-10
1.99,2.53022E-10
1.98,2.53568E-10
1.97,2.54086E-10
1.96,2.53624E-10
1.95,2.53772E-10
1.94,2.52779E-10
1.93,2.52756E-10
1.92,2.54387E-10
1.91,2.54716E-10
1.9,2.53376E-10
1.89,2.54079E-10
1.88,2.54152E-10
1.87,2.53368E-10
1.86,2.5259E-10
1.85,2.51722E-10
1.84,2.53373E-10
1.83,2.54511E-10
1.82,2.54167E-10
1.81,2.54213E-10
1.8,2.53536E-10
1.79,2.5386E-10
1.78,2.5392E-10
1.77,2.54188E-10
1.76,2.52163E-10
1.75,2.52459E-10
1.74,2.53518E-10
1.73,2.53381E-10
1.72,2.54713E-10
1.71,2.5247E-10
1.7,2.52947E-10
1.69,2.54423E-10
1.68,2.54147E-10
1.67,2.53881E-10
1.66,2.53497E-10
1.65,2.5152E-10
1.64,2.51631E-10
1.63,2.52641E-10
1.62,2.52222E-10
1.61,2.52548E-10
1.6,2.52474E-10
1.59,2.52248E-10
1.58,2.53716E-10
1.57,2.53168E-10
1.56,2.53374E-10
1.55,2.5386E-10
1.54,2.52338E-10
1.53,2.53437E-10
1.52,2.52634E-10
1.51,2.53163E-10
1.5,2.53836E-10
1.49,2.52153E-10
1.48,2.52092E-10
1.47,2.51329E-10
1.46,2.51866E-10
1.45,2.52362E-10
1.44,2.52328E-10
1.43,2.53334E-10
1.42,2.51529E-10
1.41,2.52424E-10
1.4,2.51747E-10
1.39,2.51772E-10
1.38,2.52616E-10
1.37,2.52057E-10
1.36,2.53297E-10
1.35,2.52743E-10
1.34,2.53554E-10
1.33,2.51671E-10
1.32,2.51146E-10
1.31,2.52049E-10
1.3,2.51822E-10
1.29,2.52487E-10
1.28,2.51961E-10
1.27,2.53258E-10
1.26,2.52476E-10
1.25,2.52357E-10
1.24,2.51399E-10
1.23,2.50523E-10
1.22,2.51348E-10
1.21,2.51132E-10
1.2,2.52358E-10
1.19,2.51322E-10
1.18,2.52138E-10
1.17,2.51792E-10
1.16,2.52737E-10
1.15,2.51797E-10
1.14,2.5256E-10
1.13,2.51434E-10
1.12,2.51119E-10
1.11,2.50871E-10
1.1,2.50898E-10
1.09,2.50374E-10
1.08,2.50435E-10
1.07,2.50146E-10
1.06,2.50097E-10
1.05,2.49912E-10
1.04,2.50727E-10
1.03,2.51791E-10
1.02,2.51578E-10
1.01,2.50875E-10
1,2.51368E-10
0.99,2.51293E-10
0.98,2.51155E-10
0.97,2.51876E-10
0.96,2.51183E-10
0.95,2.50916E-10
0.94,2.51821E-10
0.93,2.51058E-10
0.92,2.51493E-10
0.91,2.50358E-10
0.9,2.49778E-10
0.89,2.49924E-10
0.88,2.50346E-10
0.87,2.50155E-10
0.86,2.49629E-10
0.85,2.49765E-10
0.84,2.5062E-10
0.83,2.49802E-10
0.82,2.50518E-10
0.81,2.50529E-10
0.8,2.49915E-10
0.79,2.50376E-10
0.78,2.49554E-10
0.77,2.49236E-10
0.76,2.48189E-10
0.75,2.49102E-10
0.74,2.49539E-10
0.73,2.48933E-10
0.72,2.49192E-10
0.71,2.49282E-10
0.7,2.49268E-10
0.69,2.4809E-10
0.68,2.48718E-10
0.67,2.47891E-10
0.66,2.4873E-10
0.65,2.48556E-10
0.64,2.47938E-10
0.63,2.48549E-10
0.62,2.48111E-10
0.61,2.47621E-10
0.6,2.46643E-10
0.59,2.47284E-10
0.58,2.46413E-10
0.57,2.46824E-10
0.56,2.47203E-10
0.55,2.46019E-10
0.54,2.46705E-10
0.53,2.4692E-10
0.52,2.45593E-10
0.51,2.46257E-10
0.5,2.46594E-10
0.49,2.46483E-10
0.48,2.46757E-10
0.47,2.45162E-10
0.46,2.44731E-10
0.45,2.44444E-10
0.44,2.43634E-10
0.43,2.44876E-10
0.42,2.44017E-10
0.41,2.43411E-10
0.4,2.44305E-10
0.39,2.43649E-10
0.38,2.4428E-10
0.37,2.44459E-10
0.36,2.43192E-10
0.35,2.43096E-10
0.34,2.42164E-10
0.33,2.42202E-10
0.32,2.42546E-10
0.31,2.41893E-10
0.3,2.41614E-10
0.29,2.41424E-10
0.28,2.41765E-10
0.27,2.40513E-10
0.26,2.40357E-10
0.25,2.39521E-10
0.24,2.394E-10
0.23,2.39552E-10
0.22,2.38948E-10
0.21,2.38263E-10
0.2,2.37675E-10
0.19,2.37539E-10
0.18,2.36814E-10
0.17,2.36496E-10
0.16,2.35992E-10
0.15,2.35126E-10
0.14,2.35292E-10
0.13,2.34857E-10
0.12,2.33899E-10
0.11,2.32804E-10
0.1,2.32421E-10
0.09,2.32543E-10
0.08,2.31503E-10
0.07,2.31207E-10
0.06,2.29776E-10
0.05,2.28103E-10
0.04,2.2864E-10
0.03,2.27536E-10
0.02,2.26821E-10
0.01,2.26225E-10
0,2.25664E-10
-0.01,2.23406E-10
-0.02,2.22497E-10
-0.03,2.21079E-10
-0.04,2.1961E-10
-0.05,2.198E-10
-0.06,2.18217E-10
-0.07,2.16023E-10
-0.08,2.14947E-10
-0.09,2.13922E-10
-0.1,2.10959E-10
-0.11,2.09439E-10
-0.12,2.07994E-10
-0.13,2.06829E-10
-0.14,2.05071E-10
-0.15,2.02722E-10
-0.16,2.0077E-10
-0.17,1.98067E-10
-0.18,1.97097E-10
-0.19,1.94535E-10
-0.2,1.92041E-10
-0.21,1.90281E-10
-0.22,1.87466E-10
-0.23,1.84879E-10
-0.24,1.82881E-10
-0.25,1.80859E-10
-0.26,1.78952E-10
-0.27,1.75915E-10
-0.28,1.7357E-10
-0.29,1.71774E-10
-0.3,1.69826E-10
-0.31,1.67489E-10
-0.32,1.64564E-10
-0.33,1.64312E-10
