Setup title,I_V_Dark_0-4
1.96,-1.1E-12
1.98,-1.6E-12
2,-6E-13
2.02,-1.4E-12
2.04,-1.3E-12
2.06,-1.6E-12
2.08,-1.1E-12
2.1,-8E-13
2.12,-1.1E-12
2.14,-1.1E-12
2.16,-1.1E-12
2.18,-9E-13
2.2,-1.3E-12
2.22,-1.1E-12
2.24,-1.3E-12
2.26,-1.6E-12
2.28,-1.9E-12
2.3,-1.4E-12
2.32,-1.5E-12
2.34,-1.2E-12
2.36,-1.8E-12
2.38,-1.4E-12
2.4,-1.5E-12
2.42,-9E-13
2.44,-1.9E-12
2.46,-1.5E-12
2.48,-2.1E-12
2.5,-1.5E-12
2.52,-1.9E-12
2.54,-8E-13
2.56,-9E-13
2.58,-1E-12
2.6,-1.6E-12
2.62,-1.1E-12
2.64,-1.7E-12
2.66,-5E-13
2.68,-1.9E-12
2.7,-9E-13
2.72,-2.3E-12
2.74,-8E-13
2.76,-2.1E-12
2.78,-7E-13
2.8,-2.4E-12
2.82,-6E-13
2.84,-2.2E-12
2.86,-1E-13
2.88,-2.4E-12
2.9,-2E-13
2.92,-2.7E-12
2.94,0
2.96,-2.4E-12
2.98,-3E-13
3,-2.5E-12
3.02,0
3.04,-2.3E-12
3.06,-1E-13
3.08,-2.1E-12
3.1,-4E-13
3.12,-1.8E-12
3.14,-8E-13
3.16,-1.8E-12
3.18,-8E-13
3.2,-1.6E-12
3.22,-5E-13
3.24,-2.1E-12
3.26,-1E-13
3.28,-1.3E-12
3.3,-1E-12
3.32,-2.1E-12
3.34,-5E-13
3.36,-1.8E-12
3.38,-5E-13
3.4,-1.7E-12
3.42,-1.1E-12
3.44,-2E-12
3.46,-1.5E-12
3.48,-1.9E-12
3.5,-1.7E-12
3.52,-1.5E-12
3.54,-1.7E-12
3.56,-1.6E-12
3.58,-1.8E-12
3.6,-1.4E-12
3.62,-1.6E-12
3.64,-9E-13
3.66,-2E-12
3.68,-1.7E-12
3.7,-2E-12
3.72,-1.8E-12
3.74,-2.1E-12
3.76,-1.7E-12
3.78,-1.8E-12
3.8,-1.5E-12
3.82,-1.8E-12
3.84,-1.4E-12
3.86,-1.9E-12
3.88,-1.6E-12
3.9,-2.1E-12
3.92,-1.7E-12
3.94,-2.1E-12
3.96,-1.7E-12
3.98,-2.2E-12
4,-1.3E-12
4,-2.8E-12
3.98,-2.4E-12
3.96,-1.6E-12
3.94,-2.5E-12
3.92,-1.2E-12
3.9,-2E-12
3.88,-1.6E-12
3.86,-2.7E-12
3.84,-2E-12
3.82,-3.3E-12
3.8,-1.6E-12
3.78,-2.3E-12
3.76,-1.7E-12
3.74,-2.9E-12
3.72,-2.2E-12
3.7,-2.9E-12
3.68,-1.7E-12
3.66,-3E-12
3.64,-2.3E-12
3.62,-2.9E-12
3.6,-1.9E-12
3.58,-2.6E-12
3.56,-1.8E-12
3.54,-3.1E-12
3.52,-2.1E-12
3.5,-3E-12
3.48,-2.5E-12
3.46,-2.6E-12
3.44,-1.9E-12
3.42,-3.1E-12
3.4,-1.8E-12
3.38,-3.5E-12
3.36,-2.6E-12
3.34,-3E-12
3.32,-2.5E-12
3.3,-3.6E-12
3.28,-2.6E-12
3.26,-3.3E-12
3.24,-2.1E-12
3.22,-3.3E-12
3.2,-2E-12
3.18,-3.3E-12
3.16,-2.2E-12
3.14,-3.1E-12
3.12,-2.3E-12
3.1,-3.6E-12
3.08,-2.6E-12
3.06,-3.6E-12
3.04,-2.5E-12
3.02,-3.8E-12
3,-2E-12
2.98,-4.3E-12
2.96,-2.1E-12
2.94,-3.5E-12
2.92,-1.7E-12
2.9,-3.4E-12
2.88,-1.7E-12
2.86,-3.9E-12
2.84,-2.5E-12
2.82,-2.8E-12
2.8,-2.5E-12
2.78,-2.8E-12
2.76,-1.7E-12
2.74,-4.5E-12
2.72,-2.5E-12
2.7,-2.2E-12
2.68,-1.6E-12
2.66,-4.4E-12
2.64,-3.8E-12
2.62,-4.6E-12
2.6,-2.5E-12
2.58,-4.9E-12
2.56,-2.6E-12
2.54,-3.7E-12
2.52,-4.5E-12
2.5,-4.5E-12
2.48,-4.8E-12
2.46,-3.7E-12
2.44,-8E-13
2.42,-3.2E-12
2.4,-1.5E-12
2.38,-2.3E-12
2.36,-1.8E-12
2.34,-2E-12
2.32,-2.3E-12
2.3,-5.7E-12
2.28,-5E-13
2.26,-3.5E-12
2.24,-6E-13
2.22,-2.3E-12
2.2,-9E-13
2.18,-1.7E-12
2.16,-2.4E-12
2.14,-5.5E-12
2.12,-4.4E-12
2.1,-2.7E-12
2.08,-1.6E-12
2.06,-5.2E-12
2.04,-5.1E-12
2.02,-5.7E-12
2,-5.4E-12
1.98,-6.1E-12
1.96,-3.3E-12
1.94,-5E-13
1.92,-2.2E-12
1.9,-5.2E-12
1.88,-3.8E-12
1.86,-4E-13
1.84,-2.8E-12
1.82,-5.7E-12
1.8,-2.3E-12
1.78,-3.4E-12
1.76,-3.9E-12
1.74,-7E-13
1.72,-2.8E-12
1.7,-2.2E-12
1.68,-1.7E-12
1.66,-5.7E-12
1.64,-2.1E-12
1.62,-2.3E-12
1.6,-2.2E-12
1.58,-7E-13
1.56,-3.6E-12
1.54,-3.4E-12
1.52,-8E-13
1.5,-4.1E-12
1.48,-3.9E-12
1.46,4E-13
1.44,-4.7E-12
1.42,-4.6E-12
1.4,-2.4E-12
1.38,-2.4E-12
1.36,-5.8E-12
1.34,-1.9E-12
1.32,-1.7E-12
1.3,-3.1E-12
1.28,-3.3E-12
1.26,-1.2E-12
1.24,-4.7E-12
1.22,-1E-12
1.2,-4.4E-12
1.18,-5.5E-12
1.16,-2.4E-12
1.14,-2E-12
1.12,-3.4E-12
1.1,-4.1E-12
1.08,-2E-13
1.06,-5.3E-12
1.04,-5.7E-12
1.02,-2.1E-12
1,-1.5E-12
0.98,-4.2E-12
0.96,-5.5E-12
0.94,-2.7E-12
0.92,-1.4E-12
0.9,-4E-12
0.88,-4.9E-12
0.86,-1.3E-12
0.84,-5E-13
0.82,-4.6E-12
0.8,-5.1E-12
0.78,-4.6E-12
0.76,-1E-12
0.74,-4.8E-12
0.72,-5E-12
0.7,-1.4E-12
0.68,-2E-12
0.66,-4.3E-12
0.64,-5E-12
0.62,-1E-12
0.6,-8E-13
0.58,-5E-12
0.56,-4.1E-12
0.54,-1.8E-12
0.52,-1.1E-12
0.5,-4.8E-12
0.48,-4.2E-12
0.46,-2.2E-12
0.44,-1.4E-12
0.42,-4.5E-12
0.4,-3.8E-12
0.38,-2.7E-12
0.36,-1.2E-12
0.34,-4.7E-12
0.32,-4.8E-12
0.3,-1.7E-12
0.28,-4E-12
0.26,-4E-12
0.24,-2E-12
0.22,-1.7E-12
0.2,-4.1E-12
0.18,-4.1E-12
0.16,-1.9E-12
0.14,-2E-12
0.12,-3.9E-12
0.1,-4.1E-12
0.08,-2.2E-12
0.06,-2.1E-12
0.04,-3.6E-12
0.02,-4E-12
0,-2.6E-12
