Setup title,I_V_Light_0-1
-0.89,-2.7E-12
-0.9,-2.4E-12
-0.91,-2.4E-12
-0.92,-2.4E-12
-0.93,-2.5E-12
-0.94,-2.3E-12
-0.95,-2.8E-12
-0.96,-2.2E-12
-0.97,-2.7E-12
-0.98,-2E-12
-0.99,-2.4E-12
-1,-1.9E-12
-1,-1.8E-12
-0.99,-1.1E-12
-0.98,-9E-13
-0.97,-1.1E-12
-0.96,-5E-13
-0.95,-6E-13
-0.94,-5E-13
-0.93,-1E-13
-0.92,9E-13
-0.91,2E-13
-0.9,1.1E-12
-0.89,8E-13
-0.88,6E-13
-0.87,9E-13
-0.86,9E-13
-0.85,8E-13
-0.84,1.4E-12
-0.83,1.2E-12
-0.82,-2E-12
-0.81,-2E-12
-0.8,-2E-12
-0.79,-1.4E-12
-0.78,-9E-13
-0.77,-8E-13
-0.76,-1.2E-12
-0.75,-1.3E-12
-0.74,-1.9E-12
-0.73,-1.9E-12
-0.72,-2.3E-12
-0.71,-1.9E-12
-0.7,-2.2E-12
-0.69,-2.3E-12
-0.68,-1.7E-12
-0.67,-2E-12
-0.66,-1.8E-12
-0.65,-1.9E-12
-0.64,4.6E-12
-0.63,4.5E-12
-0.62,4.3E-12
-0.61,4.2E-12
-0.6,4.8E-12
-0.59,4.3E-12
-0.58,4.4E-12
-0.57,4.8E-12
-0.56,4.8E-12
-0.55,4.7E-12
-0.54,4.4E-12
-0.53,4.5E-12
-0.52,4E-12
-0.51,2.7E-12
-0.5,2E-12
-0.49,2.1E-12
-0.48,3.6E-12
-0.47,1.3E-12
-0.46,2E-12
-0.45,1.5E-12
-0.44,1.5E-12
-0.43,-1.3E-12
-0.42,-8E-13
-0.41,-1.8E-12
-0.4,-8E-13
-0.39,-1.9E-12
-0.38,-2E-12
-0.37,-9E-13
-0.36,-1.3E-12
-0.35,-1.2E-12
-0.34,-9E-13
-0.33,-7E-13
-0.32,-1.4E-12
-0.31,-6E-13
-0.3,-8E-13
-0.29,-1.2E-12
-0.28,-8E-13
-0.27,-9E-13
-0.26,-5E-13
-0.25,-2.9E-12
-0.24,-3.4E-12
-0.23,-3.4E-12
-0.22,-3.6E-12
-0.21,-2.9E-12
-0.2,-3.9E-12
-0.19,-4.1E-12
-0.18,-4E-12
-0.17,-3.9E-12
-0.16,-4E-12
-0.15,-3.4E-12
-0.14,-3.7E-12
-0.13,-3.6E-12
-0.12,-3.3E-12
-0.11,-3.4E-12
-0.1,-3.3E-12
-0.09,-3.6E-12
-0.08,-3.4E-12
-0.07,-3.2E-12
-0.06,-4E-12
-0.05,-3.4E-12
-0.04,-2.8E-12
-0.03,-3.2E-12
-0.02,-3.6E-12
-0.01,-3.8E-12
0,-3.2E-12
