Setup title,"I/V Sweep_device3_0-1_dark_1/2/23"
-0.85,-1.4E-12
-0.86,-1.92E-12
-0.87,-2.17E-12
-0.88,-2.1E-12
-0.89,-2.56E-12
-0.9,-3.16E-12
-0.91,-3.33E-12
-0.92,-3.32E-12
-0.93,-4.02E-12
-0.94,-4.7E-12
-0.95,-5.04E-12
-0.96,-5.09E-12
-0.97,-5.79E-12
-0.98,-6.08E-12
-0.99,-6.43E-12
-1,-6.99E-12
-1,-5.81E-12
-0.99,-2.76E-12
-0.98,6.4E-13
-0.97,3.23E-12
-0.96,5.23E-12
-0.95,6.57E-12
-0.94,7.01E-12
-0.93,7.05E-12
-0.92,6.66E-12
-0.91,6.19E-12
-0.9,5.55E-12
-0.89,4.48E-12
-0.88,3.62E-12
-0.87,3.06E-12
-0.86,2.57E-12
-0.85,1.83E-12
-0.84,1.66E-12
-0.83,1.46E-12
-0.82,1.16E-12
-0.81,7.4E-13
-0.8,7.8E-13
-0.79,8.9E-13
-0.78,7.9E-13
-0.77,3.3E-13
-0.76,5.4E-13
-0.75,5E-13
-0.74,2E-13
-0.73,3.2E-13
-0.72,3.5E-13
-0.71,2.9E-13
-0.7,-1E-14
-0.69,1.3E-13
-0.68,3.6E-13
-0.67,1.3E-13
-0.66,-1.4E-13
-0.65,-8E-14
-0.64,2.3E-13
-0.63,-4E-14
-0.62,6E-14
-0.61,-3E-14
-0.6,-1.5E-13
-0.59,-1.3E-13
-0.58,-4E-14
-0.57,6E-14
-0.56,0
-0.55,-1.5E-13
-0.54,-1E-14
-0.53,1.8E-13
-0.52,1.1E-13
-0.51,-2.8E-13
-0.5,0
-0.49,-1.7E-13
-0.48,-1.8E-13
-0.47,-4E-14
-0.46,1.1E-13
-0.45,3E-14
-0.44,-3.5E-13
-0.43,-2.1E-13
-0.42,1.7E-13
-0.41,-2.8E-13
-0.4,-1.9E-13
-0.39,1E-13
-0.38,3E-14
-0.37,-3.6E-13
-0.36,0
-0.35,-1.2E-13
-0.34,-1.2E-13
-0.33,-1E-13
-0.32,-4E-14
-0.31,-1.1E-13
-0.3,-2.2E-13
-0.29,-1.9E-13
-0.28,4E-14
-0.27,-2E-14
-0.26,-2.2E-13
-0.25,-1.8E-13
-0.24,2.2E-13
-0.23,8E-14
-0.22,-2.5E-13
-0.21,9E-14
-0.2,-1E-14
-0.19,-1.8E-13
-0.18,-1.5E-13
-0.17,1.4E-13
-0.16,1.4E-13
-0.15,-2.3E-13
-0.14,1.7E-13
-0.13,1.1E-13
-0.12,-2.9E-13
-0.11,-1.5E-13
-0.1,1.2E-13
-0.09,8E-14
-0.08,-2.2E-13
-0.07,-4E-14
-0.06,1E-13
-0.05,3E-14
-0.04,-2.3E-13
-0.03,-4E-14
-0.02,2.1E-13
-0.01,-8E-14
0,-2E-14
