Setup title,I_V_Light_0--2
-0.94,-3E-13
-0.95,-4E-13
-0.96,-1.4E-12
-0.97,1.2E-12
-0.98,2E-12
-0.99,1.3E-12
-1,-9E-13
-1.01,-1.2E-12
-1.02,-7E-13
-1.03,-1.5E-12
-1.04,-1.3E-12
-1.05,1.3E-12
-1.06,1.2E-12
-1.07,1.2E-12
-1.08,1.8E-12
-1.09,-2E-13
-1.1,-1.5E-12
-1.11,-1E-12
-1.12,-8E-13
-1.13,-2.1E-12
-1.14,2E-13
-1.15,9E-13
-1.16,1.4E-12
-1.17,1E-13
-1.18,-1.3E-12
-1.19,-2E-12
-1.2,-1.5E-12
-1.21,-1.5E-12
-1.22,6E-13
-1.23,8E-13
-1.24,1E-12
-1.25,1E-12
-1.26,-7E-13
-1.27,-1.3E-12
-1.28,-1.6E-12
-1.29,-1.8E-12
-1.3,2E-13
-1.31,-1E-13
-1.32,5E-13
-1.33,-1.1E-12
-1.34,-1.3E-12
-1.35,-1.5E-12
-1.36,-1.4E-12
-1.37,1E-13
-1.38,1.4E-12
-1.39,5E-13
-1.4,9E-13
-1.41,-5E-13
-1.42,-1.4E-12
-1.43,-1.5E-12
-1.44,-1.1E-12
-1.45,-1.7E-12
-1.46,0
-1.47,3E-13
-1.48,4E-13
-1.49,-2E-13
-1.5,-1.2E-12
-1.51,-1.9E-12
-1.52,-2.6E-12
-1.53,2E-13
-1.54,2E-13
-1.55,0
-1.56,0
-1.57,-1.6E-12
-1.58,-1.1E-12
-1.59,-2.5E-12
-1.6,-1.5E-12
-1.61,2E-13
-1.62,1E-13
-1.63,0
-1.64,-1E-13
-1.65,-8E-13
-1.66,-1.4E-12
-1.67,-1.3E-12
-1.68,-1.9E-12
-1.69,-1E-13
-1.7,0
-1.71,-1.4E-12
-1.72,-1.3E-12
-1.73,-4E-13
-1.74,3E-13
-1.75,1E-13
-1.76,1E-13
-1.77,-4E-13
-1.78,-9E-13
-1.79,-1E-12
-1.8,-1.2E-12
-1.81,-5E-13
-1.82,-2E-13
-1.83,-9E-13
-1.84,-7E-13
-1.85,-9E-13
-1.86,-8E-13
-1.87,-3E-13
-1.88,-7E-13
-1.89,-9E-13
-1.9,-9E-13
-1.91,-8E-13
-1.92,-4E-13
-1.93,-7E-13
-1.94,-1.2E-12
-1.95,-6E-13
-1.96,-9E-13
-1.97,-9E-13
-1.98,-5E-13
-1.99,-7E-13
-2,-1.5E-12
-2,-1E-13
-1.99,-1.6E-12
-1.98,-1.1E-12
-1.97,-5E-13
-1.96,-3E-13
-1.95,-3E-13
-1.94,-3E-13
-1.93,-9E-13
-1.92,-1.6E-12
-1.91,-8E-13
-1.9,-8E-13
-1.89,-5E-13
-1.88,-1.3E-12
-1.87,-7E-13
-1.86,-1.3E-12
-1.85,1E-13
-1.84,0
-1.83,-1.3E-12
-1.82,-1.9E-12
-1.81,-1.2E-12
-1.8,-1E-12
-1.79,-6E-13
-1.78,0
-1.77,-1.1E-12
-1.76,-1.3E-12
-1.75,-6E-13
-1.74,-3E-13
-1.73,-2E-13
-1.72,-1.3E-12
-1.71,-1.5E-12
-1.7,-1.2E-12
-1.69,-7E-13
-1.68,0
-1.67,-1.3E-12
-1.66,-1.1E-12
-1.65,-1E-12
-1.64,-1E-13
-1.63,-1E-13
-1.62,-1E-13
-1.61,-1.8E-12
-1.6,-1.6E-12
-1.59,-1.3E-12
-1.58,2E-13
-1.57,-5E-13
-1.56,-1.5E-12
-1.55,-1.8E-12
-1.54,6E-13
-1.53,1E-12
-1.52,-1.1E-12
-1.51,-1.2E-12
-1.5,-5E-13
-1.49,8E-13
-1.48,7E-13
-1.47,-6E-13
-1.46,-3E-13
-1.45,-8E-13
-1.44,9E-13
-1.43,4E-13
-1.42,-9E-13
-1.41,-1.6E-12
-1.4,-7E-13
-1.39,3E-13
-1.38,1E-12
-1.37,1E-12
-1.36,-1E-12
-1.35,-1.5E-12
-1.34,5E-13
-1.33,1.3E-12
-1.32,1.3E-12
-1.31,-1.6E-12
-1.3,-1.4E-12
-1.29,5E-13
-1.28,5E-13
-1.27,3E-13
-1.26,-2.3E-12
-1.25,-1.9E-12
-1.24,0
-1.23,5E-13
-1.22,-1.5E-12
-1.21,-2.7E-12
-1.2,-2.2E-12
-1.19,-2.1E-12
-1.18,7E-13
-1.17,1.4E-12
-1.16,-1.5E-12
-1.15,-2.3E-12
-1.14,1E-13
-1.13,7E-13
-1.12,-9E-13
-1.11,-2.4E-12
-1.1,-2E-12
-1.09,-1.3E-12
-1.08,1.3E-12
-1.07,1.3E-12
-1.06,-2.7E-12
-1.05,-3.2E-12
-1.04,7E-13
-1.03,1.7E-12
-1.02,-3E-12
-1.01,-2.7E-12
-1,7E-13
-0.99,7E-13
-0.98,-2.1E-12
-0.97,-3E-12
-0.96,1.4E-12
-0.95,-1E-13
-0.94,-2.7E-12
-0.93,-2.9E-12
-0.92,9E-13
-0.91,1.2E-12
-0.9,-2.4E-12
-0.89,-2.7E-12
-0.88,6E-13
-0.87,1E-12
-0.86,-2.2E-12
-0.85,-2.3E-12
-0.84,3E-13
-0.83,-2E-13
-0.82,-2.7E-12
-0.81,7E-13
-0.8,1.6E-12
-0.79,-2.2E-12
-0.78,-2.7E-12
-0.77,5E-13
-0.76,1E-12
-0.75,-2.3E-12
-0.74,-2.6E-12
-0.73,5E-13
-0.72,1.2E-12
-0.71,-1.4E-12
-0.7,-1.9E-12
-0.69,5E-13
-0.68,1E-13
-0.67,-2.1E-12
-0.66,-2.4E-12
-0.65,-1E-13
-0.64,-1.1E-12
-0.63,-2.6E-12
-0.62,-1.8E-12
-0.61,2E-13
-0.6,2E-13
-0.59,-2.5E-12
-0.58,-2.3E-12
-0.57,-1.1E-12
-0.56,6E-13
-0.55,-2.1E-12
-0.54,-2.3E-12
-0.53,3E-13
-0.52,3E-13
-0.51,-2.2E-12
-0.5,-2.2E-12
-0.49,1.5E-12
-0.48,2E-13
-0.47,-2.7E-12
-0.46,-2.1E-12
-0.45,1.8E-12
-0.44,-2.1E-12
-0.43,-2.5E-12
-0.42,1.1E-12
-0.41,1.7E-12
-0.4,-1.9E-12
-0.39,-2.3E-12
-0.38,1.5E-12
-0.37,1.4E-12
-0.36,-2.7E-12
-0.35,-3E-12
-0.34,1.6E-12
-0.33,-2.6E-12
-0.32,-2.9E-12
-0.31,6E-13
-0.3,1.9E-12
-0.29,-2.3E-12
-0.28,-2.8E-12
-0.27,9E-13
-0.26,1.5E-12
-0.25,-2.6E-12
-0.24,-3.2E-12
-0.23,7E-13
-0.22,1.7E-12
-0.21,-3.2E-12
-0.2,-3.7E-12
-0.19,6E-13
-0.18,1.2E-12
-0.17,-2.7E-12
-0.16,-3.1E-12
-0.15,2E-12
-0.14,2.2E-12
-0.13,-2.7E-12
-0.12,-3.6E-12
-0.11,1.1E-12
-0.1,1.7E-12
-0.09,-3.4E-12
-0.08,-3.3E-12
-0.07,1.6E-12
-0.06,7E-13
-0.05,-3.8E-12
-0.04,-2.5E-12
-0.03,2.1E-12
-0.02,-8E-13
-0.01,-2.5E-12
0,-2.9E-12
