Setup title,"C-V Sweep_Device3_W2_100K"
-2.23,2.37644E-10
-2.22,2.37715E-10
-2.21,2.37676E-10
-2.2,2.37888E-10
-2.19,2.37571E-10
-2.18,2.37752E-10
-2.17,2.37692E-10
-2.16,2.37477E-10
-2.15,2.37493E-10
-2.14,2.37687E-10
-2.13,2.37731E-10
-2.12,2.3767E-10
-2.11,2.377E-10
-2.1,2.37608E-10
-2.09,2.37494E-10
-2.08,2.37589E-10
-2.07,2.37439E-10
-2.06,2.37449E-10
-2.05,2.37327E-10
-2.04,2.37252E-10
-2.03,2.37385E-10
-2.02,2.37135E-10
-2.01,2.37264E-10
-2,2.37127E-10
-1.99,2.3712E-10
-1.98,2.37058E-10
-1.97,2.3707E-10
-1.96,2.37124E-10
-1.95,2.36937E-10
-1.94,2.37133E-10
-1.93,2.36897E-10
-1.92,2.37164E-10
-1.91,2.37025E-10
-1.9,2.36878E-10
-1.89,2.36928E-10
-1.88,2.36812E-10
-1.87,2.36616E-10
-1.86,2.36703E-10
-1.85,2.36629E-10
-1.84,2.36548E-10
-1.83,2.36486E-10
-1.82,2.36482E-10
-1.81,2.36544E-10
-1.8,2.36409E-10
-1.79,2.36481E-10
-1.78,2.36488E-10
-1.77,2.36307E-10
-1.76,2.36275E-10
-1.75,2.36152E-10
-1.74,2.3614E-10
-1.73,2.36242E-10
-1.72,2.36007E-10
-1.71,2.35964E-10
-1.7,2.36106E-10
-1.69,2.3601E-10
-1.68,2.36025E-10
-1.67,2.35901E-10
-1.66,2.35913E-10
-1.65,2.35827E-10
-1.64,2.35796E-10
-1.63,2.35873E-10
-1.62,2.35495E-10
-1.61,2.35539E-10
-1.6,2.35534E-10
-1.59,2.35439E-10
-1.58,2.35577E-10
-1.57,2.35309E-10
-1.56,2.35187E-10
-1.55,2.35187E-10
-1.54,2.3514E-10
-1.53,2.34959E-10
-1.52,2.35046E-10
-1.51,2.34934E-10
-1.5,2.34814E-10
-1.49,2.34712E-10
-1.48,2.34722E-10
-1.47,2.34731E-10
-1.46,2.3463E-10
-1.45,2.34652E-10
-1.44,2.34499E-10
-1.43,2.34493E-10
-1.42,2.34542E-10
-1.41,2.3431E-10
-1.4,2.3421E-10
-1.39,2.34241E-10
-1.38,2.33981E-10
-1.37,2.33846E-10
-1.36,2.34021E-10
-1.35,2.33775E-10
-1.34,2.33661E-10
-1.33,2.33694E-10
-1.32,2.3344E-10
-1.31,2.33315E-10
-1.3,2.33271E-10
-1.29,2.33165E-10
-1.28,2.33179E-10
-1.27,2.32862E-10
-1.26,2.32891E-10
-1.25,2.32834E-10
-1.24,2.32681E-10
-1.23,2.32601E-10
-1.22,2.32438E-10
-1.21,2.32319E-10
-1.2,2.3216E-10
-1.19,2.32132E-10
-1.18,2.31995E-10
-1.17,2.31801E-10
-1.16,2.31727E-10
-1.15,2.31438E-10
-1.14,2.31494E-10
-1.13,2.31302E-10
-1.12,2.3089E-10
-1.11,2.3087E-10
-1.1,2.30763E-10
-1.09,2.3062E-10
-1.08,2.30456E-10
-1.07,2.30276E-10
-1.06,2.30044E-10
-1.05,2.29836E-10
-1.04,2.29777E-10
-1.03,2.29729E-10
-1.02,2.29383E-10
-1.01,2.29191E-10
-1,2.28835E-10
-0.99,2.28791E-10
-0.98,2.28584E-10
-0.97,2.28345E-10
-0.96,2.27973E-10
-0.95,2.27825E-10
-0.94,2.27439E-10
-0.93,2.2723E-10
-0.92,2.26934E-10
-0.91,2.26885E-10
-0.9,2.26457E-10
-0.89,2.26204E-10
-0.88,2.25839E-10
-0.87,2.25314E-10
-0.86,2.25182E-10
-0.85,2.24865E-10
-0.84,2.24443E-10
-0.83,2.23824E-10
-0.82,2.23648E-10
-0.81,2.2312E-10
-0.8,2.22512E-10
-0.79,2.22115E-10
-0.78,2.21512E-10
-0.77,2.20952E-10
-0.76,2.2056E-10
-0.75,2.19962E-10
-0.74,2.19612E-10
-0.73,2.18749E-10
-0.72,2.18208E-10
-0.71,2.17478E-10
-0.7,2.16679E-10
-0.69,2.16076E-10
-0.68,2.14654E-10
-0.67,2.13986E-10
-0.66,2.1305E-10
-0.65,2.11883E-10
-0.64,2.10841E-10
-0.63,2.09283E-10
-0.62,2.08211E-10
-0.61,2.06582E-10
-0.6,2.05145E-10
-0.59,2.03678E-10
-0.58,2.01199E-10
-0.57,2.00095E-10
-0.56,1.97616E-10
-0.55,1.95506E-10
-0.54,1.93644E-10
-0.53,1.90113E-10
-0.52,1.8844E-10
-0.51,1.8495E-10
-0.5,1.81939E-10
-0.49,1.79696E-10
-0.48,1.75461E-10
-0.47,1.73808E-10
-0.46,1.70004E-10
-0.45,1.67105E-10
-0.44,1.65341E-10
-0.43,1.62308E-10
-0.42,1.60982E-10
-0.41,1.58902E-10
-0.4,1.57704E-10
-0.39,1.56717E-10
-0.38,1.56481E-10
-0.37,1.56316E-10
-0.36,1.56758E-10
-0.35,1.57386E-10
-0.34,1.58734E-10
-0.33,1.59479E-10
-0.32,1.61883E-10
-0.31,1.62903E-10
-0.3,1.65393E-10
-0.29,1.67542E-10
-0.28,1.70186E-10
-0.27,1.71485E-10
-0.26,1.74561E-10
-0.25,1.76501E-10
-0.24,1.78903E-10
-0.23,1.82034E-10
-0.22,1.83115E-10
-0.21,1.86596E-10
-0.2,1.88276E-10
-0.19,1.90488E-10
-0.18,1.93068E-10
-0.17,1.9443E-10
-0.16,1.97311E-10
-0.15,1.98682E-10
-0.14,2.00599E-10
-0.13,2.0292E-10
-0.12,2.03974E-10
-0.11,2.06241E-10
-0.1,2.07689E-10
-0.09,2.09183E-10
-0.08,2.1086E-10
-0.07,2.11942E-10
-0.06,2.13756E-10
-0.05,2.14684E-10
-0.04,2.16101E-10
-0.03,2.17544E-10
-0.02,2.18075E-10
-0.01,2.19692E-10
0,2.20375E-10
0.01,2.21484E-10
0.02,2.22315E-10
0.03,2.23323E-10
0.04,2.24369E-10
0.05,2.24696E-10
0.06,2.25708E-10
0.07,2.26574E-10
0.08,2.27011E-10
0.09,2.27806E-10
0.1,2.28462E-10
0.11,2.29164E-10
0.12,2.29693E-10
0.13,2.30099E-10
0.14,2.30677E-10
0.15,2.31192E-10
0.16,2.31715E-10
0.17,2.32301E-10
0.18,2.32689E-10
0.19,2.33402E-10
0.2,2.33591E-10
0.21,2.34188E-10
0.22,2.34461E-10
0.23,2.34654E-10
0.24,2.35441E-10
0.25,2.35487E-10
0.26,2.3604E-10
0.27,2.36318E-10
0.28,2.36664E-10
0.29,2.36799E-10
0.3,2.36949E-10
0.31,2.37485E-10
0.32,2.37673E-10
0.33,2.37872E-10
0.34,2.38307E-10
0.35,2.38271E-10
0.36,2.38704E-10
0.37,2.38932E-10
0.38,2.39333E-10
0.39,2.39542E-10
0.4,2.39334E-10
0.41,2.39767E-10
0.42,2.40035E-10
0.43,2.40227E-10
0.44,2.40472E-10
0.45,2.40442E-10
0.46,2.40748E-10
0.47,2.4099E-10
0.48,2.41152E-10
0.49,2.41012E-10
0.5,2.4126E-10
0.51,2.41682E-10
0.52,2.41868E-10
0.53,2.42075E-10
0.54,2.4207E-10
0.55,2.42078E-10
0.56,2.42235E-10
0.57,2.42367E-10
0.58,2.42428E-10
0.59,2.42712E-10
0.6,2.42817E-10
0.61,2.43048E-10
0.62,2.43003E-10
0.63,2.43136E-10
0.64,2.43258E-10
0.65,2.4337E-10
0.66,2.4355E-10
0.67,2.43764E-10
0.68,2.43847E-10
0.69,2.43838E-10
0.7,2.43829E-10
0.71,2.44229E-10
0.72,2.44366E-10
0.73,2.44259E-10
0.74,2.44049E-10
0.75,2.44412E-10
0.76,2.44465E-10
0.77,2.4447E-10
0.78,2.44544E-10
0.79,2.44842E-10
0.8,2.44941E-10
0.81,2.44918E-10
0.82,2.45015E-10
0.83,2.44949E-10
0.84,2.45116E-10
0.85,2.4532E-10
0.86,2.45497E-10
0.87,2.45359E-10
0.88,2.45522E-10
0.89,2.45604E-10
0.9,2.45659E-10
0.91,2.45585E-10
0.92,2.45791E-10
0.93,2.45556E-10
0.94,2.4583E-10
0.95,2.45831E-10
0.96,2.4579E-10
0.97,2.45773E-10
0.98,2.46142E-10
0.99,2.46143E-10
1,2.46295E-10
1.01,2.46199E-10
1.02,2.46315E-10
1.03,2.4622E-10
1.04,2.46345E-10
1.05,2.46287E-10
1.06,2.46481E-10
1.07,2.46885E-10
1.08,2.46343E-10
1.09,2.46662E-10
1.1,2.46857E-10
1.11,2.46886E-10
1.12,2.46735E-10
1.13,2.46808E-10
1.14,2.46805E-10
1.15,2.46791E-10
1.16,2.46952E-10
1.17,2.46754E-10
1.18,2.47052E-10
1.19,2.46899E-10
1.2,2.47166E-10
1.21,2.47272E-10
1.22,2.47232E-10
1.23,2.47049E-10
1.24,2.4702E-10
1.25,2.47315E-10
1.26,2.47146E-10
1.27,2.47364E-10
1.28,2.47527E-10
1.29,2.4773E-10
1.3,2.47543E-10
1.31,2.4739E-10
1.32,2.47578E-10
1.33,2.4768E-10
1.34,2.47653E-10
1.35,2.47852E-10
1.36,2.47607E-10
1.37,2.4764E-10
1.38,2.47725E-10
1.39,2.47876E-10
1.4,2.47895E-10
1.41,2.47806E-10
1.42,2.4797E-10
1.43,2.47773E-10
1.44,2.47968E-10
1.45,2.48028E-10
1.46,2.48093E-10
1.47,2.48166E-10
1.48,2.48042E-10
1.49,2.48209E-10
1.5,2.48098E-10
1.51,2.4828E-10
1.52,2.48173E-10
1.53,2.48433E-10
1.54,2.48143E-10
1.55,2.4803E-10
1.56,2.48133E-10
1.57,2.48308E-10
1.58,2.48337E-10
1.59,2.48221E-10
1.6,2.48432E-10
1.61,2.48572E-10
1.62,2.48386E-10
1.63,2.48455E-10
1.64,2.48539E-10
1.65,2.48455E-10
1.66,2.48656E-10
1.67,2.48361E-10
1.68,2.48571E-10
1.69,2.4867E-10
1.7,2.4853E-10
1.71,2.48509E-10
1.72,2.48772E-10
1.73,2.48792E-10
1.74,2.4883E-10
1.75,2.48794E-10
1.76,2.48604E-10
1.77,2.48842E-10
1.78,2.48672E-10
1.79,2.48877E-10
1.8,2.4872E-10
1.81,2.48949E-10
1.82,2.48834E-10
1.83,2.48772E-10
1.84,2.48673E-10
1.85,2.49116E-10
1.86,2.48713E-10
1.87,2.49095E-10
1.88,2.48868E-10
1.89,2.49077E-10
1.9,2.49046E-10
1.91,2.49094E-10
1.92,2.49058E-10
1.93,2.49144E-10
1.94,2.49071E-10
1.95,2.48976E-10
1.96,2.49206E-10
1.97,2.49286E-10
1.98,2.49211E-10
1.99,2.49097E-10
2,2.49201E-10
2.01,2.49257E-10
2.02,2.49222E-10
2.03,2.49062E-10
2.04,2.49262E-10
2.05,2.49267E-10
2.06,2.49235E-10
2.07,2.49332E-10
2.08,2.49297E-10
2.09,2.49424E-10
2.1,2.49534E-10
2.11,2.49205E-10
2.12,2.49479E-10
2.13,2.4936E-10
2.14,2.49303E-10
2.15,2.49185E-10
2.16,2.49271E-10
2.17,2.4924E-10
2.18,2.49392E-10
2.19,2.49472E-10
2.2,2.4946E-10
2.21,2.49535E-10
2.22,2.49187E-10
2.23,2.49462E-10
2.24,2.49771E-10
2.25,2.4947E-10
2.26,2.49552E-10
2.27,2.49512E-10
2.28,2.49755E-10
2.29,2.49372E-10
2.3,2.49561E-10
2.31,2.49738E-10
2.32,2.49577E-10
2.33,2.49618E-10
2.34,2.49579E-10
2.35,2.49579E-10
2.36,2.49452E-10
2.37,2.49502E-10
2.38,2.49565E-10
2.39,2.49544E-10
2.4,2.49582E-10
2.41,2.50008E-10
2.42,2.49662E-10
2.43,2.49643E-10
2.44,2.49683E-10
2.45,2.49618E-10
2.46,2.49472E-10
2.47,2.49845E-10
2.48,2.49819E-10
2.49,2.49849E-10
2.5,2.49636E-10
2.51,2.50036E-10
2.52,2.49861E-10
2.53,2.50109E-10
2.54,2.49901E-10
2.55,2.49777E-10
2.56,2.49941E-10
2.57,2.49879E-10
2.58,2.49709E-10
2.59,2.49845E-10
2.6,2.4989E-10
2.61,2.49826E-10
2.62,2.49915E-10
2.63,2.49813E-10
2.64,2.4993E-10
2.65,2.49905E-10
2.66,2.50042E-10
2.67,2.50136E-10
2.68,2.50154E-10
2.69,2.50062E-10
2.7,2.50133E-10
2.71,2.50048E-10
2.72,2.49974E-10
2.73,2.50188E-10
2.74,2.50028E-10
2.75,2.50056E-10
2.76,2.50127E-10
2.77,2.50088E-10
2.78,2.49957E-10
2.79,2.49973E-10
2.8,2.49926E-10
2.81,2.50138E-10
2.82,2.50395E-10
2.83,2.50197E-10
2.84,2.50307E-10
2.85,2.50184E-10
2.86,2.5031E-10
2.87,2.50107E-10
2.88,2.50107E-10
2.89,2.50105E-10
2.9,2.50362E-10
2.91,2.50036E-10
2.92,2.49898E-10
2.93,2.50109E-10
2.94,2.50023E-10
2.95,2.50009E-10
2.96,2.50288E-10
2.97,2.50151E-10
2.98,2.50155E-10
2.99,2.50156E-10
3,2.50183E-10
3,2.50241E-10
2.99,2.5024E-10
2.98,2.50188E-10
2.97,2.50293E-10
2.96,2.50464E-10
2.95,2.50371E-10
2.94,2.50319E-10
2.93,2.50311E-10
2.92,2.50419E-10
2.91,2.50297E-10
2.9,2.50218E-10
2.89,2.5042E-10
2.88,2.50184E-10
2.87,2.50222E-10
2.86,2.50089E-10
2.85,2.50119E-10
2.84,2.50172E-10
2.83,2.5027E-10
2.82,2.50126E-10
2.81,2.5026E-10
2.8,2.50109E-10
2.79,2.50403E-10
2.78,2.50089E-10
2.77,2.50147E-10
2.76,2.50124E-10
2.75,2.50139E-10
2.74,2.50186E-10
2.73,2.49972E-10
2.72,2.50001E-10
2.71,2.50043E-10
2.7,2.50039E-10
2.69,2.50053E-10
2.68,2.49974E-10
2.67,2.49863E-10
2.66,2.50014E-10
2.65,2.50015E-10
2.64,2.50181E-10
2.63,2.49982E-10
2.62,2.49964E-10
2.61,2.50067E-10
2.6,2.50075E-10
2.59,2.49725E-10
2.58,2.49992E-10
2.57,2.49835E-10
2.56,2.5003E-10
2.55,2.49784E-10
2.54,2.4997E-10
2.53,2.50052E-10
2.52,2.499E-10
2.51,2.49833E-10
2.5,2.49716E-10
2.49,2.50023E-10
2.48,2.49966E-10
2.47,2.49855E-10
2.46,2.49856E-10
2.45,2.49558E-10
2.44,2.49812E-10
2.43,2.49902E-10
2.42,2.49827E-10
2.41,2.49807E-10
2.4,2.49556E-10
2.39,2.49854E-10
2.38,2.49429E-10
2.37,2.49769E-10
2.36,2.49834E-10
2.35,2.49555E-10
2.34,2.49613E-10
2.33,2.49401E-10
2.32,2.49624E-10
2.31,2.49686E-10
2.3,2.49553E-10
2.29,2.49402E-10
2.28,2.49798E-10
2.27,2.49528E-10
2.26,2.49535E-10
2.25,2.4945E-10
2.24,2.49687E-10
2.23,2.49407E-10
2.22,2.49431E-10
2.21,2.49277E-10
2.2,2.49497E-10
2.19,2.49349E-10
2.18,2.49408E-10
2.17,2.4965E-10
2.16,2.49618E-10
2.15,2.49352E-10
2.14,2.49545E-10
2.13,2.4943E-10
2.12,2.49391E-10
2.11,2.49445E-10
2.1,2.49553E-10
2.09,2.49397E-10
2.08,2.49291E-10
2.07,2.49383E-10
2.06,2.4938E-10
2.05,2.49188E-10
2.04,2.49371E-10
2.03,2.49196E-10
2.02,2.49366E-10
2.01,2.49155E-10
2,2.49267E-10
1.99,2.49144E-10
1.98,2.49101E-10
1.97,2.49342E-10
1.96,2.4897E-10
1.95,2.49149E-10
1.94,2.48851E-10
1.93,2.48896E-10
1.92,2.49164E-10
1.91,2.49056E-10
1.9,2.49157E-10
1.89,2.49076E-10
1.88,2.49076E-10
1.87,2.48879E-10
1.86,2.48941E-10
1.85,2.48868E-10
1.84,2.48896E-10
1.83,2.48809E-10
1.82,2.49098E-10
1.81,2.48745E-10
1.8,2.48992E-10
1.79,2.49109E-10
1.78,2.49013E-10
1.77,2.48956E-10
1.76,2.48835E-10
1.75,2.48926E-10
1.74,2.48884E-10
1.73,2.48858E-10
1.72,2.4865E-10
1.71,2.48772E-10
1.7,2.48702E-10
1.69,2.48627E-10
1.68,2.48831E-10
1.67,2.48654E-10
1.66,2.48559E-10
1.65,2.48417E-10
1.64,2.48382E-10
1.63,2.48501E-10
1.62,2.48588E-10
1.61,2.48425E-10
1.6,2.48651E-10
1.59,2.48447E-10
1.58,2.48503E-10
1.57,2.48487E-10
1.56,2.48371E-10
1.55,2.48452E-10
1.54,2.48289E-10
1.53,2.48421E-10
1.52,2.48326E-10
1.51,2.48206E-10
1.5,2.48169E-10
1.49,2.48354E-10
1.48,2.48156E-10
1.47,2.47978E-10
1.46,2.48071E-10
1.45,2.48097E-10
1.44,2.48071E-10
1.43,2.47879E-10
1.42,2.48067E-10
1.41,2.47968E-10
1.4,2.48177E-10
1.39,2.47872E-10
1.38,2.48168E-10
1.37,2.47906E-10
1.36,2.4789E-10
1.35,2.47707E-10
1.34,2.47919E-10
1.33,2.47861E-10
1.32,2.47714E-10
1.31,2.47678E-10
1.3,2.476E-10
1.29,2.47478E-10
1.28,2.47615E-10
1.27,2.47681E-10
1.26,2.47536E-10
1.25,2.47476E-10
1.24,2.47304E-10
1.23,2.47478E-10
1.22,2.47073E-10
1.21,2.47176E-10
1.2,2.47254E-10
1.19,2.47204E-10
1.18,2.47253E-10
1.17,2.47111E-10
1.16,2.47189E-10
1.15,2.47216E-10
1.14,2.47105E-10
1.13,2.46898E-10
1.12,2.46944E-10
1.11,2.46984E-10
1.1,2.4703E-10
1.09,2.47041E-10
1.08,2.46936E-10
1.07,2.46518E-10
1.06,2.46834E-10
1.05,2.46603E-10
1.04,2.46531E-10
1.03,2.46464E-10
1.02,2.46616E-10
1.01,2.46406E-10
1,2.46124E-10
0.99,2.46333E-10
0.98,2.4622E-10
0.97,2.46154E-10
0.96,2.46171E-10
0.95,2.46047E-10
0.94,2.46064E-10
0.93,2.4602E-10
0.92,2.46073E-10
0.91,2.45897E-10
0.9,2.45803E-10
0.89,2.45781E-10
0.88,2.45663E-10
0.87,2.45785E-10
0.86,2.4565E-10
0.85,2.45263E-10
0.84,2.45339E-10
0.83,2.45276E-10
0.82,2.45282E-10
0.81,2.45343E-10
0.8,2.45107E-10
0.79,2.44948E-10
0.78,2.45246E-10
0.77,2.44915E-10
0.76,2.45101E-10
0.75,2.44855E-10
0.74,2.4468E-10
0.73,2.44692E-10
0.72,2.4445E-10
0.71,2.44462E-10
0.7,2.44376E-10
0.69,2.44144E-10
0.68,2.43997E-10
0.67,2.43928E-10
0.66,2.44109E-10
0.65,2.43745E-10
0.64,2.44049E-10
0.63,2.43634E-10
0.62,2.43597E-10
0.61,2.43388E-10
0.6,2.43232E-10
0.59,2.43064E-10
0.58,2.42953E-10
0.57,2.4285E-10
0.56,2.42874E-10
0.55,2.42543E-10
0.54,2.42766E-10
0.53,2.42453E-10
0.52,2.42347E-10
0.51,2.42156E-10
0.5,2.4209E-10
0.49,2.41966E-10
0.48,2.4165E-10
0.47,2.4149E-10
0.46,2.4146E-10
0.45,2.41246E-10
0.44,2.40989E-10
0.43,2.40928E-10
0.42,2.40656E-10
0.41,2.40563E-10
0.4,2.4039E-10
0.39,2.40125E-10
0.38,2.3993E-10
0.37,2.39673E-10
0.36,2.39613E-10
0.35,2.39443E-10
0.34,2.39123E-10
0.33,2.38704E-10
0.32,2.38779E-10
0.31,2.38423E-10
0.3,2.38133E-10
0.29,2.37809E-10
0.28,2.37302E-10
0.27,2.37105E-10
0.26,2.36856E-10
0.25,2.36715E-10
0.24,2.36414E-10
0.23,2.36027E-10
0.22,2.35612E-10
0.21,2.35211E-10
0.2,2.34839E-10
0.19,2.34702E-10
0.18,2.34122E-10
0.17,2.33837E-10
0.16,2.33169E-10
0.15,2.32875E-10
0.14,2.32451E-10
0.13,2.3207E-10
0.12,2.31682E-10
0.11,2.30971E-10
0.1,2.30457E-10
0.09,2.2989E-10
0.08,2.29132E-10
0.07,2.28797E-10
0.06,2.27795E-10
0.05,2.27112E-10
0.04,2.26515E-10
0.03,2.25622E-10
0.02,2.2509E-10
0.01,2.23952E-10
0,2.23311E-10
-0.01,2.2253E-10
-0.02,2.21215E-10
-0.03,2.20699E-10
-0.04,2.19308E-10
-0.05,2.18405E-10
-0.06,2.17487E-10
-0.07,2.15957E-10
-0.08,2.15182E-10
-0.09,2.13353E-10
-0.1,2.12169E-10
-0.11,2.10963E-10
-0.12,2.09026E-10
-0.13,2.0804E-10
-0.14,2.05663E-10
-0.15,2.04147E-10
-0.16,2.02271E-10
-0.17,1.99972E-10
-0.18,1.98758E-10
-0.19,1.9603E-10
-0.2,1.93976E-10
-0.21,1.92149E-10
-0.22,1.89371E-10
-0.23,1.87681E-10
-0.24,1.84575E-10
-0.25,1.82661E-10
-0.26,1.80343E-10
-0.27,1.77199E-10
-0.28,1.75707E-10
-0.29,1.72315E-10
-0.3,1.70574E-10
-0.31,1.68244E-10
-0.32,1.65388E-10
-0.33,1.64017E-10
-0.34,1.61399E-10
-0.35,1.60302E-10
-0.36,1.58289E-10
-0.37,1.57457E-10
-0.38,1.56683E-10
