Setup title,"I/V Sweep_light_part2_0_-2V"
-0.91,-0.000200044
-0.9,-0.000200043
-0.89,-0.000200044
-0.88,-0.000200043
-0.87,-0.000200044
-0.86,-0.000200043
-0.85,-0.000200043
-0.84,-0.000200043
-0.83,-0.000200043
-0.82,-0.000200043
-0.81,-0.000200044
-0.8,-0.000200043
-0.79,-0.000200043
-0.78,-0.000200043
-0.77,-0.000200043
-0.76,-0.000200043
-0.75,-0.000200042
-0.74,-0.000200043
-0.73,-0.000200043
-0.72,-0.000200043
-0.71,-0.000200043
-0.7,-0.000200043
-0.69,-0.000200043
-0.68,-0.000200043
-0.67,-0.000200043
-0.66,-0.000200043
-0.65,-0.000200043
-0.64,-0.000200044
-0.63,-0.000200043
-0.62,-0.000200043
-0.61,-0.000200043
-0.6,-0.000200043
-0.59,-0.000200044
-0.58,-0.000200043
-0.57,-0.000200043
-0.56,-0.000200044
-0.55,-0.000200044
-0.54,-0.000200043
-0.53,-0.000200043
-0.52,-0.000200044
-0.51,-0.000200043
-0.5,-0.000200044
-0.49,-3.39E-07
-0.48,-3.8E-13
-0.47,-4.1E-13
-0.46,-3.8E-13
-0.45,-3.5E-13
-0.44,-9E-14
-0.43,-2E-13
-0.42,-4.6E-13
-0.41,-2E-14
-0.4,-3.3E-13
-0.39,-7E-14
-0.38,-4.3E-13
-0.37,-3.6E-13
-0.36,-7E-14
-0.35,-2.8E-13
-0.34,-3.9E-13
-0.33,-2.6E-13
-0.32,1E-14
-0.31,-1E-13
-0.3,-3.8E-13
-0.29,0
-0.28,-2.2E-13
-0.27,-2.6E-13
-0.26,-2.1E-13
-0.25,-3E-13
-0.24,-1.6E-13
-0.23,-1.4E-13
-0.22,-2.5E-13
-0.21,-2.6E-13
-0.2,-8E-14
-0.19,-1.3E-13
-0.18,-3E-13
-0.17,-3E-13
-0.16,-2.3E-13
-0.15,-1.1E-13
-0.14,-2.5E-13
-0.13,-3.3E-13
-0.12,-2.8E-13
-0.11,0
-0.1,-1.9E-13
-0.09,-1.1E-13
-0.08,-1.1E-13
-0.07,-3E-13
-0.06,-2.8E-13
-0.05,-2E-13
-0.04,-1.2E-13
-0.03,-2.2E-13
-0.02,-3.2E-13
-0.01,-2.2E-13
0,0
