Setup title,"C-V Sweep_light_-3_3_1K_100K_1M"
0.61,2.57873E-13
0.62,2.07661E-13
0.63,2.45664E-13
0.64,3.10082E-13
0.65,2.49496E-13
0.66,2.89285E-13
0.67,2.97706E-13
0.68,2.90006E-13
0.69,2.63463E-13
0.7,2.3884E-13
0.71,2.31074E-13
0.72,2.74484E-13
0.73,2.88198E-13
0.74,2.48485E-13
0.75,2.47827E-13
0.76,2.52131E-13
0.77,2.98703E-13
0.78,3.13864E-13
0.79,2.62736E-13
0.8,2.93111E-13
0.81,2.77905E-13
0.82,2.29294E-13
0.83,2.89962E-13
0.84,2.93901E-13
0.85,2.41708E-13
0.86,2.74437E-13
0.87,2.83458E-13
0.88,2.79239E-13
0.89,3.00966E-13
0.9,2.40686E-13
0.91,2.56848E-13
0.92,2.36857E-13
0.93,2.49798E-13
0.94,2.66933E-13
0.95,3.02114E-13
0.96,2.192E-13
0.97,3.17595E-13
0.98,2.25619E-13
0.99,2.48975E-13
1,2.36393E-13
1.01,2.54604E-13
1.02,2.70781E-13
1.03,2.10511E-13
1.04,2.51564E-13
1.05,2.47802E-13
1.06,2.68108E-13
1.07,2.3337E-13
1.08,2.41578E-13
1.09,2.76353E-13
1.1,2.73045E-13
1.11,2.56014E-13
1.12,2.80738E-13
1.13,3.07025E-13
1.14,2.93794E-13
1.15,2.33145E-13
1.16,2.34704E-13
1.17,2.8666E-13
1.18,2.42183E-13
1.19,2.86287E-13
1.2,2.78385E-13
1.21,2.35709E-13
1.22,2.70389E-13
1.23,2.63492E-13
1.24,2.77968E-13
1.25,3.15711E-13
1.26,2.03877E-13
1.27,2.61336E-13
1.28,2.96631E-13
1.29,2.24395E-13
1.3,2.67056E-13
1.31,2.73822E-13
1.32,2.6058E-13
1.33,2.79296E-13
1.34,2.67625E-13
1.35,2.29262E-13
1.36,2.95151E-13
1.37,2.93213E-13
1.38,2.8599E-13
1.39,2.91251E-13
1.4,2.30112E-13
1.41,2.69548E-13
1.42,2.71047E-13
1.43,2.65282E-13
1.44,2.45354E-13
1.45,2.80937E-13
1.46,2.5831E-13
1.47,3.00887E-13
1.48,2.5387E-13
1.49,2.51618E-13
1.5,3.13235E-13
1.51,2.85026E-13
1.52,2.72883E-13
1.53,2.3097E-13
1.54,2.26976E-13
1.55,2.43995E-13
1.56,2.88897E-13
1.57,2.96037E-13
1.58,2.60441E-13
1.59,2.95302E-13
1.6,2.23374E-13
1.61,2.94841E-13
1.62,2.57573E-13
1.63,2.63113E-13
1.64,2.8737E-13
1.65,2.67185E-13
1.66,2.38495E-13
1.67,2.24662E-13
1.68,2.84488E-13
1.69,2.60494E-13
1.7,2.81541E-13
1.71,2.24968E-13
1.72,3.11243E-13
1.73,2.41623E-13
1.74,2.71821E-13
1.75,3.10358E-13
1.76,2.10995E-13
1.77,2.71992E-13
1.78,3.13763E-13
1.79,2.48149E-13
1.8,2.57402E-13
1.81,2.26499E-13
1.82,2.70057E-13
1.83,2.78054E-13
1.84,2.98459E-13
1.85,2.16648E-13
1.86,2.62458E-13
1.87,2.91404E-13
1.88,2.61443E-13
1.89,2.12234E-13
1.9,2.55397E-13
1.91,2.6939E-13
1.92,2.43846E-13
1.93,2.73953E-13
1.94,2.48586E-13
1.95,2.62588E-13
1.96,2.65222E-13
1.97,3.02357E-13
1.98,2.52946E-13
1.99,2.41837E-13
2,2.42208E-13
2.01,3.00751E-13
2.02,2.67315E-13
2.03,2.7682E-13
2.04,2.67062E-13
2.05,2.34199E-13
2.06,2.9642E-13
2.07,2.87173E-13
2.08,2.53266E-13
2.09,2.91081E-13
2.1,2.583E-13
2.11,2.83249E-13
2.12,2.53339E-13
2.13,2.31444E-13
2.14,2.69023E-13
2.15,2.94209E-13
2.16,2.84776E-13
2.17,2.66755E-13
2.18,2.65057E-13
2.19,1.99349E-13
2.2,2.72593E-13
2.21,2.77215E-13
2.22,2.26742E-13
2.23,2.9375E-13
2.24,2.8853E-13
2.25,2.54854E-13
2.26,2.80295E-13
2.27,2.88982E-13
2.28,2.70301E-13
2.29,2.64457E-13
2.3,3.34102E-13
2.31,2.4524E-13
2.32,2.90145E-13
2.33,2.28681E-13
2.34,3.18123E-13
2.35,2.36184E-13
2.36,2.39169E-13
2.37,3.20783E-13
2.38,2.51558E-13
2.39,2.57383E-13
2.4,2.69785E-13
2.41,2.9924E-13
2.42,2.23128E-13
2.43,2.85032E-13
2.44,2.51796E-13
2.45,2.94357E-13
2.46,2.75457E-13
2.47,2.69402E-13
2.48,2.69095E-13
2.49,2.39925E-13
2.5,2.56645E-13
2.51,2.54989E-13
2.52,2.96821E-13
2.53,3.04751E-13
2.54,2.40946E-13
2.55,2.30916E-13
2.56,2.52931E-13
2.57,2.82753E-13
2.58,2.52842E-13
2.59,3.22253E-13
2.6,2.65721E-13
2.61,2.76083E-13
2.62,2.53285E-13
2.63,2.33215E-13
2.64,2.65626E-13
2.65,2.27466E-13
2.66,3.09378E-13
2.67,2.52851E-13
2.68,2.72128E-13
2.69,3.06332E-13
2.7,2.50078E-13
2.71,2.76216E-13
2.72,2.74648E-13
2.73,2.47166E-13
2.74,2.78105E-13
2.75,3.02923E-13
2.76,2.2789E-13
2.77,2.71945E-13
2.78,2.62528E-13
2.79,2.77114E-13
2.8,2.91846E-13
2.81,2.21961E-13
2.82,2.09085E-13
2.83,2.67951E-13
2.84,2.86215E-13
2.85,2.95569E-13
2.86,2.55239E-13
2.87,2.90108E-13
2.88,3.10443E-13
2.89,2.50521E-13
2.9,3.03968E-13
2.91,2.55335E-13
2.92,2.66079E-13
2.93,2.35697E-13
2.94,2.86374E-13
2.95,2.5751E-13
2.96,2.61961E-13
2.97,2.5214E-13
2.98,2.57423E-13
2.99,2.16434E-13
3,3.02949E-13
-3,2.09812E-13
-2.99,2.10049E-13
-2.98,2.09024E-13
-2.97,2.13156E-13
-2.96,2.08195E-13
-2.95,2.09651E-13
-2.94,2.09096E-13
-2.93,2.10909E-13
-2.92,2.10055E-13
-2.91,2.04145E-13
-2.9,2.14757E-13
-2.89,2.10099E-13
-2.88,2.01985E-13
-2.87,2.09629E-13
-2.86,2.09258E-13
-2.85,2.14201E-13
-2.84,1.9667E-13
-2.83,2.10712E-13
-2.82,2.03896E-13
-2.81,2.04417E-13
-2.8,2.04385E-13
-2.79,2.03413E-13
-2.78,2.04122E-13
-2.77,2.16206E-13
-2.76,2.13439E-13
-2.75,2.1044E-13
-2.74,2.09423E-13
-2.73,2.06424E-13
-2.72,2.09264E-13
-2.71,2.05097E-13
-2.7,2.05647E-13
-2.69,2.10112E-13
-2.68,2.1022E-13
-2.67,2.0828E-13
-2.66,2.13328E-13
-2.65,2.13106E-13
-2.64,2.01722E-13
-2.63,1.99841E-13
-2.62,2.08378E-13
-2.61,2.10324E-13
-2.6,2.09568E-13
-2.59,2.00777E-13
-2.58,1.99068E-13
-2.57,2.07199E-13
-2.56,2.08563E-13
-2.55,2.12472E-13
-2.54,2.11253E-13
-2.53,2.04461E-13
-2.52,2.08596E-13
-2.51,2.06612E-13
-2.5,2.14494E-13
-2.49,2.06002E-13
-2.48,2.08614E-13
-2.47,2.04664E-13
-2.46,2.04041E-13
-2.45,2.06279E-13
-2.44,2.11487E-13
-2.43,2.07614E-13
-2.42,2.04816E-13
-2.41,2.07516E-13
-2.4,2.09072E-13
-2.39,2.03699E-13
-2.38,2.16783E-13
-2.37,2.07741E-13
-2.36,2.11757E-13
-2.35,2.10428E-13
-2.34,2.09473E-13
-2.33,2.07589E-13
-2.32,2.12879E-13
-2.31,2.10551E-13
-2.3,2.10441E-13
-2.29,2.05493E-13
-2.28,2.0426E-13
-2.27,2.08519E-13
-2.26,2.11001E-13
-2.25,2.04458E-13
-2.24,2.04752E-13
-2.23,2.08012E-13
-2.22,2.10172E-13
-2.21,1.99265E-13
-2.2,2.06203E-13
-2.19,2.07934E-13
-2.18,2.11108E-13
-2.17,2.12417E-13
-2.16,2.06115E-13
-2.15,2.09811E-13
-2.14,2.05795E-13
-2.13,2.12085E-13
-2.12,2.05163E-13
-2.11,2.09018E-13
-2.1,2.02304E-13
-2.09,2.09476E-13
-2.08,2.14795E-13
-2.07,2.05242E-13
-2.06,2.07166E-13
-2.05,2.03866E-13
-2.04,2.17562E-13
-2.03,2.10785E-13
-2.02,2.12477E-13
-2.01,2.07466E-13
-2,2.12262E-13
-1.99,2.04698E-13
-1.98,2.01011E-13
-1.97,2.04136E-13
-1.96,2.12284E-13
-1.95,2.11586E-13
-1.94,2.09224E-13
-1.93,2.04519E-13
-1.92,2.08467E-13
-1.91,2.0954E-13
-1.9,2.15345E-13
-1.89,2.14359E-13
-1.88,2.06579E-13
-1.87,2.0516E-13
-1.86,2.10669E-13
-1.85,2.1422E-13
-1.84,2.11431E-13
-1.83,2.14568E-13
-1.82,1.99427E-13
-1.81,2.06558E-13
-1.8,2.11304E-13
-1.79,2.09486E-13
-1.78,2.1108E-13
-1.77,2.08204E-13
-1.76,2.11933E-13
-1.75,2.0669E-13
-1.74,2.08259E-13
-1.73,2.1212E-13
-1.72,1.9969E-13
-1.71,2.09126E-13
-1.7,2.07662E-13
-1.69,2.01847E-13
-1.68,2.06011E-13
-1.67,2.08487E-13
-1.66,2.12394E-13
-1.65,2.06982E-13
-1.64,2.07965E-13
-1.63,2.0416E-13
-1.62,2.06469E-13
-1.61,2.0816E-13
-1.6,2.12348E-13
-1.59,2.08392E-13
-1.58,2.04572E-13
-1.57,2.09496E-13
-1.56,2.04806E-13
-1.55,2.18056E-13
-1.54,2.04983E-13
-1.53,2.04894E-13
-1.52,2.06152E-13
-1.51,2.04537E-13
-1.5,2.12639E-13
-1.49,2.09471E-13
-1.48,2.00078E-13
-1.47,2.10372E-13
-1.46,2.1446E-13
-1.45,2.16038E-13
-1.44,2.05896E-13
-1.43,2.13053E-13
-1.42,2.1155E-13
-1.41,2.09799E-13
-1.4,2.1102E-13
-1.39,2.12211E-13
-1.38,2.17303E-13
-1.37,2.11025E-13
-1.36,2.12943E-13
-1.35,2.01416E-13
-1.34,2.12953E-13
-1.33,2.15033E-13
-1.32,2.05568E-13
-1.31,2.08723E-13
-1.3,2.10358E-13
-1.29,2.15466E-13
-1.28,2.10976E-13
-1.27,2.06959E-13
-1.26,2.04404E-13
-1.25,2.12832E-13
-1.24,2.13011E-13
-1.23,2.07836E-13
-1.22,2.05492E-13
-1.21,2.13338E-13
-1.2,2.11307E-13
-1.19,2.12338E-13
-1.18,2.08328E-13
-1.17,2.16832E-13
-1.16,2.04714E-13
-1.15,2.06099E-13
-1.14,2.11235E-13
-1.13,2.1199E-13
-1.12,2.04901E-13
-1.11,2.12531E-13
-1.1,2.13187E-13
-1.09,2.09948E-13
-1.08,2.16689E-13
-1.07,2.07639E-13
-1.06,2.10012E-13
-1.05,2.08933E-13
-1.04,2.09502E-13
-1.03,2.0498E-13
-1.02,2.06323E-13
-1.01,2.10687E-13
-1,2.08978E-13
-0.99,2.1113E-13
-0.98,2.11228E-13
-0.97,2.07159E-13
-0.96,2.07421E-13
-0.95,2.01378E-13
-0.94,2.07582E-13
-0.93,2.04597E-13
-0.92,2.05998E-13
-0.91,2.06981E-13
-0.9,2.03351E-13
-0.89,2.08771E-13
-0.88,2.07129E-13
-0.87,2.1305E-13
-0.86,2.12097E-13
-0.85,2.04648E-13
-0.84,2.15017E-13
-0.83,2.04518E-13
-0.82,1.99976E-13
-0.81,2.14849E-13
-0.8,2.03965E-13
-0.79,2.01254E-13
-0.78,2.13996E-13
-0.77,2.14783E-13
-0.76,2.05967E-13
-0.75,2.10621E-13
-0.74,1.98598E-13
-0.73,2.1693E-13
-0.72,2.04989E-13
-0.71,2.04755E-13
-0.7,2.04141E-13
-0.69,2.10479E-13
-0.68,2.09618E-13
-0.67,2.03354E-13
-0.66,2.03929E-13
-0.65,2.10537E-13
-0.64,2.22355E-13
-0.63,2.11551E-13
-0.62,2.07304E-13
-0.61,2.10571E-13
-0.6,2.07506E-13
-0.59,2.1051E-13
-0.58,2.08335E-13
-0.57,2.17132E-13
-0.56,2.0817E-13
-0.55,2.12025E-13
-0.54,2.08173E-13
-0.53,2.10614E-13
-0.52,2.12133E-13
-0.51,2.10805E-13
-0.5,2.10769E-13
-0.49,2.04599E-13
-0.48,2.14714E-13
-0.47,2.08086E-13
-0.46,2.11051E-13
-0.45,2.06997E-13
-0.44,2.09499E-13
-0.43,2.09381E-13
-0.42,2.17986E-13
-0.41,2.12879E-13
-0.4,2.14068E-13
-0.39,2.12689E-13
-0.38,2.08219E-13
-0.37,2.01795E-13
-0.36,2.08398E-13
-0.35,2.15016E-13
-0.34,2.07317E-13
-0.33,2.0483E-13
-0.32,2.10451E-13
-0.31,2.15443E-13
-0.3,2.02693E-13
-0.29,2.09182E-13
-0.28,2.05934E-13
-0.27,2.13977E-13
-0.26,2.01068E-13
-0.25,2.00131E-13
-0.24,2.01666E-13
-0.23,2.09075E-13
-0.22,2.07016E-13
-0.21,2.0869E-13
-0.2,2.06437E-13
-0.19,2.09068E-13
-0.18,2.10387E-13
-0.17,2.06374E-13
-0.16,2.13783E-13
-0.15,2.14419E-13
-0.14,2.16301E-13
-0.13,2.13553E-13
-0.12,2.13768E-13
-0.11,2.15933E-13
-0.1,2.12051E-13
-0.09,2.0872E-13
-0.08,2.10039E-13
-0.07,2.10795E-13
-0.06,2.12123E-13
-0.05,2.05802E-13
-0.04,2.12477E-13
-0.03,2.05732E-13
-0.02,2.09804E-13
-0.01,2.04891E-13
0,2.04272E-13
0.01,2.10821E-13
0.02,2.06223E-13
0.03,2.03973E-13
0.04,1.92885E-13
0.05,2.15172E-13
0.06,2.11043E-13
0.07,2.08746E-13
0.08,2.12977E-13
0.09,1.95992E-13
0.1,2.14412E-13
0.11,2.08807E-13
0.12,2.02941E-13
0.13,2.09859E-13
0.14,2.04755E-13
0.15,2.14627E-13
0.16,2.04714E-13
0.17,2.14435E-13
0.18,2.01191E-13
0.19,2.0739E-13
0.2,2.04734E-13
0.21,2.08746E-13
0.22,2.12054E-13
0.23,2.11533E-13
0.24,2.01568E-13
0.25,2.07203E-13
0.26,2.10409E-13
0.27,2.06922E-13
0.28,2.06719E-13
0.29,2.01002E-13
0.3,2.08734E-13
0.31,2.06339E-13
0.32,2.08879E-13
0.33,2.05978E-13
0.34,2.056E-13
0.35,2.12695E-13
0.36,2.16904E-13
0.37,2.12616E-13
0.38,2.00626E-13
0.39,2.0995E-13
0.4,2.00675E-13
0.41,2.06526E-13
0.42,2.07174E-13
0.43,2.09847E-13
0.44,2.12031E-13
0.45,2.13682E-13
0.46,2.13413E-13
0.47,2.03509E-13
0.48,2.03784E-13
0.49,2.12582E-13
0.5,1.99243E-13
0.51,2.06949E-13
0.52,2.10459E-13
0.53,2.12838E-13
0.54,2.0502E-13
0.55,2.10959E-13
0.56,2.0384E-13
0.57,2.16882E-13
0.58,2.19197E-13
0.59,2.10185E-13
0.6,2.01015E-13
0.61,2.07583E-13
0.62,2.09882E-13
0.63,2.10462E-13
0.64,2.00837E-13
0.65,2.07899E-13
0.66,2.09309E-13
0.67,2.18682E-13
0.68,2.10226E-13
0.69,2.07668E-13
0.7,2.11222E-13
0.71,2.12904E-13
0.72,2.09626E-13
0.73,2.18448E-13
0.74,2.09441E-13
0.75,2.10001E-13
0.76,2.12569E-13
0.77,2.0596E-13
0.78,2.02352E-13
0.79,2.13508E-13
0.8,2.11959E-13
0.81,2.10521E-13
0.82,2.12215E-13
0.83,2.1791E-13
0.84,2.07699E-13
0.85,2.1157E-13
0.86,2.14245E-13
0.87,2.12177E-13
0.88,2.08214E-13
0.89,2.09303E-13
0.9,2.05717E-13
0.91,2.10816E-13
0.92,2.14396E-13
0.93,2.10399E-13
0.94,2.03544E-13
0.95,2.05432E-13
0.96,2.04128E-13
0.97,2.06611E-13
0.98,2.1675E-13
0.99,2.10732E-13
1,2.07187E-13
1.01,2.06492E-13
1.02,2.08189E-13
1.03,2.10248E-13
1.04,2.09196E-13
1.05,2.11362E-13
1.06,2.11882E-13
1.07,2.02931E-13
1.08,2.08486E-13
1.09,2.09825E-13
1.1,2.16749E-13
1.11,2.03028E-13
1.12,2.07109E-13
1.13,2.01343E-13
1.14,2.07168E-13
1.15,2.05163E-13
1.16,2.13758E-13
1.17,2.10384E-13
1.18,2.11114E-13
1.19,2.15027E-13
1.2,2.06773E-13
1.21,2.00185E-13
1.22,2.08487E-13
1.23,2.09416E-13
1.24,2.154E-13
1.25,2.05736E-13
1.26,2.10286E-13
1.27,2.09559E-13
1.28,2.09888E-13
1.29,2.09391E-13
1.3,2.10832E-13
1.31,2.11342E-13
1.32,2.07528E-13
1.33,2.07958E-13
1.34,1.97826E-13
1.35,2.08027E-13
1.36,2.08287E-13
1.37,2.09973E-13
1.38,2.12937E-13
1.39,2.1046E-13
1.4,2.02446E-13
1.41,2.07159E-13
1.42,2.14618E-13
1.43,2.11989E-13
1.44,2.10944E-13
1.45,2.11911E-13
1.46,2.15084E-13
1.47,2.06041E-13
1.48,2.05258E-13
1.49,2.01565E-13
1.5,2.00998E-13
1.51,2.12386E-13
1.52,2.05967E-13
1.53,2.07364E-13
1.54,2.08718E-13
1.55,2.09281E-13
1.56,2.10867E-13
1.57,2.03116E-13
1.58,2.03388E-13
1.59,2.09115E-13
1.6,2.04575E-13
1.61,2.02228E-13
1.62,2.03434E-13
1.63,2.09059E-13
1.64,2.08082E-13
1.65,2.06703E-13
1.66,2.10871E-13
1.67,2.03272E-13
1.68,2.09701E-13
1.69,2.15624E-13
1.7,2.14317E-13
1.71,2.10543E-13
1.72,2.13352E-13
1.73,2.12742E-13
1.74,2.04177E-13
1.75,2.04967E-13
1.76,2.0313E-13
1.77,2.10336E-13
1.78,1.9923E-13
1.79,2.10282E-13
1.8,2.12188E-13
1.81,2.10514E-13
1.82,2.18925E-13
1.83,2.08632E-13
1.84,2.07086E-13
1.85,2.1119E-13
1.86,2.1761E-13
1.87,2.18318E-13
1.88,2.02947E-13
1.89,2.04193E-13
1.9,2.07162E-13
1.91,2.13128E-13
1.92,2.10858E-13
1.93,2.14698E-13
1.94,2.07064E-13
1.95,2.15595E-13
1.96,2.10166E-13
1.97,2.02918E-13
1.98,2.11453E-13
1.99,2.14797E-13
2,2.03935E-13
2.01,2.11333E-13
2.02,2.14071E-13
2.03,2.08041E-13
2.04,2.10507E-13
2.05,2.15171E-13
2.06,2.07164E-13
2.07,2.0177E-13
2.08,2.03328E-13
2.09,2.09631E-13
2.1,2.10353E-13
2.11,2.06427E-13
2.12,2.14741E-13
2.13,2.08135E-13
2.14,2.09059E-13
2.15,2.06877E-13
2.16,2.00097E-13
2.17,2.081E-13
2.18,2.06906E-13
2.19,2.07987E-13
2.2,2.08483E-13
2.21,2.08167E-13
2.22,2.07968E-13
2.23,2.06551E-13
2.24,2.05334E-13
2.25,2.05868E-13
2.26,2.18154E-13
2.27,2.10292E-13
2.28,2.13803E-13
2.29,2.21625E-13
2.3,2.08553E-13
2.31,2.08642E-13
2.32,2.14225E-13
2.33,2.04242E-13
2.34,2.10362E-13
2.35,2.05052E-13
2.36,2.08945E-13
2.37,2.14156E-13
2.38,2.07674E-13
2.39,2.17262E-13
2.4,2.03668E-13
2.41,2.11E-13
2.42,2.07988E-13
2.43,2.15295E-13
2.44,2.08894E-13
2.45,2.05489E-13
2.46,2.04382E-13
2.47,2.05878E-13
2.48,2.08496E-13
2.49,2.18461E-13
2.5,2.09068E-13
2.51,2.16209E-13
2.52,2.0595E-13
2.53,2.06562E-13
2.54,2.09872E-13
2.55,2.09701E-13
2.56,2.09001E-13
2.57,2.10326E-13
2.58,2.08345E-13
2.59,2.07768E-13
2.6,2.11523E-13
2.61,2.0726E-13
2.62,2.04775E-13
2.63,2.10248E-13
2.64,2.09969E-13
2.65,2.072E-13
2.66,2.17985E-13
2.67,2.03446E-13
2.68,2.04879E-13
2.69,2.07627E-13
2.7,1.93852E-13
2.71,2.14796E-13
2.72,2.1405E-13
2.73,2.15083E-13
2.74,2.04853E-13
2.75,2.16576E-13
2.76,2.07038E-13
2.77,2.0838E-13
2.78,2.0726E-13
2.79,2.14994E-13
2.8,2.09818E-13
2.81,2.08205E-13
2.82,2.03345E-13
2.83,2.0541E-13
2.84,2.12556E-13
2.85,2.02336E-13
2.86,2.07272E-13
2.87,2.06918E-13
2.88,2.10887E-13
2.89,2.10397E-13
2.9,2.07598E-13
2.91,2.1686E-13
2.92,2.01782E-13
2.93,2.15202E-13
2.94,2.0884E-13
2.95,2.09278E-13
2.96,2.10779E-13
2.97,2.12191E-13
2.98,2.03778E-13
2.99,2.05258E-13
3,2.1503E-13
