Setup title,"C-V Sweep(1k,1M)"
-0.32,5.11832E-10
-0.31,5.20007E-10
-0.3,5.30298E-10
-0.29,5.39767E-10
-0.28,5.51146E-10
-0.27,5.63912E-10
-0.26,5.73725E-10
-0.25,5.87846E-10
-0.24,6.00104E-10
-0.23,6.12305E-10
-0.22,6.2776E-10
-0.21,6.44178E-10
-0.2,6.60442E-10
-0.19,6.76062E-10
-0.18,6.94325E-10
-0.17,7.13198E-10
-0.16,7.33901E-10
-0.15,7.54399E-10
-0.14,7.75374E-10
-0.13,7.96554E-10
-0.12,8.19826E-10
-0.11,8.42694E-10
-0.1,8.6749E-10
-0.09,8.92225E-10
-0.08,9.18953E-10
-0.07,9.43686E-10
-0.06,9.67736E-10
-0.05,9.95325E-10
-0.04,1.02334E-09
-0.03,1.04875E-09
-0.02,1.07878E-09
-0.01,1.10559E-09
0,1.13109E-09
0.01,1.15796E-09
0.02,1.18558E-09
0.03,1.2095E-09
0.04,1.23661E-09
0.05,1.26372E-09
0.06,1.28462E-09
0.07,1.30823E-09
0.08,1.33372E-09
0.09,1.35387E-09
0.1,1.37382E-09
0.11,1.39593E-09
0.12,1.41365E-09
0.13,1.43541E-09
0.14,1.45124E-09
0.15,1.46611E-09
0.16,1.48207E-09
0.17,1.49703E-09
0.18,1.51805E-09
0.19,1.52551E-09
0.2,1.54206E-09
0.21,1.56024E-09
0.22,1.5688E-09
0.23,1.58506E-09
0.24,1.59192E-09
0.25,1.60575E-09
0.26,1.61703E-09
0.27,1.62457E-09
0.28,1.63486E-09
0.29,1.64459E-09
0.3,1.65444E-09
0.31,1.66255E-09
0.32,1.66825E-09
0.33,1.68018E-09
0.34,1.68723E-09
0.35,1.69169E-09
0.36,1.70001E-09
0.37,1.70415E-09
0.38,1.71388E-09
0.39,1.71603E-09
0.4,1.72441E-09
0.41,1.72993E-09
0.42,1.74006E-09
0.43,1.7418E-09
0.44,1.74492E-09
0.45,1.7554E-09
0.46,1.75771E-09
0.47,1.76479E-09
0.48,1.76687E-09
0.49,1.76714E-09
0.5,1.77484E-09
0.51,1.77978E-09
0.52,1.77999E-09
0.53,1.78488E-09
0.54,1.79077E-09
0.55,1.7969E-09
0.56,1.7983E-09
0.57,1.80402E-09
0.58,1.80699E-09
0.59,1.80719E-09
0.6,1.80638E-09
0.61,1.81315E-09
0.62,1.81378E-09
0.63,1.81959E-09
0.64,1.81995E-09
0.65,1.82709E-09
0.66,1.82767E-09
0.67,1.82666E-09
0.68,1.83098E-09
0.69,1.83255E-09
0.7,1.83666E-09
0.71,1.83825E-09
0.72,1.83984E-09
0.73,1.84502E-09
0.74,1.84609E-09
0.75,1.84929E-09
0.76,1.84912E-09
0.77,1.85524E-09
0.78,1.85535E-09
0.79,1.85335E-09
0.8,1.85585E-09
0.81,1.85846E-09
0.82,1.86244E-09
0.83,1.85691E-09
0.84,1.86098E-09
0.85,1.86781E-09
0.86,1.863E-09
0.87,1.86841E-09
0.88,1.86893E-09
0.89,1.86798E-09
0.9,1.86934E-09
0.91,1.87514E-09
0.92,1.87368E-09
0.93,1.87596E-09
0.94,1.88047E-09
0.95,1.88034E-09
0.96,1.88199E-09
0.97,1.88308E-09
0.98,1.88255E-09
0.99,1.88308E-09
1,1.88554E-09
1.01,1.88421E-09
1.02,1.88985E-09
1.03,1.88794E-09
1.04,1.89336E-09
1.05,1.88746E-09
1.06,1.89361E-09
1.07,1.89534E-09
1.08,1.89654E-09
1.09,1.89636E-09
1.1,1.8945E-09
1.11,1.89574E-09
1.12,1.89602E-09
1.13,1.89927E-09
1.14,1.89945E-09
1.15,1.89845E-09
1.16,1.90233E-09
1.17,1.90446E-09
1.18,1.9056E-09
1.19,1.9043E-09
1.2,1.90274E-09
1.21,1.9033E-09
1.22,1.90825E-09
1.23,1.90741E-09
1.24,1.90858E-09
1.25,1.89758E-09
1.26,1.90984E-09
1.27,1.90895E-09
1.28,1.91161E-09
1.29,1.91025E-09
1.3,1.91297E-09
1.31,1.90993E-09
1.32,1.91425E-09
1.33,1.91492E-09
1.34,1.91295E-09
1.35,1.91528E-09
1.36,1.91062E-09
1.37,1.91816E-09
1.38,1.91675E-09
1.39,1.91258E-09
1.4,1.91824E-09
1.41,1.92144E-09
1.42,1.92136E-09
1.43,1.92069E-09
1.44,1.92116E-09
1.45,1.91877E-09
1.46,1.92149E-09
1.47,1.9258E-09
1.48,1.92374E-09
1.49,1.92393E-09
1.5,1.92378E-09
1.51,1.92375E-09
1.52,1.92678E-09
1.53,1.92676E-09
1.54,1.92536E-09
1.55,1.92538E-09
1.56,1.92863E-09
1.57,1.92513E-09
1.58,1.92722E-09
1.59,1.9286E-09
1.6,1.93227E-09
1.61,1.9316E-09
1.62,1.93324E-09
1.63,1.93224E-09
1.64,1.93253E-09
1.65,1.9303E-09
1.66,1.93137E-09
1.67,1.93053E-09
1.68,1.92925E-09
1.69,1.93352E-09
1.7,1.92952E-09
1.71,1.932E-09
1.72,1.93503E-09
1.73,1.93684E-09
1.74,1.93367E-09
1.75,1.93751E-09
1.76,1.93725E-09
1.77,1.9356E-09
1.78,1.93809E-09
1.79,1.93665E-09
1.8,1.93658E-09
1.81,1.93825E-09
1.82,1.93862E-09
1.83,1.94055E-09
1.84,1.93872E-09
1.85,1.93945E-09
1.86,1.93904E-09
1.87,1.94048E-09
1.88,1.9379E-09
1.89,1.94077E-09
1.9,1.94387E-09
1.91,1.94063E-09
1.92,1.94216E-09
1.93,1.93919E-09
1.94,1.94171E-09
1.95,1.94259E-09
1.96,1.94243E-09
1.97,1.94126E-09
1.98,1.94475E-09
1.99,1.94537E-09
2,1.9467E-09
2.01,1.94446E-09
2.02,1.94435E-09
2.03,1.9433E-09
2.04,1.94571E-09
2.05,1.94666E-09
2.06,1.9444E-09
2.07,1.94438E-09
2.08,1.94712E-09
2.09,1.94732E-09
2.1,1.94807E-09
2.11,1.94926E-09
2.12,1.9473E-09
2.13,1.9471E-09
2.14,1.94735E-09
2.15,1.94733E-09
2.16,1.94523E-09
2.17,1.94835E-09
2.18,1.95082E-09
2.19,1.94725E-09
2.2,1.94884E-09
2.21,1.95182E-09
2.22,1.95024E-09
2.23,1.94934E-09
2.24,1.95205E-09
2.25,1.94823E-09
2.26,1.95109E-09
2.27,1.95181E-09
2.28,1.95345E-09
2.29,1.94962E-09
2.3,1.95242E-09
2.31,1.95105E-09
2.32,1.95097E-09
2.33,1.95477E-09
2.34,1.95173E-09
2.35,1.95224E-09
2.36,1.951E-09
2.37,1.9565E-09
2.38,1.95289E-09
2.39,1.95256E-09
2.4,1.95478E-09
2.41,1.95599E-09
2.42,1.95393E-09
2.43,1.95348E-09
2.44,1.95437E-09
2.45,1.95488E-09
2.46,1.95599E-09
2.47,1.95502E-09
2.48,1.95533E-09
2.49,1.95692E-09
2.5,1.95671E-09
2.51,1.95289E-09
2.52,1.95726E-09
2.53,1.957E-09
2.54,1.9577E-09
2.55,1.95525E-09
2.56,1.95392E-09
2.57,1.95817E-09
2.58,1.95839E-09
2.59,1.95836E-09
2.6,1.95429E-09
2.61,1.95849E-09
2.62,1.95975E-09
2.63,1.95446E-09
2.64,1.95595E-09
2.65,1.95878E-09
2.66,1.95572E-09
2.67,1.95836E-09
2.68,1.96159E-09
2.69,1.95931E-09
2.7,1.95882E-09
2.71,1.95969E-09
2.72,1.9584E-09
2.73,1.96225E-09
2.74,1.9575E-09
2.75,1.96176E-09
2.76,1.96242E-09
2.77,1.96002E-09
2.78,1.95876E-09
2.79,1.96191E-09
2.8,1.95921E-09
2.81,1.96093E-09
2.82,1.95849E-09
2.83,1.95926E-09
2.84,1.96007E-09
2.85,1.96113E-09
2.86,1.96197E-09
2.87,1.96193E-09
2.88,1.95827E-09
2.89,1.96018E-09
2.9,1.96388E-09
2.91,1.9644E-09
2.92,1.96277E-09
2.93,1.95885E-09
2.94,1.96189E-09
2.95,1.96158E-09
2.96,1.96491E-09
2.97,1.96271E-09
2.98,1.96345E-09
2.99,1.96597E-09
3,1.96367E-09
-3,1.60305E-10
-2.99,1.60597E-10
-2.98,1.60888E-10
-2.97,1.61156E-10
-2.96,1.61454E-10
-2.95,1.617E-10
-2.94,1.62004E-10
-2.93,1.62302E-10
-2.92,1.62545E-10
-2.91,1.62876E-10
-2.9,1.63124E-10
-2.89,1.6343E-10
-2.88,1.63685E-10
-2.87,1.63994E-10
-2.86,1.643E-10
-2.85,1.64579E-10
-2.84,1.64899E-10
-2.83,1.65191E-10
-2.82,1.65505E-10
-2.81,1.65793E-10
-2.8,1.66105E-10
-2.79,1.66423E-10
-2.78,1.66726E-10
-2.77,1.67078E-10
-2.76,1.67362E-10
-2.75,1.67708E-10
-2.74,1.67974E-10
-2.73,1.68311E-10
-2.72,1.68637E-10
-2.71,1.68929E-10
-2.7,1.69285E-10
-2.69,1.69619E-10
-2.68,1.69933E-10
-2.67,1.70274E-10
-2.66,1.70608E-10
-2.65,1.70882E-10
-2.64,1.7125E-10
-2.63,1.71513E-10
-2.62,1.71898E-10
-2.61,1.72279E-10
-2.6,1.72613E-10
-2.59,1.7292E-10
-2.58,1.73307E-10
-2.57,1.7367E-10
-2.56,1.73999E-10
-2.55,1.74365E-10
-2.54,1.74747E-10
-2.53,1.75077E-10
-2.52,1.75473E-10
-2.51,1.75847E-10
-2.5,1.76167E-10
-2.49,1.76526E-10
-2.48,1.76887E-10
-2.47,1.77243E-10
-2.46,1.7768E-10
-2.45,1.78019E-10
-2.44,1.78416E-10
-2.43,1.78809E-10
-2.42,1.79148E-10
-2.41,1.79556E-10
-2.4,1.79936E-10
-2.39,1.80319E-10
-2.38,1.8076E-10
-2.37,1.81123E-10
-2.36,1.81479E-10
-2.35,1.81945E-10
-2.34,1.82348E-10
-2.33,1.82782E-10
-2.32,1.83204E-10
-2.31,1.83591E-10
-2.3,1.83996E-10
-2.29,1.84396E-10
-2.28,1.84861E-10
-2.27,1.85233E-10
-2.26,1.85665E-10
-2.25,1.86135E-10
-2.24,1.86532E-10
-2.23,1.86955E-10
-2.22,1.87424E-10
-2.21,1.87868E-10
-2.2,1.88306E-10
-2.19,1.88735E-10
-2.18,1.89142E-10
-2.17,1.89653E-10
-2.16,1.90127E-10
-2.15,1.90558E-10
-2.14,1.91004E-10
-2.13,1.91519E-10
-2.12,1.91955E-10
-2.11,1.92479E-10
-2.1,1.92953E-10
-2.09,1.93417E-10
-2.08,1.93937E-10
-2.07,1.94417E-10
-2.06,1.94868E-10
-2.05,1.95435E-10
-2.04,1.95886E-10
-2.03,1.96412E-10
-2.02,1.96913E-10
-2.01,1.97405E-10
-2,1.97919E-10
-1.99,1.98438E-10
-1.98,1.98944E-10
-1.97,1.99501E-10
-1.96,2.00047E-10
-1.95,2.00561E-10
-1.94,2.01125E-10
-1.93,2.01661E-10
-1.92,2.02289E-10
-1.91,2.02782E-10
-1.9,2.03385E-10
-1.89,2.03964E-10
-1.88,2.04486E-10
-1.87,2.05064E-10
-1.86,2.05645E-10
-1.85,2.06241E-10
-1.84,2.06786E-10
-1.83,2.07377E-10
-1.82,2.07996E-10
-1.81,2.08648E-10
-1.8,2.09199E-10
-1.79,2.09808E-10
-1.78,2.10448E-10
-1.77,2.11085E-10
-1.76,2.11687E-10
-1.75,2.12346E-10
-1.74,2.12984E-10
-1.73,2.13589E-10
-1.72,2.14286E-10
-1.71,2.14923E-10
-1.7,2.1566E-10
-1.69,2.16287E-10
-1.68,2.17041E-10
-1.67,2.17645E-10
-1.66,2.18352E-10
-1.65,2.19063E-10
-1.64,2.19788E-10
-1.63,2.20494E-10
-1.62,2.21197E-10
-1.61,2.21955E-10
-1.6,2.22709E-10
-1.59,2.23401E-10
-1.58,2.24137E-10
-1.57,2.24906E-10
-1.56,2.25651E-10
-1.55,2.26403E-10
-1.54,2.2721E-10
-1.53,2.28006E-10
-1.52,2.28799E-10
-1.51,2.29591E-10
-1.5,2.304E-10
-1.49,2.31307E-10
-1.48,2.32103E-10
-1.47,2.3298E-10
-1.46,2.33778E-10
-1.45,2.34675E-10
-1.44,2.35487E-10
-1.43,2.36426E-10
-1.42,2.37254E-10
-1.41,2.38137E-10
-1.4,2.39063E-10
-1.39,2.40009E-10
-1.38,2.40878E-10
-1.37,2.41814E-10
-1.36,2.42803E-10
-1.35,2.43717E-10
-1.34,2.44703E-10
-1.33,2.45661E-10
-1.32,2.46658E-10
-1.31,2.47696E-10
-1.3,2.48677E-10
-1.29,2.4976E-10
-1.28,2.50887E-10
-1.27,2.51914E-10
-1.26,2.53024E-10
-1.25,2.54073E-10
-1.24,2.55157E-10
-1.23,2.56278E-10
-1.22,2.57415E-10
-1.21,2.5852E-10
-1.2,2.59681E-10
-1.19,2.60835E-10
-1.18,2.62041E-10
-1.17,2.63239E-10
-1.16,2.64456E-10
-1.15,2.65675E-10
-1.14,2.66944E-10
-1.13,2.68204E-10
-1.12,2.69459E-10
-1.11,2.70815E-10
-1.1,2.72159E-10
-1.09,2.73521E-10
-1.08,2.74832E-10
-1.07,2.76218E-10
-1.06,2.77772E-10
-1.05,2.79248E-10
-1.04,2.80626E-10
-1.03,2.82183E-10
-1.02,2.83618E-10
-1.01,2.85183E-10
-1,2.86688E-10
-0.99,2.88242E-10
-0.98,2.89892E-10
-0.97,2.9152E-10
-0.96,2.93095E-10
-0.95,2.94878E-10
-0.94,2.96505E-10
-0.93,2.98307E-10
-0.92,3.00028E-10
-0.91,3.01784E-10
-0.9,3.0371E-10
-0.89,3.05532E-10
-0.88,3.07407E-10
-0.87,3.09309E-10
-0.86,3.11309E-10
-0.85,3.13468E-10
-0.84,3.15545E-10
-0.83,3.17599E-10
-0.82,3.1978E-10
-0.81,3.2187E-10
-0.8,3.23985E-10
-0.79,3.26207E-10
-0.78,3.28375E-10
-0.77,3.30603E-10
-0.76,3.32847E-10
-0.75,3.35143E-10
-0.74,3.37453E-10
-0.73,3.39661E-10
-0.72,3.41939E-10
-0.71,3.44226E-10
-0.7,3.4634E-10
-0.69,3.48717E-10
-0.68,3.51071E-10
-0.67,3.53394E-10
-0.66,3.55895E-10
-0.65,3.58476E-10
-0.64,3.61459E-10
-0.63,3.64353E-10
-0.62,3.6734E-10
-0.61,3.70456E-10
-0.6,3.73653E-10
-0.59,3.77046E-10
-0.58,3.80477E-10
-0.57,3.84038E-10
-0.56,3.87651E-10
-0.55,3.91483E-10
-0.54,3.95385E-10
-0.53,3.9937E-10
-0.52,4.03511E-10
-0.51,4.0777E-10
-0.5,4.12142E-10
-0.49,4.16734E-10
-0.48,4.21407E-10
-0.47,4.2624E-10
-0.46,4.31209E-10
-0.45,4.36358E-10
-0.44,4.41749E-10
-0.43,4.47338E-10
-0.42,4.53674E-10
-0.41,4.59718E-10
-0.4,4.65894E-10
-0.39,4.72439E-10
-0.38,4.79069E-10
-0.37,4.86004E-10
-0.36,4.93314E-10
-0.35,5.00991E-10
-0.34,5.08938E-10
-0.33,5.172E-10
-0.32,5.25821E-10
-0.31,5.34965E-10
-0.3,5.44482E-10
-0.29,5.54335E-10
-0.28,5.64827E-10
-0.27,5.75811E-10
-0.26,5.87319E-10
-0.25,5.99506E-10
-0.24,6.12281E-10
-0.23,6.25682E-10
-0.22,6.3966E-10
-0.21,6.55985E-10
-0.2,6.71564E-10
-0.19,6.87684E-10
-0.18,7.04672E-10
-0.17,7.22443E-10
-0.16,7.40846E-10
-0.15,7.60065E-10
-0.14,7.79759E-10
-0.13,8.00177E-10
-0.12,8.21024E-10
-0.11,8.42341E-10
-0.1,8.64137E-10
-0.09,8.86264E-10
-0.08,9.08224E-10
-0.07,9.30351E-10
-0.06,9.52747E-10
-0.05,9.74598E-10
-0.04,9.96215E-10
-0.03,1.01733E-09
-0.02,1.03812E-09
-0.01,1.05807E-09
0,1.07718E-09
0.01,1.09558E-09
0.02,1.11325E-09
0.03,1.12969E-09
0.04,1.14573E-09
0.05,1.16045E-09
0.06,1.17498E-09
0.07,1.18791E-09
0.08,1.20013E-09
0.09,1.21139E-09
0.1,1.22189E-09
0.11,1.23179E-09
0.12,1.2408E-09
0.13,1.24898E-09
0.14,1.2567E-09
0.15,1.26401E-09
0.16,1.27075E-09
