Setup title,"C-V Sweep(1M-light)"
-0.32,8.54296E-11
-0.31,8.43494E-11
-0.3,8.29874E-11
-0.29,8.25088E-11
-0.28,8.11107E-11
-0.27,7.96403E-11
-0.26,7.73804E-11
-0.25,7.79124E-11
-0.24,7.5279E-11
-0.23,7.33129E-11
-0.22,7.14875E-11
-0.21,6.75311E-11
-0.2,6.50341E-11
-0.19,6.38948E-11
-0.18,6.20978E-11
-0.17,6.11852E-11
-0.16,5.89939E-11
-0.15,5.75626E-11
-0.14,5.68376E-11
-0.13,5.58747E-11
-0.12,5.41563E-11
-0.11,5.28522E-11
-0.1,5.14168E-11
-0.09,5.00489E-11
-0.08,4.88858E-11
-0.07,4.78136E-11
-0.06,4.66834E-11
-0.05,4.55202E-11
-0.04,4.44313E-11
-0.03,4.34984E-11
-0.02,4.26553E-11
-0.01,4.18827E-11
0,4.07957E-11
0.01,4.0096E-11
0.02,3.93623E-11
0.03,3.85962E-11
0.04,3.78391E-11
0.05,3.7392E-11
0.06,3.65572E-11
0.07,3.6096E-11
0.08,3.58618E-11
0.09,3.5465E-11
0.1,3.50031E-11
0.11,3.45658E-11
0.12,3.40318E-11
0.13,3.38308E-11
0.14,3.34979E-11
0.15,3.33489E-11
0.16,3.2799E-11
0.17,3.27344E-11
0.18,3.22953E-11
0.19,3.21499E-11
0.2,3.20662E-11
0.21,3.17564E-11
0.22,3.1546E-11
0.23,3.13511E-11
0.24,3.0984E-11
0.25,3.08665E-11
0.26,3.05557E-11
0.27,3.03965E-11
0.28,3.01492E-11
0.29,3.00399E-11
0.3,3.00486E-11
0.31,2.99193E-11
0.32,3.00067E-11
0.33,2.98864E-11
0.34,2.96799E-11
0.35,2.95851E-11
0.36,2.93714E-11
0.37,2.94403E-11
0.38,2.92039E-11
0.39,2.90816E-11
0.4,2.90158E-11
0.41,2.90781E-11
0.42,2.89739E-11
0.43,2.8616E-11
0.44,2.87064E-11
0.45,2.86136E-11
0.46,2.85987E-11
0.47,2.84417E-11
0.48,2.83154E-11
0.49,2.9005E-11
0.5,2.91127E-11
0.51,2.87419E-11
0.52,2.88955E-11
0.53,2.88627E-11
0.54,2.88086E-11
0.55,2.88621E-11
0.56,2.86352E-11
0.57,2.88408E-11
0.58,2.86162E-11
0.59,2.86479E-11
0.6,2.85165E-11
0.61,2.85758E-11
0.62,2.83905E-11
0.63,2.84066E-11
0.64,2.83544E-11
0.65,2.83548E-11
0.66,2.83981E-11
0.67,2.81619E-11
0.68,2.78544E-11
0.69,2.79303E-11
0.7,2.78512E-11
0.71,2.7907E-11
0.72,2.7968E-11
0.73,2.80189E-11
0.74,2.79194E-11
0.75,2.79111E-11
0.76,2.79329E-11
0.77,2.78272E-11
0.78,2.75334E-11
0.79,2.75315E-11
0.8,2.75756E-11
0.81,2.78027E-11
0.82,2.76914E-11
0.83,2.77055E-11
0.84,2.75759E-11
0.85,2.76974E-11
0.86,2.76056E-11
0.87,2.75384E-11
0.88,2.73974E-11
0.89,2.76073E-11
0.9,2.74042E-11
0.91,2.74317E-11
0.92,2.74418E-11
0.93,2.73391E-11
0.94,2.75118E-11
0.95,2.7459E-11
0.96,2.73408E-11
0.97,2.72575E-11
0.98,2.70437E-11
0.99,2.71317E-11
1,2.73069E-11
1.01,2.74371E-11
1.02,2.71869E-11
1.03,2.73544E-11
1.04,2.70881E-11
1.05,2.7018E-11
1.06,2.7072E-11
1.07,2.69954E-11
1.08,2.7264E-11
1.09,2.72793E-11
1.1,2.71792E-11
1.11,2.71603E-11
1.12,2.72136E-11
1.13,2.72026E-11
1.14,2.71926E-11
1.15,2.71282E-11
1.16,2.7097E-11
1.17,2.73085E-11
1.18,2.7075E-11
1.19,2.70918E-11
1.2,2.7111E-11
1.21,2.70013E-11
1.22,2.69081E-11
1.23,2.69929E-11
1.24,2.69159E-11
1.25,2.68803E-11
1.26,2.6846E-11
1.27,2.66599E-11
1.28,2.63324E-11
1.29,2.6506E-11
1.3,2.66915E-11
1.31,2.64509E-11
1.32,2.67925E-11
1.33,2.67768E-11
1.34,2.64598E-11
1.35,2.66041E-11
1.36,2.66239E-11
1.37,2.65917E-11
1.38,2.67329E-11
1.39,2.65845E-11
1.4,2.6619E-11
1.41,2.65436E-11
1.42,2.64034E-11
1.43,2.63743E-11
1.44,2.65914E-11
1.45,2.64732E-11
1.46,2.67388E-11
1.47,2.66412E-11
1.48,2.66277E-11
1.49,2.63228E-11
1.5,2.66595E-11
1.51,2.66982E-11
1.52,2.66548E-11
1.53,2.63367E-11
1.54,2.59906E-11
1.55,2.59237E-11
1.56,2.60742E-11
1.57,2.60583E-11
1.58,2.61514E-11
1.59,2.60847E-11
1.6,2.62138E-11
1.61,2.62896E-11
1.62,2.61532E-11
1.63,2.60999E-11
1.64,2.63668E-11
1.65,2.59687E-11
1.66,2.61227E-11
1.67,2.59611E-11
1.68,2.60478E-11
1.69,2.62551E-11
1.7,2.63524E-11
1.71,2.6394E-11
1.72,2.60795E-11
1.73,2.60345E-11
1.74,2.60519E-11
1.75,2.61367E-11
1.76,2.60574E-11
1.77,2.59053E-11
1.78,2.60856E-11
1.79,2.59344E-11
1.8,2.6108E-11
1.81,2.60829E-11
1.82,2.61958E-11
1.83,2.60969E-11
1.84,2.63595E-11
1.85,2.63578E-11
1.86,2.60163E-11
1.87,2.61671E-11
1.88,2.61568E-11
1.89,2.61698E-11
1.9,2.6031E-11
1.91,2.61481E-11
1.92,2.64653E-11
1.93,2.63008E-11
1.94,2.61584E-11
1.95,2.63045E-11
1.96,2.61929E-11
1.97,2.62224E-11
1.98,2.62618E-11
1.99,2.63639E-11
2,2.61127E-11
2.01,2.60376E-11
2.02,2.61549E-11
2.03,2.60089E-11
2.04,2.64278E-11
2.05,2.59642E-11
2.06,2.58805E-11
2.07,2.58195E-11
2.08,2.57366E-11
2.09,2.572E-11
2.1,2.56574E-11
2.11,2.58413E-11
2.12,2.57827E-11
2.13,2.59207E-11
2.14,2.58715E-11
2.15,2.59858E-11
2.16,2.55727E-11
2.17,2.58324E-11
2.18,2.58052E-11
2.19,2.572E-11
2.2,2.57306E-11
2.21,2.59034E-11
2.22,2.55711E-11
2.23,2.57266E-11
2.24,2.54005E-11
2.25,2.55305E-11
2.26,2.55117E-11
2.27,2.56997E-11
2.28,2.5729E-11
2.29,2.56921E-11
2.3,2.54123E-11
2.31,2.57526E-11
2.32,2.57336E-11
2.33,2.55962E-11
2.34,2.57845E-11
2.35,2.5616E-11
2.36,2.58069E-11
2.37,2.56714E-11
2.38,2.58714E-11
2.39,2.57311E-11
2.4,2.55592E-11
2.41,2.55358E-11
2.42,2.55851E-11
2.43,2.56743E-11
2.44,2.53523E-11
2.45,2.53394E-11
2.46,2.55212E-11
2.47,2.56316E-11
2.48,2.5719E-11
2.49,2.56519E-11
2.5,2.56224E-11
2.51,2.55212E-11
2.52,2.53941E-11
2.53,2.52552E-11
2.54,2.54729E-11
2.55,2.52985E-11
2.56,2.53613E-11
2.57,2.52391E-11
2.58,2.54644E-11
2.59,2.54509E-11
2.6,2.53502E-11
2.61,2.52047E-11
2.62,2.56331E-11
2.63,2.56362E-11
2.64,2.55938E-11
2.65,2.5503E-11
2.66,2.56688E-11
2.67,2.56387E-11
2.68,2.56907E-11
2.69,2.5561E-11
2.7,2.55297E-11
2.71,2.55137E-11
2.72,2.57248E-11
2.73,2.54867E-11
2.74,2.54486E-11
2.75,2.53805E-11
2.76,2.54812E-11
2.77,2.5636E-11
2.78,2.55214E-11
2.79,2.55403E-11
2.8,2.56335E-11
2.81,2.54354E-11
2.82,2.5529E-11
2.83,2.54172E-11
2.84,2.53809E-11
2.85,2.55841E-11
2.86,2.55484E-11
2.87,2.55816E-11
2.88,2.53837E-11
2.89,2.54012E-11
2.9,2.5535E-11
2.91,2.52204E-11
2.92,2.53421E-11
2.93,2.5404E-11
2.94,2.5596E-11
2.95,2.54544E-11
2.96,2.5465E-11
2.97,2.5253E-11
2.98,2.5312E-11
2.99,2.555E-11
3,2.52878E-11
