Setup title,C-v_3V_10s_dark
-0.77,1.93973E-10
-0.76,1.93999E-10
-0.75,1.94124E-10
-0.74,1.9397E-10
-0.73,1.9423E-10
-0.72,1.94025E-10
-0.71,1.94099E-10
-0.7,1.94351E-10
-0.69,1.94088E-10
-0.68,1.94432E-10
-0.67,1.94164E-10
-0.66,1.94453E-10
-0.65,1.94222E-10
-0.64,1.94507E-10
-0.63,1.94841E-10
-0.62,1.94308E-10
-0.61,1.94627E-10
-0.6,1.9434E-10
-0.59,1.94359E-10
-0.58,1.94704E-10
-0.57,1.94371E-10
-0.56,1.94588E-10
-0.55,1.94455E-10
-0.54,1.94714E-10
-0.53,1.94669E-10
-0.52,1.94565E-10
-0.51,1.94832E-10
-0.5,1.94606E-10
-0.49,1.94923E-10
-0.48,1.94959E-10
-0.47,1.9462E-10
-0.46,1.94917E-10
-0.45,1.94743E-10
-0.44,1.95254E-10
-0.43,1.94917E-10
-0.42,1.95017E-10
-0.41,1.95169E-10
-0.4,1.94974E-10
-0.39,1.95332E-10
-0.38,1.951E-10
-0.37,1.95175E-10
-0.36,1.95394E-10
-0.35,1.95285E-10
-0.34,1.95454E-10
-0.33,1.95333E-10
-0.32,1.95364E-10
-0.31,1.95737E-10
-0.3,1.9524E-10
-0.29,1.95534E-10
-0.28,1.95499E-10
-0.27,1.95598E-10
-0.26,1.95872E-10
-0.25,1.95497E-10
-0.24,1.95887E-10
-0.23,1.95817E-10
-0.22,1.95948E-10
-0.21,1.96148E-10
-0.2,1.95878E-10
-0.19,1.96254E-10
-0.18,1.96228E-10
-0.17,1.96218E-10
-0.16,1.9632E-10
-0.15,1.96151E-10
-0.14,1.96664E-10
-0.13,1.96659E-10
-0.12,1.96621E-10
-0.11,1.96924E-10
-0.1,1.96943E-10
-0.09,1.97264E-10
-0.08,1.97158E-10
-0.07,1.97354E-10
-0.06,1.97633E-10
-0.05,1.97516E-10
-0.04,1.97887E-10
-0.03,1.97891E-10
-0.02,1.98234E-10
-0.01,1.98797E-10
0,1.98631E-10
0.01,1.99124E-10
0.02,1.99335E-10
0.03,1.9998E-10
0.04,2.00216E-10
0.05,2.00299E-10
0.06,2.01187E-10
0.07,2.01495E-10
0.08,2.02241E-10
0.09,2.0287E-10
0.1,2.03545E-10
0.11,2.04494E-10
0.12,2.05207E-10
0.13,2.06074E-10
0.14,2.06804E-10
0.15,2.07794E-10
0.16,2.08821E-10
0.17,2.09627E-10
0.18,2.10868E-10
0.19,2.11425E-10
0.2,2.12595E-10
0.21,2.13994E-10
0.22,2.14761E-10
0.23,2.16392E-10
0.24,2.16906E-10
0.25,2.18192E-10
0.26,2.19574E-10
0.27,2.20503E-10
0.28,2.22364E-10
0.29,2.23117E-10
0.3,2.24671E-10
0.31,2.25878E-10
0.32,2.26925E-10
0.33,2.29008E-10
0.34,2.29945E-10
0.35,2.31245E-10
0.36,2.33037E-10
0.37,2.34064E-10
0.38,2.36036E-10
0.39,2.37184E-10
0.4,2.38982E-10
0.41,2.40751E-10
0.42,2.41888E-10
0.43,2.44233E-10
0.44,2.45305E-10
0.45,2.4776E-10
0.46,2.49458E-10
0.47,2.5116E-10
0.48,2.53475E-10
0.49,2.54841E-10
0.5,2.5739E-10
0.51,2.59062E-10
0.52,2.61168E-10
0.53,2.63311E-10
0.54,2.65092E-10
0.55,2.68149E-10
0.56,2.69882E-10
0.57,2.72158E-10
0.58,2.74903E-10
0.59,2.76794E-10
0.6,2.79872E-10
0.61,2.81687E-10
0.62,2.84478E-10
0.63,2.86693E-10
0.64,2.88954E-10
0.65,2.92274E-10
0.66,2.94291E-10
0.67,2.97335E-10
0.68,3.003E-10
0.69,3.02077E-10
0.7,3.05767E-10
0.71,3.07763E-10
0.72,3.10573E-10
0.73,3.13337E-10
0.74,3.15588E-10
0.75,3.18958E-10
0.76,3.2093E-10
0.77,3.23724E-10
0.78,3.26158E-10
0.79,3.28262E-10
0.8,3.31182E-10
0.81,3.32846E-10
0.82,3.35421E-10
0.83,3.37095E-10
0.84,3.39305E-10
0.85,3.41811E-10
0.86,3.4328E-10
0.87,3.45884E-10
0.88,3.47544E-10
0.89,3.49293E-10
0.9,3.51393E-10
0.91,3.52592E-10
0.92,3.54683E-10
0.93,3.56171E-10
0.94,3.57684E-10
0.95,3.59525E-10
0.96,3.60372E-10
0.97,3.6259E-10
0.98,3.63849E-10
0.99,3.64679E-10
1,3.66379E-10
1.01,3.67301E-10
1.02,3.68701E-10
1.03,3.69719E-10
1.04,3.70703E-10
1.05,3.71773E-10
1.06,3.72812E-10
1.07,3.73905E-10
1.08,3.74693E-10
1.09,3.75961E-10
1.1,3.76779E-10
1.11,3.77213E-10
1.12,3.78326E-10
1.13,3.79019E-10
1.14,3.79922E-10
1.15,3.80672E-10
1.16,3.81317E-10
1.17,3.8236E-10
1.18,3.82713E-10
1.19,3.83458E-10
1.2,3.83999E-10
1.21,3.84542E-10
1.22,3.85417E-10
1.23,3.85802E-10
1.24,3.86396E-10
1.25,3.86542E-10
1.26,3.87322E-10
1.27,3.88264E-10
1.28,3.88094E-10
1.29,3.88991E-10
1.3,3.89212E-10
1.31,3.90135E-10
1.32,3.90386E-10
1.33,3.90602E-10
1.34,3.91078E-10
1.35,3.91421E-10
1.36,3.91936E-10
1.37,3.92381E-10
1.38,3.92724E-10
1.39,3.93046E-10
1.4,3.93145E-10
1.41,3.9372E-10
1.42,3.94047E-10
1.43,3.94428E-10
1.44,3.95183E-10
1.45,3.95522E-10
1.46,3.95724E-10
1.47,3.95798E-10
1.48,3.96311E-10
1.49,3.967E-10
1.5,3.96646E-10
1.51,3.97197E-10
1.52,3.97309E-10
1.53,3.97528E-10
1.54,3.97961E-10
1.55,3.97942E-10
1.56,3.98289E-10
1.57,3.98591E-10
1.58,3.98751E-10
1.59,3.98921E-10
1.6,3.99197E-10
1.61,3.99529E-10
1.62,3.99297E-10
1.63,3.99795E-10
1.64,3.99881E-10
1.65,3.99903E-10
1.66,4.00362E-10
1.67,4.00581E-10
1.68,4.00634E-10
1.69,4.00783E-10
1.7,4.00877E-10
1.71,4.01198E-10
1.72,4.01136E-10
1.73,4.0137E-10
1.74,4.01501E-10
1.75,4.01644E-10
1.76,4.01737E-10
1.77,4.01737E-10
1.78,4.01882E-10
1.79,4.02075E-10
1.8,4.01924E-10
1.81,4.02373E-10
1.82,4.02498E-10
1.83,4.02909E-10
1.84,4.02751E-10
1.85,4.02686E-10
1.86,4.03287E-10
1.87,4.03001E-10
1.88,4.03096E-10
1.89,4.03352E-10
1.9,4.03503E-10
1.91,4.03731E-10
1.92,4.03475E-10
1.93,4.03791E-10
1.94,4.03755E-10
1.95,4.0387E-10
1.96,4.04025E-10
1.97,4.04374E-10
1.98,4.04127E-10
1.99,4.04298E-10
2,4.04391E-10
2,4.04645E-10
1.99,4.04492E-10
1.98,4.04498E-10
1.97,4.04401E-10
1.96,4.04665E-10
1.95,4.04737E-10
1.94,4.04538E-10
1.93,4.04789E-10
1.92,4.04617E-10
1.91,4.04662E-10
1.9,4.04679E-10
1.89,4.04671E-10
1.88,4.04746E-10
1.87,4.04836E-10
1.86,4.04753E-10
1.85,4.04539E-10
1.84,4.04412E-10
1.83,4.04606E-10
1.82,4.04777E-10
1.81,4.04708E-10
1.8,4.04681E-10
1.79,4.04685E-10
1.78,4.04687E-10
1.77,4.04509E-10
1.76,4.04781E-10
1.75,4.0508E-10
1.74,4.04789E-10
1.73,4.04801E-10
1.72,4.0463E-10
1.71,4.04594E-10
1.7,4.0441E-10
1.69,4.04648E-10
1.68,4.04343E-10
1.67,4.04654E-10
1.66,4.04721E-10
1.65,4.046E-10
1.64,4.04729E-10
1.63,4.04805E-10
1.62,4.04348E-10
1.61,4.0473E-10
1.6,4.04767E-10
1.59,4.0451E-10
1.58,4.04454E-10
1.57,4.04406E-10
1.56,4.04505E-10
1.55,4.04371E-10
1.54,4.04504E-10
1.53,4.04585E-10
1.52,4.0448E-10
1.51,4.044E-10
1.5,4.04287E-10
1.49,4.04404E-10
1.48,4.04396E-10
1.47,4.04328E-10
1.46,4.04388E-10
1.45,4.04354E-10
1.44,4.04497E-10
1.43,4.04374E-10
1.42,4.04418E-10
1.41,4.04111E-10
1.4,4.04162E-10
1.39,4.04187E-10
1.38,4.04294E-10
1.37,4.04372E-10
1.36,4.03995E-10
1.35,4.04409E-10
1.34,4.04431E-10
1.33,4.04309E-10
1.32,4.03979E-10
1.31,4.04096E-10
1.3,4.04134E-10
1.29,4.04154E-10
1.28,4.0386E-10
1.27,4.03911E-10
1.26,4.03836E-10
1.25,4.03807E-10
1.24,4.04006E-10
1.23,4.03562E-10
1.22,4.03814E-10
1.21,4.03623E-10
1.2,4.03615E-10
1.19,4.03807E-10
1.18,4.03745E-10
1.17,4.03731E-10
1.16,4.03729E-10
1.15,4.03621E-10
1.14,4.0371E-10
1.13,4.03394E-10
1.12,4.03653E-10
1.11,4.0338E-10
1.1,4.03415E-10
1.09,4.03455E-10
1.08,4.03253E-10
1.07,4.03453E-10
1.06,4.03533E-10
1.05,4.03014E-10
1.04,4.03183E-10
1.03,4.0316E-10
1.02,4.03133E-10
1.01,4.0287E-10
1,4.03103E-10
0.99,4.03014E-10
0.98,4.02807E-10
0.97,4.0276E-10
0.96,4.03073E-10
0.95,4.02922E-10
0.94,4.03134E-10
0.93,4.02846E-10
0.92,4.02832E-10
0.91,4.02838E-10
0.9,4.02541E-10
0.89,4.02715E-10
0.88,4.02898E-10
0.87,4.02756E-10
0.86,4.02456E-10
0.85,4.02496E-10
0.84,4.0271E-10
0.83,4.02412E-10
0.82,4.0247E-10
0.81,4.02119E-10
0.8,4.02126E-10
0.79,4.02174E-10
0.78,4.02017E-10
0.77,4.02135E-10
0.76,4.01849E-10
0.75,4.01626E-10
0.74,4.01931E-10
0.73,4.01906E-10
0.72,4.01757E-10
0.71,4.01747E-10
0.7,4.0161E-10
0.69,4.01668E-10
0.68,4.0155E-10
0.67,4.0138E-10
0.66,4.01385E-10
0.65,4.0145E-10
0.64,4.01412E-10
0.63,4.01308E-10
0.62,4.01241E-10
0.61,4.00882E-10
0.6,4.00786E-10
0.59,4.00956E-10
0.58,4.00647E-10
0.57,4.00888E-10
0.56,4.00668E-10
0.55,4.00721E-10
0.54,4.00451E-10
0.53,4.00274E-10
0.52,4.00328E-10
0.51,4.00296E-10
0.5,4.00251E-10
0.49,4.00365E-10
0.48,4.00136E-10
0.47,4.00127E-10
0.46,4.00002E-10
0.45,4.00101E-10
0.44,3.99747E-10
0.43,3.99704E-10
0.42,3.9955E-10
0.41,3.99287E-10
0.4,3.99346E-10
0.39,3.99225E-10
0.38,3.99065E-10
0.37,3.99E-10
0.36,3.98791E-10
0.35,3.98977E-10
0.34,3.98724E-10
0.33,3.98539E-10
0.32,3.98607E-10
0.31,3.98362E-10
0.3,3.98188E-10
0.29,3.98202E-10
0.28,3.98314E-10
0.27,3.98013E-10
0.26,3.97913E-10
0.25,3.97922E-10
0.24,3.97551E-10
0.23,3.97598E-10
0.22,3.97209E-10
0.21,3.9703E-10
0.2,3.97397E-10
0.19,3.96873E-10
0.18,3.97015E-10
0.17,3.96913E-10
0.16,3.96315E-10
0.15,3.96435E-10
0.14,3.96178E-10
0.13,3.96148E-10
0.12,3.95827E-10
0.11,3.95559E-10
0.1,3.95565E-10
0.09,3.95266E-10
0.08,3.95002E-10
0.07,3.95108E-10
0.06,3.94687E-10
0.05,3.94566E-10
0.04,3.94194E-10
0.03,3.93897E-10
0.02,3.94513E-10
0.01,3.9358E-10
0,3.93625E-10
-0.01,3.93128E-10
-0.02,3.93317E-10
-0.03,3.9277E-10
-0.04,3.92531E-10
-0.05,3.92415E-10
-0.06,3.91886E-10
-0.07,3.91706E-10
-0.08,3.91375E-10
-0.09,3.91246E-10
-0.1,3.90896E-10
-0.11,3.90447E-10
-0.12,3.90432E-10
-0.13,3.89833E-10
-0.14,3.89549E-10
-0.15,3.89237E-10
-0.16,3.88855E-10
-0.17,3.88572E-10
-0.18,3.88203E-10
-0.19,3.87815E-10
-0.2,3.8734E-10
-0.21,3.86766E-10
-0.22,3.86443E-10
-0.23,3.85782E-10
-0.24,3.85304E-10
-0.25,3.84956E-10
-0.26,3.84474E-10
-0.27,3.83983E-10
-0.28,3.83408E-10
-0.29,3.82612E-10
-0.3,3.82146E-10
-0.31,3.81333E-10
-0.32,3.81063E-10
-0.33,3.79962E-10
-0.34,3.79483E-10
-0.35,3.78996E-10
-0.36,3.78191E-10
-0.37,3.77476E-10
-0.38,3.76441E-10
-0.39,3.75644E-10
-0.4,3.74861E-10
-0.41,3.73564E-10
-0.42,3.72942E-10
-0.43,3.71782E-10
-0.44,3.71057E-10
-0.45,3.69841E-10
-0.46,3.68457E-10
-0.47,3.67818E-10
-0.48,3.6635E-10
-0.49,3.65478E-10
-0.5,3.63766E-10
-0.51,3.61783E-10
-0.52,3.6104E-10
-0.53,3.59224E-10
-0.54,3.57824E-10
-0.55,3.5644E-10
-0.56,3.5432E-10
-0.57,3.53035E-10
-0.58,3.5098E-10
-0.59,3.49212E-10
-0.6,3.47342E-10
-0.61,3.44883E-10
-0.62,3.43227E-10
-0.63,3.40607E-10
-0.64,3.38753E-10
-0.65,3.36056E-10
-0.66,3.33474E-10
-0.67,3.31602E-10
-0.68,3.28316E-10
-0.69,3.26559E-10
-0.7,3.23453E-10
-0.71,3.20186E-10
-0.72,3.18036E-10
-0.73,3.14438E-10
-0.74,3.12315E-10
-0.75,3.09161E-10
-0.76,3.05959E-10
-0.77,3.03767E-10
-0.78,2.99773E-10
-0.79,2.97449E-10
-0.8,2.94232E-10
-0.81,2.91393E-10
-0.82,2.88884E-10
-0.83,2.85433E-10
-0.84,2.83404E-10
-0.85,2.8029E-10
-0.86,2.7721E-10
-0.87,2.75054E-10
-0.88,2.71552E-10
-0.89,2.69793E-10
-0.9,2.6694E-10
-0.91,2.64505E-10
-0.92,2.62526E-10
-0.93,2.59705E-10
-0.94,2.57926E-10
-0.95,2.55246E-10
-0.96,2.53381E-10
-0.97,2.51267E-10
-0.98,2.48855E-10
-0.99,2.47733E-10
-1,2.45025E-10
-1.01,2.43196E-10
-1.02,2.41906E-10
-1.03,2.39702E-10
-1.04,2.38409E-10
-1.05,2.36146E-10
-1.06,2.3494E-10
-1.07,2.33088E-10
-1.08,2.31294E-10
-1.09,2.30012E-10
-1.1,2.28172E-10
-1.11,2.27225E-10
-1.12,2.25655E-10
-1.13,2.2406E-10
-1.14,2.23193E-10
-1.15,2.21462E-10
-1.16,2.2049E-10
-1.17,2.18954E-10
-1.18,2.17618E-10
-1.19,2.1671E-10
-1.2,2.15222E-10
-1.21,2.14406E-10
-1.22,2.13089E-10
-1.23,2.11903E-10
-1.24,2.11259E-10
-1.25,2.09742E-10
-1.26,2.08796E-10
-1.27,2.07778E-10
-1.28,2.06637E-10
-1.29,2.05589E-10
-1.3,2.04509E-10
-1.31,2.0385E-10
-1.32,2.02531E-10
-1.33,2.01648E-10
-1.34,2.00881E-10
-1.35,1.99822E-10
-1.36,1.99185E-10
-1.37,1.97927E-10
-1.38,1.97195E-10
-1.39,1.96444E-10
-1.4,1.95201E-10
-1.41,1.94465E-10
-1.42,1.9381E-10
-1.43,1.92738E-10
-1.44,1.92213E-10
-1.45,1.91257E-10
-1.46,1.90812E-10
-1.47,1.89715E-10
-1.48,1.88927E-10
-1.49,1.88358E-10
-1.5,1.87281E-10
-1.51,1.86819E-10
-1.52,1.85961E-10
-1.53,1.85539E-10
-1.54,1.84874E-10
-1.55,1.83976E-10
-1.56,1.83507E-10
-1.57,1.82478E-10
-1.58,1.82047E-10
-1.59,1.81404E-10
-1.6,1.80454E-10
-1.61,1.80143E-10
-1.62,1.79197E-10
-1.63,1.78772E-10
-1.64,1.78198E-10
-1.65,1.77392E-10
-1.66,1.77134E-10
-1.67,1.76081E-10
-1.68,1.75724E-10
-1.69,1.75088E-10
-1.7,1.74282E-10
-1.71,1.73186E-10
-1.72,1.71542E-10
-1.73,1.70413E-10
-1.74,1.69254E-10
-1.75,1.68195E-10
-1.76,1.66926E-10
-1.77,1.65843E-10
-1.78,1.65044E-10
-1.79,1.63972E-10
-1.8,1.6312E-10
-1.81,1.62356E-10
-1.82,1.611E-10
-1.83,1.6048E-10
-1.84,1.59235E-10
-1.85,1.58436E-10
-1.86,1.57686E-10
-1.87,1.56905E-10
-1.88,1.56071E-10
-1.89,1.55625E-10
-1.9,1.54771E-10
-1.91,1.54292E-10
-1.92,1.53731E-10
-1.93,1.53044E-10
-1.94,1.52715E-10
-1.95,1.51922E-10
-1.96,1.5135E-10
-1.97,1.5087E-10
-1.98,1.50267E-10
-1.99,1.49967E-10
-2,1.49378E-10
-2,1.50228E-10
-1.99,1.50486E-10
-1.98,1.51694E-10
-1.97,1.52426E-10
-1.96,1.50107E-10
-1.95,1.48533E-10
-1.94,1.48919E-10
-1.93,1.49296E-10
-1.92,1.49068E-10
-1.91,1.50189E-10
-1.9,1.51171E-10
-1.89,1.52003E-10
-1.88,1.52224E-10
-1.87,1.5302E-10
-1.86,1.54633E-10
-1.85,1.55067E-10
-1.84,1.55781E-10
-1.83,1.56152E-10
-1.82,1.57711E-10
-1.81,1.58268E-10
-1.8,1.59508E-10
-1.79,1.59608E-10
-1.78,1.60772E-10
-1.77,1.6096E-10
-1.76,1.61722E-10
-1.75,1.62405E-10
-1.74,1.63075E-10
-1.73,1.64232E-10
-1.72,1.65143E-10
-1.71,1.65332E-10
-1.7,1.66487E-10
-1.69,1.67832E-10
-1.68,1.68604E-10
-1.67,1.68825E-10
-1.66,1.69992E-10
-1.65,1.70984E-10
-1.64,1.71883E-10
-1.63,1.72413E-10
-1.62,1.74011E-10
-1.61,1.74666E-10
-1.6,1.75366E-10
-1.59,1.76062E-10
-1.58,1.7716E-10
-1.57,1.77611E-10
-1.56,1.78469E-10
-1.55,1.79291E-10
-1.54,1.80824E-10
-1.53,1.81447E-10
-1.52,1.82281E-10
-1.51,1.82689E-10
-1.5,1.84011E-10
-1.49,1.84205E-10
-1.48,1.84563E-10
-1.47,1.85251E-10
-1.46,1.86437E-10
-1.45,1.86268E-10
-1.44,1.85909E-10
-1.43,1.86924E-10
-1.42,1.87189E-10
-1.41,1.87563E-10
-1.4,1.86474E-10
-1.39,1.86869E-10
-1.38,1.87824E-10
-1.37,1.87709E-10
-1.36,1.87282E-10
-1.35,1.87415E-10
-1.34,1.87871E-10
-1.33,1.88304E-10
-1.32,1.87408E-10
-1.31,1.88074E-10
-1.3,1.8747E-10
-1.29,1.88357E-10
-1.28,1.88513E-10
-1.27,1.87941E-10
-1.26,1.87895E-10
-1.25,1.88137E-10
-1.24,1.88364E-10
-1.23,1.88527E-10
-1.22,1.87935E-10
-1.21,1.88284E-10
-1.2,1.88474E-10
-1.19,1.89188E-10
-1.18,1.87912E-10
-1.17,1.88006E-10
-1.16,1.90692E-10
-1.15,1.91483E-10
-1.14,1.90956E-10
-1.13,1.90685E-10
-1.12,1.90906E-10
-1.11,1.91085E-10
-1.1,1.89991E-10
-1.09,1.90922E-10
-1.08,1.91053E-10
-1.07,1.90857E-10
-1.06,1.90195E-10
-1.05,1.89988E-10
-1.04,1.90851E-10
-1.03,1.90215E-10
-1.02,1.90451E-10
-1.01,1.9053E-10
-1,1.90788E-10
-0.99,1.90414E-10
-0.98,1.90363E-10
-0.97,1.91184E-10
-0.96,1.90613E-10
-0.95,1.89865E-10
-0.94,1.9071E-10
-0.93,1.90741E-10
-0.92,1.90545E-10
-0.91,1.89812E-10
-0.9,1.90858E-10
-0.89,1.90536E-10
-0.88,1.90121E-10
-0.87,1.91301E-10
-0.86,1.90867E-10
-0.85,1.90389E-10
-0.84,1.91147E-10
-0.83,1.91427E-10
-0.82,1.91712E-10
-0.81,1.91921E-10
-0.8,1.93043E-10
-0.79,1.9277E-10
-0.78,1.93724E-10
-0.77,1.9413E-10
-0.76,1.95003E-10
-0.75,1.95393E-10
-0.74,1.96486E-10
-0.73,1.97599E-10
-0.72,1.99122E-10
-0.71,2.00309E-10
-0.7,2.01396E-10
-0.69,2.03015E-10
-0.68,2.04263E-10
-0.67,2.05508E-10
-0.66,2.07002E-10
-0.65,2.08347E-10
-0.64,2.09821E-10
-0.63,2.11159E-10
-0.62,2.12827E-10
-0.61,2.14394E-10
-0.6,2.15423E-10
-0.59,2.16729E-10
-0.58,2.18873E-10
-0.57,2.20198E-10
-0.56,2.2176E-10
-0.55,2.24003E-10
-0.54,2.24524E-10
-0.53,2.2657E-10
-0.52,2.2818E-10
-0.51,2.30515E-10
-0.5,2.32009E-10
-0.49,2.3441E-10
-0.48,2.3599E-10
-0.47,2.39089E-10
-0.46,2.39817E-10
-0.45,2.42077E-10
-0.44,2.43973E-10
-0.43,2.46641E-10
-0.42,2.4796E-10
-0.41,2.50947E-10
-0.4,2.52793E-10
-0.39,2.56267E-10
-0.38,2.58005E-10
-0.37,2.60316E-10
-0.36,2.62949E-10
-0.35,2.65424E-10
-0.34,2.67799E-10
-0.33,2.70721E-10
-0.32,2.73473E-10
-0.31,2.7567E-10
-0.3,2.79511E-10
-0.29,2.81905E-10
-0.28,2.85228E-10
-0.27,2.88252E-10
-0.26,2.91854E-10
-0.25,2.93825E-10
-0.24,2.97714E-10
-0.23,2.9998E-10
-0.22,3.04464E-10
-0.21,3.07319E-10
-0.2,3.10986E-10
-0.19,3.13436E-10
-0.18,3.17409E-10
-0.17,3.20098E-10
-0.16,3.24371E-10
-0.15,3.25932E-10
-0.14,3.29524E-10
-0.13,3.32301E-10
-0.12,3.36393E-10
-0.11,3.37914E-10
-0.1,3.42576E-10
-0.09,3.44261E-10
-0.08,3.47512E-10
-0.07,3.49937E-10
-0.06,3.5309E-10
-0.05,3.55132E-10
-0.04,3.58299E-10
-0.03,3.60981E-10
-0.02,3.62209E-10
-0.01,3.64642E-10
0,3.67404E-10
0.01,3.68581E-10
0.02,3.70232E-10
0.03,3.72113E-10
0.04,3.74521E-10
0.05,3.75825E-10
0.06,3.77578E-10
0.07,3.79292E-10
0.08,3.80726E-10
0.09,3.81781E-10
0.1,3.83887E-10
0.11,3.84719E-10
0.12,3.85191E-10
0.13,3.86925E-10
0.14,3.88063E-10
0.15,3.89192E-10
0.16,3.90563E-10
0.17,3.90739E-10
0.18,3.91868E-10
0.19,3.92959E-10
0.2,3.94077E-10
0.21,3.94023E-10
0.22,3.95361E-10
0.23,3.95972E-10
0.24,3.95829E-10
0.25,3.97308E-10
0.26,3.97871E-10
0.27,3.97759E-10
0.28,3.99067E-10
0.29,3.99969E-10
0.3,3.99551E-10
0.31,4.01111E-10
0.32,4.01209E-10
0.33,4.01949E-10
0.34,4.02306E-10
0.35,4.02734E-10
0.36,4.02136E-10
0.37,4.03343E-10
0.38,4.03706E-10
0.39,4.04304E-10
0.4,4.04838E-10
0.41,4.04942E-10
0.42,4.0608E-10
0.43,4.05314E-10
0.44,4.05772E-10
0.45,4.06472E-10
0.46,4.06452E-10
0.47,4.06504E-10
0.48,4.07464E-10
0.49,4.07678E-10
0.5,4.07065E-10
0.51,4.07676E-10
0.52,4.08451E-10
0.53,4.0793E-10
0.54,4.08534E-10
0.55,4.08608E-10
0.56,4.08318E-10
0.57,4.08624E-10
0.58,4.10165E-10
0.59,4.09533E-10
0.6,4.09239E-10
0.61,4.09253E-10
0.62,4.10032E-10
0.63,4.09838E-10
0.64,4.10259E-10
0.65,4.11026E-10
0.66,4.10654E-10
0.67,4.10714E-10
0.68,4.10704E-10
0.69,4.11659E-10
0.7,4.11229E-10
0.71,4.10783E-10
0.72,4.12669E-10
0.73,4.11779E-10
0.74,4.11928E-10
0.75,4.12105E-10
0.76,4.12679E-10
0.77,4.1243E-10
0.78,4.11888E-10
0.79,4.12094E-10
0.8,4.12759E-10
0.81,4.12516E-10
0.82,4.1236E-10
0.83,4.12906E-10
0.84,4.13383E-10
0.85,4.13139E-10
0.86,4.13463E-10
0.87,4.13191E-10
0.88,4.13525E-10
0.89,4.13624E-10
0.9,4.13186E-10
0.91,4.14237E-10
0.92,4.13421E-10
0.93,4.14021E-10
0.94,4.14136E-10
0.95,4.14827E-10
0.96,4.13947E-10
0.97,4.14288E-10
0.98,4.15497E-10
0.99,4.14494E-10
1,4.14291E-10
1.01,4.14716E-10
1.02,4.15138E-10
1.03,4.14855E-10
1.04,4.14882E-10
1.05,4.14691E-10
1.06,4.14965E-10
1.07,4.15088E-10
1.08,4.1429E-10
1.09,4.15192E-10
1.1,4.15706E-10
1.11,4.15129E-10
1.12,4.1504E-10
1.13,4.15505E-10
1.14,4.14996E-10
1.15,4.16172E-10
1.16,4.14948E-10
1.17,4.15694E-10
1.18,4.15449E-10
1.19,4.16349E-10
1.2,4.15003E-10
1.21,4.15282E-10
1.22,4.15966E-10
1.23,4.15905E-10
1.24,4.15517E-10
1.25,4.15226E-10
1.26,4.16192E-10
1.27,4.16465E-10
1.28,4.16492E-10
1.29,4.15394E-10
1.3,4.16328E-10
1.31,4.16364E-10
1.32,4.16181E-10
1.33,4.15817E-10
1.34,4.16391E-10
1.35,4.16186E-10
1.36,4.16017E-10
1.37,4.16399E-10
1.38,4.15923E-10
1.39,4.16685E-10
1.4,4.17599E-10
1.41,4.1656E-10
1.42,4.16667E-10
1.43,4.17106E-10
1.44,4.17521E-10
1.45,4.16623E-10
1.46,4.16976E-10
1.47,4.17171E-10
1.48,4.17102E-10
1.49,4.17359E-10
1.5,4.17034E-10
1.51,4.16224E-10
1.52,4.17384E-10
1.53,4.16674E-10
1.54,4.17244E-10
1.55,4.16882E-10
1.56,4.17716E-10
1.57,4.17766E-10
1.58,4.16855E-10
1.59,4.16667E-10
1.6,4.17365E-10
1.61,4.17139E-10
1.62,4.16167E-10
1.63,4.17496E-10
1.64,4.17906E-10
1.65,4.17841E-10
1.66,4.17104E-10
1.67,4.18169E-10
1.68,4.17046E-10
1.69,4.17398E-10
1.7,4.1824E-10
1.71,4.18061E-10
1.72,4.17819E-10
1.73,4.16962E-10
1.74,4.17873E-10
1.75,4.17523E-10
1.76,4.17677E-10
1.77,4.1711E-10
1.78,4.18095E-10
1.79,4.17567E-10
1.8,4.18389E-10
1.81,4.18876E-10
1.82,4.1796E-10
1.83,4.17854E-10
1.84,4.17841E-10
1.85,4.17849E-10
1.86,4.18201E-10
1.87,4.17707E-10
1.88,4.18696E-10
1.89,4.17872E-10
1.9,4.17899E-10
1.91,4.17787E-10
1.92,4.17507E-10
1.93,4.18504E-10
1.94,4.1818E-10
1.95,4.17728E-10
1.96,4.1809E-10
1.97,4.19257E-10
1.98,4.17614E-10
1.99,4.1784E-10
2,4.18121E-10
2,4.18599E-10
1.99,4.17985E-10
1.98,4.18125E-10
1.97,4.18294E-10
1.96,4.18919E-10
1.95,4.17793E-10
1.94,4.18374E-10
1.93,4.18779E-10
1.92,4.17652E-10
1.91,4.18918E-10
1.9,4.17748E-10
1.89,4.18104E-10
1.88,4.18052E-10
1.87,4.18089E-10
1.86,4.18111E-10
1.85,4.18403E-10
1.84,4.17881E-10
1.83,4.18619E-10
1.82,4.18483E-10
1.81,4.17936E-10
1.8,4.18402E-10
1.79,4.18839E-10
1.78,4.17322E-10
1.77,4.18398E-10
1.76,4.18746E-10
1.75,4.17846E-10
1.74,4.19104E-10
1.73,4.17773E-10
1.72,4.17706E-10
1.71,4.18908E-10
1.7,4.1813E-10
1.69,4.18615E-10
1.68,4.1786E-10
1.67,4.18914E-10
1.66,4.17472E-10
1.65,4.17449E-10
1.64,4.18203E-10
1.63,4.1789E-10
1.62,4.18014E-10
1.61,4.18077E-10
1.6,4.1807E-10
1.59,4.18456E-10
1.58,4.18087E-10
1.57,4.18448E-10
1.56,4.18101E-10
1.55,4.18038E-10
1.54,4.1832E-10
1.53,4.17896E-10
