Setup title,"I/V Sweep_0_-3V"
-0.9,-6.79E-12
-0.91,-7.17E-12
-0.92,-8.05E-12
-0.93,-8.4E-12
-0.94,-8.84E-12
-0.95,-9.52E-12
-0.96,-1.022E-11
-0.97,-1.061E-11
-0.98,-1.088E-11
-0.99,-1.14E-11
-1,-1.244E-11
-1.01,-1.327E-11
-1.02,-1.302E-11
-1.03,-1.358E-11
-1.04,-1.43E-11
-1.05,-1.476E-11
-1.06,-1.479E-11
-1.07,-1.557E-11
-1.08,-1.581E-11
-1.09,-1.597E-11
-1.1,-1.686E-11
-1.11,-1.66E-11
-1.12,-1.718E-11
-1.13,-1.826E-11
-1.14,-1.76E-11
-1.15,-1.805E-11
-1.16,-1.918E-11
-1.17,-1.865E-11
-1.18,-1.931E-11
-1.19,-1.975E-11
-1.2,-2.005E-11
-1.21,-1.981E-11
-1.22,-2.029E-11
-1.23,-2.114E-11
-1.24,-2.125E-11
-1.25,-2.13E-11
-1.26,-2.16E-11
-1.27,-2.214E-11
-1.28,-2.232E-11
-1.29,-2.208E-11
-1.3,-2.246E-11
-1.31,-2.292E-11
-1.32,-2.327E-11
-1.33,-2.302E-11
-1.34,-2.335E-11
-1.35,-2.388E-11
-1.36,-2.369E-11
-1.37,-2.366E-11
-1.38,-2.407E-11
-1.39,-2.429E-11
-1.4,-2.437E-11
-1.41,-2.438E-11
-1.42,-2.478E-11
-1.43,-2.499E-11
-1.44,-2.479E-11
-1.45,-2.515E-11
-1.46,-2.542E-11
-1.47,-2.555E-11
-1.48,-2.543E-11
-1.49,-3.024E-11
-1.5,-1.737E-10
-1.51,-1.2189E-10
-1.52,-7.896E-11
-1.53,-6.083E-11
-1.54,-5.276E-11
-1.55,-4.465E-11
-1.56,-4.388E-11
-1.57,-4.181E-11
-1.58,-2.037E-11
-1.59,-1.395E-11
-1.6,-1.426E-11
-1.61,-1.519E-11
-1.62,-1.623E-11
-1.63,-1.678E-11
-1.64,-1.718E-11
-1.65,-1.738E-11
-1.66,-1.796E-11
-1.67,-1.843E-11
-1.68,-1.897E-11
-1.69,-1.994E-11
-1.7,-2.073E-11
-1.71,-2.035E-11
-1.72,-2.076E-11
-1.73,-2.086E-11
-1.74,-2.092E-11
-1.75,-2.116E-11
-1.76,-2.145E-11
-1.77,-2.191E-11
-1.78,-2.195E-11
-1.79,-2.205E-11
-1.8,-2.261E-11
-1.81,-2.28E-11
-1.82,-2.272E-11
-1.83,-2.308E-11
-1.84,-2.37E-11
-1.85,-2.395E-11
-1.86,-2.372E-11
-1.87,-2.392E-11
-1.88,-2.414E-11
-1.89,-2.423E-11
-1.9,-2.423E-11
-1.91,-2.445E-11
-1.92,-2.454E-11
-1.93,-2.438E-11
-1.94,-2.527E-11
-1.95,-2.47E-11
-1.96,-2.545E-11
-1.97,-2.548E-11
-1.98,-2.511E-11
-1.99,-2.587E-11
-2,-2.58E-11
-2.01,-2.582E-11
-2.02,-2.592E-11
-2.03,-2.651E-11
-2.04,-2.636E-11
-2.05,-2.64E-11
-2.06,-2.665E-11
-2.07,-2.674E-11
-2.08,-2.684E-11
-2.09,-2.641E-11
-2.1,-2.73E-11
-2.11,-2.722E-11
-2.12,-2.716E-11
-2.13,-2.747E-11
-2.14,-2.795E-11
-2.15,-2.719E-11
-2.16,-2.777E-11
-2.17,-2.774E-11
-2.18,-2.776E-11
-2.19,-2.844E-11
-2.2,-2.83E-11
-2.21,-2.767E-11
-2.22,-2.865E-11
-2.23,-2.851E-11
-2.24,-2.812E-11
-2.25,-2.82E-11
-2.26,-2.905E-11
-2.27,-2.873E-11
-2.28,-2.896E-11
-2.29,-2.893E-11
-2.3,-2.875E-11
-2.31,-2.886E-11
-2.32,-2.898E-11
-2.33,-2.898E-11
-2.34,-2.87E-11
-2.35,-2.914E-11
-2.36,-2.939E-11
-2.37,-2.975E-11
-2.38,-2.927E-11
-2.39,-2.942E-11
-2.4,-2.949E-11
-2.41,-2.93E-11
-2.42,-2.913E-11
-2.43,-2.993E-11
-2.44,-2.922E-11
-2.45,-2.965E-11
-2.46,-2.975E-11
-2.47,-2.924E-11
-2.48,-2.968E-11
-2.49,-2.963E-11
-2.5,-2.937E-11
-2.51,-2.998E-11
-2.52,-2.975E-11
-2.53,-2.966E-11
-2.54,-2.997E-11
-2.55,-3.007E-11
-2.56,-2.988E-11
-2.57,-2.998E-11
-2.58,-3.016E-11
-2.59,-2.999E-11
-2.6,-3.004E-11
-2.61,-2.968E-11
-2.62,-2.996E-11
-2.63,-2.971E-11
-2.64,-2.995E-11
-2.65,-3.038E-11
-2.66,-3.046E-11
-2.67,-2.988E-11
-2.68,-3.021E-11
-2.69,-1.4442E-10
-2.7,-1.2889E-10
-2.71,-8.114E-11
-2.72,-5.689E-11
-2.73,-3.28E-11
-2.74,-6.601E-11
-2.75,-5.016E-11
-2.76,-4.513E-11
-2.77,-4.087E-11
-2.78,-3.827E-11
-2.79,-3.071E-11
-2.8,-3.813E-11
-2.81,-1.7E-11
-2.82,-1.726E-11
-2.83,-1.852E-11
-2.84,-1.958E-11
-2.85,-2.036E-11
-2.86,-2.035E-11
-2.87,-2.117E-11
-2.88,-2.164E-11
-2.89,-2.201E-11
-2.9,-2.212E-11
-2.91,-2.323E-11
-2.92,-2.288E-11
-2.93,-2.37E-11
-2.94,-2.382E-11
-2.95,-2.377E-11
-2.96,-2.447E-11
-2.97,-2.442E-11
-2.98,-2.435E-11
-2.99,-2.508E-11
-3,-2.521E-11
-3,-2.521E-11
-2.99,-2.449E-11
-2.98,-2.5E-11
-2.97,-2.453E-11
-2.96,-2.458E-11
-2.95,-2.468E-11
-2.94,-2.42E-11
-2.93,-2.437E-11
-2.92,-2.472E-11
-2.91,-2.466E-11
-2.9,-2.432E-11
-2.89,-2.453E-11
-2.88,-2.445E-11
-2.87,-2.432E-11
-2.86,-2.384E-11
-2.85,-2.445E-11
-2.84,-2.416E-11
-2.83,-2.41E-11
-2.82,-2.417E-11
-2.81,-2.426E-11
-2.8,-2.413E-11
-2.79,-2.41E-11
-2.78,-2.411E-11
-2.77,-2.403E-11
-2.76,-2.403E-11
-2.75,-2.368E-11
-2.74,-2.417E-11
-2.73,-2.376E-11
-2.72,-2.353E-11
-2.71,-2.373E-11
-2.7,-2.426E-11
-2.69,-2.384E-11
-2.68,-2.399E-11
-2.67,-2.37E-11
-2.66,-2.345E-11
-2.65,-2.35E-11
-2.64,-2.33E-11
-2.63,-2.309E-11
-2.62,-2.362E-11
-2.61,-2.349E-11
-2.6,-2.305E-11
-2.59,-2.302E-11
-2.58,-2.323E-11
-2.57,-2.311E-11
-2.56,-2.326E-11
-2.55,-2.296E-11
-2.54,-2.352E-11
-2.53,-2.321E-11
-2.52,-2.255E-11
-2.51,-2.291E-11
-2.5,-2.291E-11
-2.49,-2.255E-11
-2.48,-2.255E-11
-2.47,-2.307E-11
-2.46,-2.246E-11
-2.45,-2.26E-11
-2.44,-2.263E-11
-2.43,-2.239E-11
-2.42,-2.205E-11
-2.41,-2.207E-11
-2.4,-2.204E-11
-2.39,-2.213E-11
-2.38,-2.18E-11
-2.37,-2.239E-11
-2.36,-2.145E-11
-2.35,-2.187E-11
-2.34,-2.153E-11
-2.33,-1.9041E-10
-2.32,-1.006E-10
-2.31,-5.929E-11
-2.3,-4.473E-11
-2.29,-3.866E-11
-2.28,-3.414E-11
-2.27,-2.365E-11
-2.26,-1.039E-11
-2.25,-1.111E-11
-2.24,-1.166E-11
-2.23,-1.202E-11
-2.22,-1.31E-11
-2.21,-1.339E-11
-2.2,-1.382E-11
-2.19,-1.363E-11
-2.18,-1.434E-11
-2.17,-1.439E-11
-2.16,-1.471E-11
-2.15,-1.47E-11
-2.14,-1.482E-11
-2.13,-1.527E-11
-2.12,-1.528E-11
-2.11,-1.513E-11
-2.1,-1.582E-11
-2.09,-1.562E-11
-2.08,-1.525E-11
-2.07,-1.537E-11
-2.06,-1.606E-11
-2.05,-1.582E-11
-2.04,-1.546E-11
-2.03,-1.571E-11
-2.02,-1.577E-11
-2.01,-1.59E-11
-2,-1.626E-11
-1.99,-1.617E-11
-1.98,-1.644E-11
-1.97,-1.603E-11
-1.96,-1.555E-11
-1.95,-1.56E-11
-1.94,-1.617E-11
-1.93,-1.591E-11
-1.92,-1.494E-11
-1.91,-1.458E-11
-1.9,-1.503E-11
-1.89,-1.471E-11
-1.88,-1.0626E-10
-1.87,-9.919E-11
-1.86,-5.927E-11
-1.85,-4.52E-11
-1.84,-3.366E-11
-1.83,-3.027E-11
-1.82,-2.499E-11
-1.81,-2.716E-11
-1.8,-4.13E-12
-1.79,-4.83E-12
-1.78,-5.79E-12
-1.77,-5.01E-12
-1.76,-5.62E-12
-1.75,-5.66E-12
-1.74,-5.23E-12
-1.73,-3.91E-12
-1.72,-3.13E-12
-1.71,-1.21E-12
-1.7,2.1E-13
-1.69,3.03E-12
-1.68,5.17E-12
-1.67,9.56E-12
-1.66,1.351E-11
-1.65,1.78E-11
-1.64,2.216E-11
-1.63,2.518E-11
-1.62,2.669E-11
-1.61,2.963E-11
-1.6,3.169E-11
-1.59,3.349E-11
-1.58,3.533E-11
-1.57,3.717E-11
-1.56,3.843E-11
-1.55,3.963E-11
-1.54,4.131E-11
-1.53,4.28E-11
-1.52,4.31E-11
-1.51,4.337E-11
-1.5,4.456E-11
-1.49,4.553E-11
-1.48,4.651E-11
-1.47,4.757E-11
-1.46,4.869E-11
-1.45,4.959E-11
-1.44,5.039E-11
-1.43,5.134E-11
-1.42,5.268E-11
-1.41,5.36E-11
-1.4,5.323E-11
-1.39,5.371E-11
-1.38,5.499E-11
-1.37,5.499E-11
-1.36,5.605E-11
-1.35,5.719E-11
-1.34,5.725E-11
-1.33,5.815E-11
-1.32,5.811E-11
-1.31,5.931E-11
-1.3,6.011E-11
-1.29,6.088E-11
-1.28,6.21E-11
-1.27,6.197E-11
-1.26,6.244E-11
-1.25,6.259E-11
-1.24,6.365E-11
-1.23,6.429E-11
-1.22,6.452E-11
-1.21,6.561E-11
-1.2,6.643E-11
-1.19,6.597E-11
-1.18,6.687E-11
-1.17,6.762E-11
-1.16,6.816E-11
-1.15,6.905E-11
-1.14,6.938E-11
-1.13,6.877E-11
-1.12,6.936E-11
-1.11,6.99E-11
-1.1,7.033E-11
-1.09,7.107E-11
-1.08,7.16E-11
-1.07,7.159E-11
-1.06,7.175E-11
-1.05,7.247E-11
-1.04,7.278E-11
-1.03,7.349E-11
-1.02,7.398E-11
-1.01,7.49E-11
-1,7.434E-11
-0.99,7.47E-11
-0.98,7.449E-11
-0.97,7.523E-11
-0.96,7.531E-11
-0.95,7.574E-11
-0.94,7.645E-11
-0.93,7.647E-11
-0.92,7.643E-11
-0.91,7.652E-11
-0.9,7.643E-11
-0.89,7.709E-11
-0.88,7.792E-11
-0.87,7.793E-11
-0.86,7.799E-11
-0.85,7.787E-11
-0.84,7.886E-11
-0.83,7.929E-11
-0.82,7.82E-11
-0.81,7.815E-11
-0.8,7.832E-11
-0.79,7.83E-11
-0.78,7.872E-11
-0.77,7.875E-11
-0.76,7.916E-11
-0.75,7.938E-11
-0.74,7.898E-11
-0.73,7.932E-11
-0.72,7.975E-11
-0.71,7.923E-11
-0.7,7.911E-11
-0.69,7.933E-11
-0.68,7.89E-11
-0.67,7.842E-11
-0.66,7.904E-11
-0.65,7.823E-11
-0.64,7.868E-11
-0.63,7.858E-11
-0.62,7.847E-11
-0.61,7.778E-11
-0.6,7.856E-11
-0.59,7.773E-11
-0.58,7.729E-11
-0.57,7.725E-11
-0.56,7.739E-11
-0.55,7.673E-11
-0.54,7.683E-11
-0.53,7.652E-11
-0.52,7.608E-11
-0.51,7.567E-11
-0.5,7.476E-11
-0.49,7.331E-11
-0.48,7.156E-11
-0.47,7.011E-11
-0.46,6.688E-11
-0.45,6.448E-11
-0.44,6.185E-11
-0.43,5.937E-11
-0.42,5.537E-11
-0.41,5.047E-11
-0.4,4.539E-11
-0.39,4.101E-11
-0.38,3.685E-11
-0.37,3.335E-11
-0.36,3.129E-11
-0.35,2.948E-11
-0.34,2.745E-11
-0.33,2.573E-11
-0.32,2.516E-11
-0.31,2.368E-11
-0.3,2.325E-11
-0.29,2.333E-11
-0.28,2.188E-11
-0.27,2.171E-11
-0.26,2.195E-11
-0.25,2.176E-11
-0.24,2.062E-11
-0.23,2.03E-11
-0.22,2.042E-11
-0.21,2.094E-11
-0.2,2.055E-11
-0.19,1.928E-11
-0.18,1.915E-11
-0.17,1.912E-11
-0.16,1.967E-11
-0.15,1.896E-11
-0.14,1.875E-11
-0.13,1.816E-11
-0.12,1.923E-11
-0.11,1.884E-11
-0.1,1.889E-11
-0.09,1.919E-11
-0.08,1.92E-11
-0.07,1.847E-11
-0.06,1.928E-11
-0.05,1.884E-11
-0.04,1.932E-11
-0.03,1.965E-11
-0.02,1.987E-11
-0.01,2.018E-11
0,2.03E-11
