Setup title,"I/V Sweep_0_2_Dark"
0.45,9.9895E-05
0.44,9.62781E-05
0.43,9.2665E-05
0.42,8.92217E-05
0.41,8.57906E-05
0.4,8.23761E-05
0.39,7.94101E-05
0.38,7.55183E-05
0.37,7.28884E-05
0.36,6.96973E-05
0.35,6.68031E-05
0.34,6.39507E-05
0.33,6.14529E-05
0.32,5.90016E-05
0.31,5.64569E-05
0.3,5.41065E-05
0.29,5.11919E-05
0.28,4.83391E-05
0.27,4.63755E-05
0.26,4.39392E-05
0.25,4.18628E-05
0.24,3.98272E-05
0.23,3.76692E-05
0.22,3.57713E-05
0.21,3.36374E-05
0.2,3.18952E-05
0.19,2.95826E-05
0.18,2.74735E-05
0.17,2.54455E-05
0.16,2.36372E-05
0.15,2.1837E-05
0.14,2.0158E-05
0.13,1.84747E-05
0.12,1.69021E-05
0.11,1.52389E-05
0.1,1.37926E-05
0.09,1.22512E-05
0.08,1.08208E-05
0.07,9.50048E-06
0.06,8.13516E-06
0.05,6.74149E-06
0.04,5.41928E-06
0.03,4.06231E-06
0.02,2.72588E-06
0.01,1.37739E-06
0,7.9426E-09
