Setup title,"I/V Sweep_0_-2_Dark"
-0.84,-0.000355918
-0.83,-0.000347764
-0.82,-0.000339708
-0.81,-0.000331753
-0.8,-0.000325909
-0.79,-0.00031782
-0.78,-0.000311106
-0.77,-0.000303739
-0.76,-0.000296559
-0.75,-0.000290006
-0.74,-0.000284581
-0.73,-0.000276582
-0.72,-0.000269598
-0.71,-0.00026309
-0.7,-0.000256797
-0.69,-0.00024954
-0.68,-0.000243816
-0.67,-0.000237577
-0.66,-0.000231629
-0.65,-0.0002255
-0.64,-0.000219116
-0.63,-0.000213336
-0.62,-0.000207431
-0.61,-0.000201718
-0.6,-0.000195613
-0.59,-0.000190408
-0.58,-0.000184405
-0.57,-0.000178817
-0.56,-0.000173375
-0.55,-0.000168209
-0.54,-0.00016292
-0.53,-0.000157555
-0.52,-0.000152201
-0.51,-0.00014716
-0.5,-0.000142223
-0.49,-0.000137408
-0.48,-0.000132478
-0.47,-0.000127682
-0.46,-0.000123318
-0.45,-0.000118818
-0.44,-0.000114403
-0.43,-0.000110136
-0.42,-0.000105906
-0.41,-0.00010177
-0.4,-9.7574E-05
-0.39,-9.36766E-05
-0.38,-8.94989E-05
-0.37,-8.59573E-05
-0.36,-8.20898E-05
-0.35,-7.82436E-05
-0.34,-7.45772E-05
-0.33,-7.1295E-05
-0.32,-6.76508E-05
-0.31,-6.42552E-05
-0.3,-6.09854E-05
-0.29,-5.80181E-05
-0.28,-5.501E-05
-0.27,-5.18283E-05
-0.26,-4.89882E-05
-0.25,-4.62341E-05
-0.24,-4.37021E-05
-0.23,-4.09443E-05
-0.22,-3.82364E-05
-0.21,-3.57155E-05
-0.2,-3.32419E-05
-0.19,-3.09028E-05
-0.18,-2.86952E-05
-0.17,-2.64979E-05
-0.16,-2.44983E-05
-0.15,-2.24702E-05
-0.14,-2.05816E-05
-0.13,-1.87077E-05
-0.12,-1.6998E-05
-0.11,-1.53669E-05
-0.1,-1.37229E-05
-0.09,-1.20537E-05
-0.08,-1.05699E-05
-0.07,-9.14466E-06
-0.06,-7.70311E-06
-0.05,-6.35096E-06
-0.04,-5.00647E-06
-0.03,-3.73355E-06
-0.02,-2.48362E-06
-0.01,-1.22897E-06
0,6.7509E-09
