Setup title,"I/V Sweep_0_2_Dark[4]"
0.38,2.84424E-05
0.37,2.74218E-05
0.36,2.62575E-05
0.35,2.53367E-05
0.34,2.43075E-05
0.33,2.33077E-05
0.32,2.22769E-05
0.31,2.13619E-05
0.3,2.04088E-05
0.29,1.94811E-05
0.28,1.86861E-05
0.27,1.77986E-05
0.26,1.68606E-05
0.25,1.59892E-05
0.24,1.51381E-05
0.23,1.43429E-05
0.22,1.35259E-05
0.21,1.28121E-05
0.2,1.20755E-05
0.19,1.13385E-05
0.18,1.05819E-05
0.17,9.82012E-06
0.16,9.14309E-06
0.15,8.46214E-06
0.14,7.86777E-06
0.13,7.20572E-06
0.12,6.60074E-06
0.11,5.97175E-06
0.1,5.41653E-06
0.09,4.8259E-06
0.08,4.24297E-06
0.07,3.69617E-06
0.06,3.12461E-06
0.05,2.58902E-06
0.04,2.06016E-06
0.03,1.54777E-06
0.02,1.03049E-06
0.01,5.15741E-07
0,2.4086E-09
