Setup title,"I/V Sweep_0_-2_Dark[4]"
-1.01,-0.000170214
-1,-0.000166199
-0.99,-0.000164037
-0.98,-0.000161376
-0.97,-0.000158033
-0.96,-0.000154622
-0.95,-0.000151859
-0.94,-0.000149431
-0.93,-0.000146657
-0.92,-0.000141718
-0.91,-0.00013795
-0.9,-0.000135508
-0.89,-0.000132636
-0.88,-0.000129608
-0.87,-0.000127332
-0.86,-0.000124761
-0.85,-0.000122435
-0.84,-0.000119892
-0.83,-0.000117527
-0.82,-0.000115023
-0.81,-0.000112165
-0.8,-0.000109869
-0.79,-0.000107011
-0.78,-0.000104747
-0.77,-0.000102791
-0.76,-0.000100461
-0.75,-9.80945E-05
-0.74,-9.60188E-05
-0.73,-9.40507E-05
-0.72,-9.16898E-05
-0.71,-8.94557E-05
-0.7,-8.70643E-05
-0.69,-8.51751E-05
-0.68,-8.2995E-05
-0.67,-8.06471E-05
-0.66,-7.84604E-05
-0.65,-7.63498E-05
-0.64,-7.44269E-05
-0.63,-7.28046E-05
-0.62,-7.08576E-05
-0.61,-6.88221E-05
-0.6,-6.68114E-05
-0.59,-6.52685E-05
-0.58,-6.34408E-05
-0.57,-6.14725E-05
-0.56,-5.97253E-05
-0.55,-5.80497E-05
-0.54,-5.61804E-05
-0.53,-5.45323E-05
-0.52,-5.28747E-05
-0.51,-5.12763E-05
-0.5,-4.98841E-05
-0.49,-4.83939E-05
-0.48,-4.68501E-05
-0.47,-4.52872E-05
-0.46,-4.38E-05
-0.45,-4.23036E-05
-0.44,-4.10196E-05
-0.43,-3.95627E-05
-0.42,-3.80191E-05
-0.41,-3.65406E-05
-0.4,-3.53313E-05
-0.39,-3.39961E-05
-0.38,-3.26791E-05
-0.37,-3.14771E-05
-0.36,-3.01553E-05
-0.35,-2.8869E-05
-0.34,-2.76566E-05
-0.33,-2.64596E-05
-0.32,-2.51321E-05
-0.31,-2.4031E-05
-0.3,-2.28939E-05
-0.29,-2.18382E-05
-0.28,-2.07321E-05
-0.27,-1.97229E-05
-0.26,-1.88116E-05
-0.25,-1.78113E-05
-0.24,-1.68715E-05
-0.23,-1.58256E-05
-0.22,-1.48525E-05
-0.21,-1.4035E-05
-0.2,-1.30461E-05
-0.19,-1.22296E-05
-0.18,-1.1399E-05
-0.17,-1.05835E-05
-0.16,-9.83117E-06
-0.15,-9.07523E-06
-0.14,-8.34025E-06
-0.13,-7.58052E-06
-0.12,-6.87644E-06
-0.11,-6.17375E-06
-0.1,-5.57266E-06
-0.09,-4.87629E-06
-0.08,-4.27343E-06
-0.07,-3.70908E-06
-0.06,-3.12195E-06
-0.05,-2.56865E-06
-0.04,-2.04144E-06
-0.03,-1.52111E-06
-0.02,-1.00401E-06
-0.01,-4.96126E-07
0,1.7398E-09
