Setup title,"I/V Sweep_0_-2_Dark[3]"
-0.88,-0.000166893
-0.87,-0.000163706
-0.86,-0.000160434
-0.85,-0.000157026
-0.84,-0.000153915
-0.83,-0.000150619
-0.82,-0.000147343
-0.81,-0.000144264
-0.8,-0.000141343
-0.79,-0.000138715
-0.78,-0.000135764
-0.77,-0.000132823
-0.76,-0.000129692
-0.75,-0.000127249
-0.74,-0.000124436
-0.73,-0.000121474
-0.72,-0.000118566
-0.71,-0.000115666
-0.7,-0.000112965
-0.69,-0.000110391
-0.68,-0.000107896
-0.67,-0.000105249
-0.66,-0.000102494
-0.65,-9.98376E-05
-0.64,-9.74752E-05
-0.63,-9.51069E-05
-0.62,-9.25655E-05
-0.61,-9.01679E-05
-0.6,-8.70287E-05
-0.59,-8.50845E-05
-0.58,-8.27989E-05
-0.57,-8.04433E-05
-0.56,-7.79161E-05
-0.55,-7.56694E-05
-0.54,-7.31471E-05
-0.53,-7.08966E-05
-0.52,-6.88718E-05
-0.51,-6.64155E-05
-0.5,-6.41014E-05
-0.49,-6.21513E-05
-0.48,-5.99528E-05
-0.47,-5.80115E-05
-0.46,-5.61161E-05
-0.45,-5.41305E-05
-0.44,-5.2042E-05
-0.43,-5.01094E-05
-0.42,-4.80894E-05
-0.41,-4.63513E-05
-0.4,-4.44937E-05
-0.39,-4.26853E-05
-0.38,-4.1051E-05
-0.37,-3.95279E-05
-0.36,-3.775E-05
-0.35,-3.59945E-05
-0.34,-3.41772E-05
-0.33,-3.26472E-05
-0.32,-3.12585E-05
-0.31,-2.9767E-05
-0.3,-2.84491E-05
-0.29,-2.69629E-05
-0.28,-2.55647E-05
-0.27,-2.41839E-05
-0.26,-2.27829E-05
-0.25,-2.15575E-05
-0.24,-2.04495E-05
-0.23,-1.89567E-05
-0.22,-1.76934E-05
-0.21,-1.6683E-05
-0.2,-1.56115E-05
-0.19,-1.46E-05
-0.18,-1.35512E-05
-0.17,-1.24421E-05
-0.16,-1.14949E-05
-0.15,-1.04994E-05
-0.14,-9.6039E-06
-0.13,-8.71919E-06
-0.12,-7.94062E-06
-0.11,-7.10292E-06
-0.1,-6.33564E-06
-0.09,-5.61811E-06
-0.08,-4.85921E-06
-0.07,-4.18233E-06
-0.06,-3.52069E-06
-0.05,-2.88189E-06
-0.04,-2.28312E-06
-0.03,-1.7046E-06
-0.02,-1.12599E-06
-0.01,-5.5122E-07
0,2.8517E-09
