Setup title,"I/V Sweep_0_-2_Dark"
-0.89,-0.000154305
-0.88,-0.000151023
-0.87,-0.000148408
-0.86,-0.000145664
-0.85,-0.000142147
-0.84,-0.000139806
-0.83,-0.000136964
-0.82,-0.000133755
-0.81,-0.000130266
-0.8,-0.00012766
-0.79,-0.000124155
-0.78,-0.000120992
-0.77,-0.000118703
-0.76,-0.000115615
-0.75,-0.000112721
-0.74,-0.000109796
-0.73,-0.000107575
-0.72,-0.000104826
-0.71,-0.000102412
-0.7,-0.0001004318
-0.69,-9.77332E-05
-0.68,-9.54864E-05
-0.67,-9.29416E-05
-0.66,-8.99442E-05
-0.65,-8.7174E-05
-0.64,-8.46548E-05
-0.63,-8.13673E-05
-0.62,-7.91698E-05
-0.61,-7.73213E-05
-0.6,-7.51742E-05
-0.59,-7.28705E-05
-0.58,-7.10035E-05
-0.57,-6.88114E-05
-0.56,-6.68078E-05
-0.55,-6.47666E-05
-0.54,-6.26949E-05
-0.53,-6.04204E-05
-0.52,-5.90853E-05
-0.51,-5.77174E-05
-0.5,-5.58949E-05
-0.49,-5.40363E-05
-0.48,-5.20137E-05
-0.47,-4.97475E-05
-0.46,-4.78152E-05
-0.45,-4.60606E-05
-0.44,-4.43359E-05
-0.43,-4.27246E-05
-0.42,-4.10438E-05
-0.41,-3.97319E-05
-0.4,-3.82005E-05
-0.39,-3.6586E-05
-0.38,-3.5095E-05
-0.37,-3.37541E-05
-0.36,-3.23698E-05
-0.35,-3.10127E-05
-0.34,-2.96297E-05
-0.33,-2.81055E-05
-0.32,-2.68831E-05
-0.31,-2.57164E-05
-0.3,-2.44816E-05
-0.29,-2.32715E-05
-0.28,-2.21358E-05
-0.27,-2.08104E-05
-0.26,-1.9627E-05
-0.25,-1.85742E-05
-0.24,-1.74822E-05
-0.23,-1.64618E-05
-0.22,-1.54431E-05
-0.21,-1.4476E-05
-0.2,-1.351E-05
-0.19,-1.25964E-05
-0.18,-1.17655E-05
-0.17,-1.09468E-05
-0.16,-1.00987E-05
-0.15,-9.24729E-06
-0.14,-8.46656E-06
-0.13,-7.71737E-06
-0.12,-7.00902E-06
-0.11,-6.26374E-06
-0.1,-5.56906E-06
-0.09,-4.96144E-06
-0.08,-4.33916E-06
-0.07,-3.74568E-06
-0.06,-3.15126E-06
-0.05,-2.5871E-06
-0.04,-2.05023E-06
-0.03,-1.541E-06
-0.02,-1.01615E-06
-0.01,-5.03363E-07
0,-3.385E-10
