Setup title,"I/V Sweep_0_-2v_dark"
-1.54,-5.00063E-05
-1.55,-5.00063E-05
-1.56,-5.00062E-05
-1.57,-5.00063E-05
-1.58,-5.00063E-05
-1.59,-5.00062E-05
-1.6,-5.00063E-05
-1.61,-5.00063E-05
-1.62,-5.00062E-05
-1.63,-5.00062E-05
-1.64,-5.00063E-05
-1.65,-5.00062E-05
-1.66,-5.00063E-05
-1.67,-5.00063E-05
-1.68,-5.00062E-05
-1.69,-5.00062E-05
-1.7,-5.00062E-05
-1.71,-5.00062E-05
-1.72,-5.00062E-05
-1.73,-5.00062E-05
-1.74,-5.00063E-05
-1.75,-5.00062E-05
-1.76,-5.00062E-05
-1.77,-5.00062E-05
-1.78,-5.00062E-05
-1.79,-5.00062E-05
-1.8,-5.00062E-05
-1.81,-5.00062E-05
-1.82,-5.00062E-05
-1.83,-5.00061E-05
-1.84,-5.00061E-05
-1.85,-5.00062E-05
-1.86,-5.00062E-05
-1.87,-5.00062E-05
-1.88,-5.00062E-05
-1.89,-5.00063E-05
-1.9,-5.00062E-05
-1.91,-5.00062E-05
-1.92,-5.00061E-05
-1.93,-5.00061E-05
-1.94,-5.00062E-05
-1.95,-5.00062E-05
-1.96,-5.00062E-05
-1.97,-5.00062E-05
-1.98,-5.00061E-05
-1.99,-5.00061E-05
-2,-5.00061E-05
-2,-5.00062E-05
-1.99,-5.00062E-05
-1.98,-5.00062E-05
-1.97,-5.00062E-05
-1.96,-5.00061E-05
-1.95,-5.00062E-05
-1.94,-5.00062E-05
-1.93,-5.00061E-05
-1.92,-5.00062E-05
-1.91,-5.00062E-05
-1.9,-5.00062E-05
-1.89,-5.00062E-05
-1.88,-5.00062E-05
-1.87,-5.00062E-05
-1.86,-5.00062E-05
-1.85,-5.00062E-05
-1.84,-5.00062E-05
-1.83,-5.00061E-05
-1.82,-5.00062E-05
-1.81,-5.00061E-05
-1.8,-5.00062E-05
-1.79,-5.00062E-05
-1.78,-5.00062E-05
-1.77,-5.00062E-05
-1.76,-5.00062E-05
-1.75,-5.00062E-05
-1.74,-5.00062E-05
-1.73,-5.00062E-05
-1.72,-5.00062E-05
-1.71,-5.00062E-05
-1.7,-5.00063E-05
-1.69,-5.00062E-05
-1.68,-5.00063E-05
-1.67,-5.00062E-05
-1.66,-5.00062E-05
-1.65,-5.00062E-05
-1.64,-5.00062E-05
-1.63,-5.00062E-05
-1.62,-5.00062E-05
-1.61,-5.00063E-05
-1.6,-5.00063E-05
-1.59,-5.00062E-05
-1.58,-5.00062E-05
-1.57,-5.00063E-05
-1.56,-5.00062E-05
-1.55,-5.00063E-05
-1.54,-5.00061E-05
-1.53,-5.00062E-05
-1.52,-5.00062E-05
-1.51,-5.00062E-05
-1.5,-5.00062E-05
-1.49,-5.00062E-05
-1.48,-5.00062E-05
-1.47,-5.00062E-05
-1.46,-5.00063E-05
-1.45,-5.00063E-05
-1.44,-5.00062E-05
-1.43,-5.00063E-05
-1.42,-5.00062E-05
-1.41,-5.00062E-05
-1.4,-5.00063E-05
-1.39,-5.00062E-05
-1.38,-5.00063E-05
-1.37,-5.00062E-05
-1.36,-5.00063E-05
-1.35,-5.00063E-05
-1.34,-5.00063E-05
-1.33,-5.00063E-05
-1.32,-5.00063E-05
-1.31,-5.00064E-05
-1.3,-5.00063E-05
-1.29,-5.00063E-05
-1.28,-5.00062E-05
-1.27,-5.00063E-05
-1.26,-5.00064E-05
-1.25,-5.00063E-05
-1.24,-5.00063E-05
-1.23,-5.00063E-05
-1.22,-5.00063E-05
-1.21,-5.00063E-05
-1.2,-5.00063E-05
-1.19,-5.00063E-05
-1.18,-5.00063E-05
-1.17,-5.00063E-05
-1.16,-5.00063E-05
-1.15,-5.00063E-05
-1.14,-5.00063E-05
-1.13,-5.00063E-05
-1.12,-5.00062E-05
-1.11,-5.00063E-05
-1.1,-5.00063E-05
-1.09,-5.00063E-05
-1.08,-5.00063E-05
-1.07,-5.00063E-05
-1.06,-5.00064E-05
-1.05,-5.00063E-05
-1.04,-5.00064E-05
-1.03,-5.00064E-05
-1.02,-5.00063E-05
-1.01,-5.00063E-05
-1,-5.00063E-05
-0.99,-5.00063E-05
-0.98,-5.00063E-05
-0.97,-5.00063E-05
-0.96,-5.00063E-05
-0.95,-5.00063E-05
-0.94,-5.00063E-05
-0.93,-5.00063E-05
-0.92,-5.00063E-05
-0.91,-5.00063E-05
-0.9,-5.00062E-05
-0.89,-5.00063E-05
-0.88,-5.00063E-05
-0.87,-5.00063E-05
-0.86,-5.00062E-05
-0.85,-5.00062E-05
-0.84,-5.00062E-05
-0.83,-5.00063E-05
-0.82,-5.00063E-05
-0.81,-5.00063E-05
-0.8,-5.00064E-05
-0.79,-5.00063E-05
-0.78,-5.00063E-05
-0.77,-5.00064E-05
-0.76,-5.00064E-05
-0.75,-5.00064E-05
-0.74,-5.00064E-05
-0.73,-5.00064E-05
-0.72,-5.00063E-05
-0.71,-4.95902E-05
-0.7,-4.81523E-05
-0.69,-4.67215E-05
-0.68,-4.53213E-05
-0.67,-4.39283E-05
-0.66,-4.25683E-05
-0.65,-4.11919E-05
-0.64,-3.98471E-05
-0.63,-3.85126E-05
-0.62,-3.72094E-05
-0.61,-3.5906E-05
-0.6,-3.46113E-05
-0.59,-3.33501E-05
-0.58,-3.21136E-05
-0.57,-3.0881E-05
-0.56,-2.96849E-05
-0.55,-2.84925E-05
-0.54,-2.73034E-05
-0.53,-2.61435E-05
-0.52,-2.50119E-05
-0.51,-2.38871E-05
-0.5,-2.28115E-05
-0.49,-2.17518E-05
-0.48,-2.07217E-05
-0.47,-1.97201E-05
-0.46,-1.87184E-05
-0.45,-1.77663E-05
-0.44,-1.68336E-05
-0.43,-1.59267E-05
-0.42,-1.50399E-05
-0.41,-1.41753E-05
-0.4,-1.33326E-05
-0.39,-1.25262E-05
-0.38,-1.17498E-05
-0.37,-1.10092E-05
-0.36,-1.02847E-05
-0.35,-9.58631E-06
-0.34,-8.92304E-06
-0.33,-8.28308E-06
-0.32,-7.67984E-06
-0.31,-7.09957E-06
-0.3,-6.54512E-06
-0.29,-6.03108E-06
-0.28,-5.53694E-06
-0.27,-5.07688E-06
-0.26,-4.64172E-06
-0.25,-4.23604E-06
-0.24,-3.85665E-06
-0.23,-3.50384E-06
-0.22,-3.17806E-06
-0.21,-2.87905E-06
-0.2,-2.60527E-06
-0.19,-2.35327E-06
-0.18,-2.12276E-06
-0.17,-1.91265E-06
-0.16,-1.71802E-06
-0.15,-1.54255E-06
-0.14,-1.38268E-06
-0.13,-1.23526E-06
-0.12,-1.10051E-06
-0.11,-9.7635E-07
-0.1,-8.60944E-07
-0.09,-7.52858E-07
-0.08,-6.52424E-07
-0.07,-5.58586E-07
-0.06,-4.68036E-07
-0.05,-3.82001E-07
-0.04,-2.99886E-07
-0.03,-2.21579E-07
-0.02,-1.45369E-07
-0.01,-7.13756E-08
0,5.9262E-10
