Setup title,"I/V Sweep_0_1v_dark"
0.2,1.31285E-06
0.19,1.25271E-06
0.18,1.18956E-06
0.17,1.12467E-06
0.16,1.06263E-06
0.15,9.9901E-07
0.14,9.35051E-07
0.13,8.71372E-07
0.12,8.07266E-07
0.11,7.42887E-07
0.1,6.80629E-07
0.09,6.1588E-07
0.08,5.50877E-07
0.07,4.8487E-07
0.06,4.1867E-07
0.05,3.51688E-07
0.04,2.8336E-07
0.03,2.14121E-07
0.02,1.44324E-07
0.01,7.28111E-08
0,4.6035E-10
