Setup title,"I/V Sweep_0_2v_dark"
1.8,1.17248E-05
1.81,1.1788E-05
1.82,1.18527E-05
1.83,1.19263E-05
1.84,1.20302E-05
1.85,1.21451E-05
1.86,1.2209E-05
1.87,1.22202E-05
1.88,1.22484E-05
1.89,1.2335E-05
1.9,1.24119E-05
1.91,1.25089E-05
1.92,1.25624E-05
1.93,1.26041E-05
1.94,1.26453E-05
1.95,1.2735E-05
1.96,1.27959E-05
1.97,1.28705E-05
1.98,1.29438E-05
1.99,1.29629E-05
2,1.30285E-05
2,1.30144E-05
1.99,1.29238E-05
1.98,1.28856E-05
1.97,1.28062E-05
1.96,1.27429E-05
1.95,1.26265E-05
1.94,1.26034E-05
1.93,1.25014E-05
1.92,1.247E-05
1.91,1.24253E-05
1.9,1.23471E-05
1.89,1.22657E-05
1.88,1.21985E-05
1.87,1.21172E-05
1.86,1.20687E-05
1.85,1.19961E-05
1.84,1.1925E-05
1.83,1.18593E-05
1.82,1.18093E-05
1.81,1.18154E-05
1.8,1.17817E-05
1.79,1.16398E-05
1.78,1.15948E-05
1.77,1.15327E-05
1.76,1.14554E-05
1.75,1.14038E-05
1.74,1.13236E-05
1.73,1.12464E-05
1.72,1.11447E-05
1.71,1.10819E-05
1.7,1.10136E-05
1.69,1.09906E-05
1.68,1.09269E-05
1.67,1.08512E-05
1.66,1.0757E-05
1.65,1.07073E-05
1.64,1.06579E-05
1.63,1.05462E-05
1.62,1.04533E-05
1.61,1.04041E-05
1.6,1.0321E-05
1.59,1.02341E-05
1.58,1.01942E-05
1.57,1.01245E-05
1.56,1.00645E-05
1.55,9.9959E-06
1.54,9.93731E-06
1.53,9.88032E-06
1.52,9.79425E-06
1.51,9.72622E-06
1.5,9.629E-06
1.49,9.55961E-06
1.48,9.49557E-06
1.47,9.43915E-06
1.46,9.36578E-06
1.45,9.3021E-06
1.44,9.2305E-06
1.43,9.16612E-06
1.42,9.09776E-06
1.41,9.01538E-06
1.4,8.96245E-06
1.39,8.89832E-06
1.38,8.81356E-06
1.37,8.75605E-06
1.36,8.72547E-06
1.35,8.64705E-06
1.34,8.58019E-06
1.33,8.51257E-06
1.32,8.43302E-06
1.31,8.35858E-06
1.3,8.30136E-06
1.29,8.21963E-06
1.28,8.15249E-06
1.27,8.10685E-06
1.26,8.03126E-06
1.25,7.9572E-06
1.24,7.90364E-06
1.23,7.83735E-06
1.22,7.75797E-06
1.21,7.70128E-06
1.2,7.6275E-06
1.19,7.56006E-06
1.18,7.48622E-06
1.17,7.42704E-06
1.16,7.35004E-06
1.15,7.29062E-06
1.14,7.21927E-06
1.13,7.1689E-06
1.12,7.11209E-06
1.11,7.0543E-06
1.1,6.98489E-06
1.09,6.92066E-06
1.08,6.849E-06
1.07,6.80093E-06
1.06,6.73355E-06
1.05,6.67301E-06
1.04,6.60748E-06
1.03,6.53945E-06
1.02,6.46213E-06
1.01,6.38682E-06
1,6.33653E-06
0.99,6.27348E-06
0.98,6.22438E-06
0.97,6.15327E-06
0.96,6.0874E-06
0.95,6.02408E-06
0.94,5.95331E-06
0.93,5.88606E-06
0.92,5.81713E-06
0.91,5.75728E-06
0.9,5.68538E-06
0.89,5.62302E-06
0.88,5.5568E-06
0.87,5.49476E-06
0.86,5.42633E-06
0.85,5.36184E-06
0.84,5.29643E-06
0.83,5.23326E-06
0.82,5.17071E-06
0.81,5.12634E-06
0.8,5.05377E-06
0.79,4.98976E-06
0.78,4.9194E-06
0.77,4.8555E-06
0.76,4.78732E-06
0.75,4.71748E-06
0.74,4.65615E-06
0.73,4.59427E-06
0.72,4.534E-06
0.71,4.46863E-06
0.7,4.40819E-06
0.69,4.33854E-06
0.68,4.27791E-06
0.67,4.21342E-06
0.66,4.14828E-06
0.65,4.08254E-06
0.64,4.02315E-06
0.63,3.95938E-06
0.62,3.89891E-06
0.61,3.83259E-06
0.6,3.76827E-06
0.59,3.70532E-06
0.58,3.64576E-06
0.57,3.58753E-06
0.56,3.52567E-06
0.55,3.46323E-06
0.54,3.3939E-06
0.53,3.33503E-06
0.52,3.27261E-06
0.51,3.21241E-06
0.5,3.14901E-06
0.49,3.08827E-06
0.48,3.02888E-06
0.47,2.96743E-06
0.46,2.90575E-06
0.45,2.84627E-06
0.44,2.78124E-06
0.43,2.72106E-06
0.42,2.66074E-06
0.41,2.59561E-06
0.4,2.53478E-06
0.39,2.47284E-06
0.38,2.41024E-06
0.37,2.3491E-06
0.36,2.28933E-06
0.35,2.22616E-06
0.34,2.16185E-06
0.33,2.09992E-06
0.32,2.04096E-06
0.31,1.97795E-06
0.3,1.91764E-06
0.29,1.85603E-06
0.28,1.79262E-06
0.27,1.73243E-06
0.26,1.67182E-06
0.25,1.60918E-06
0.24,1.54836E-06
0.23,1.48541E-06
0.22,1.42403E-06
0.21,1.36357E-06
0.2,1.30022E-06
0.19,1.23814E-06
0.18,1.17554E-06
0.17,1.11397E-06
0.16,1.05024E-06
0.15,9.86572E-07
0.14,9.22986E-07
0.13,8.59203E-07
0.12,7.95691E-07
0.11,7.32475E-07
0.1,6.69203E-07
0.09,6.05137E-07
0.08,5.40505E-07
0.07,4.75798E-07
0.06,4.10102E-07
0.05,3.44665E-07
0.04,2.77507E-07
0.03,2.09694E-07
0.02,1.41234E-07
0.01,7.12524E-08
0,3.1878E-10
