Setup title,"C-V Sweep_check"
0.62,3.5287E-13
0.63,3.55306E-13
0.64,3.54249E-13
0.65,3.56459E-13
0.66,3.55315E-13
0.67,3.48781E-13
0.68,3.52496E-13
0.69,3.51506E-13
0.7,3.53874E-13
0.71,3.5198E-13
0.72,3.53891E-13
0.73,3.54379E-13
0.74,3.46064E-13
0.75,3.49964E-13
0.76,3.54493E-13
0.77,3.53479E-13
0.78,3.51965E-13
0.79,3.5344E-13
0.8,3.53177E-13
0.81,3.47341E-13
0.82,3.50502E-13
0.83,3.52928E-13
0.84,3.55174E-13
0.85,3.53266E-13
0.86,3.53725E-13
0.87,3.48176E-13
0.88,3.57122E-13
0.89,3.52487E-13
0.9,3.51866E-13
0.91,3.51172E-13
0.92,3.47753E-13
0.93,3.53217E-13
0.94,3.55491E-13
0.95,3.53824E-13
0.96,3.54076E-13
0.97,3.54163E-13
0.98,3.50348E-13
0.99,3.53043E-13
1,3.58874E-13
1.01,3.54504E-13
1.02,3.53408E-13
1.03,3.49982E-13
1.04,3.49881E-13
1.05,3.56133E-13
1.06,3.51872E-13
1.07,3.50985E-13
1.08,3.54011E-13
1.09,3.53026E-13
1.1,3.53952E-13
1.11,3.56182E-13
1.12,3.53246E-13
1.13,3.52732E-13
1.14,3.52236E-13
1.15,3.57084E-13
1.16,3.53877E-13
1.17,3.51832E-13
1.18,3.53288E-13
1.19,3.50733E-13
1.2,3.54269E-13
1.21,3.51606E-13
1.22,3.52008E-13
1.23,3.49699E-13
1.24,3.5436E-13
1.25,3.51604E-13
1.26,3.53394E-13
1.27,3.51536E-13
1.28,3.53588E-13
1.29,3.52392E-13
1.3,3.56786E-13
1.31,3.50971E-13
1.32,3.52711E-13
1.33,3.54934E-13
1.34,3.54707E-13
1.35,3.523E-13
1.36,3.56659E-13
1.37,3.50547E-13
1.38,3.56891E-13
1.39,3.54191E-13
1.4,3.54023E-13
1.41,3.53856E-13
1.42,3.55014E-13
1.43,3.54022E-13
1.44,3.5436E-13
1.45,3.53404E-13
1.46,3.53821E-13
1.47,3.52927E-13
1.48,3.56741E-13
1.49,3.52536E-13
1.5,3.54017E-13
1.51,3.48861E-13
1.52,3.49872E-13
1.53,3.52157E-13
1.54,3.53368E-13
1.55,3.56771E-13
1.56,3.55709E-13
1.57,3.52482E-13
1.58,3.53923E-13
1.59,3.51398E-13
1.6,3.53329E-13
1.61,3.56517E-13
1.62,3.52539E-13
1.63,3.50267E-13
1.64,3.48373E-13
1.65,3.52401E-13
1.66,3.48559E-13
1.67,3.53549E-13
1.68,3.53461E-13
1.69,3.5508E-13
1.7,3.52812E-13
1.71,3.52797E-13
1.72,3.54756E-13
1.73,3.58096E-13
1.74,3.5557E-13
1.75,3.53154E-13
1.76,3.50983E-13
1.77,3.54805E-13
1.78,3.49545E-13
1.79,3.51528E-13
1.8,3.55924E-13
1.81,3.52331E-13
1.82,3.52601E-13
1.83,3.51301E-13
1.84,3.50757E-13
1.85,3.53425E-13
1.86,3.54403E-13
1.87,3.56479E-13
1.88,3.51319E-13
1.89,3.52146E-13
1.9,3.52176E-13
1.91,3.53386E-13
1.92,3.51915E-13
1.93,3.47543E-13
1.94,3.54124E-13
1.95,3.53419E-13
1.96,3.54635E-13
1.97,3.53918E-13
1.98,3.52395E-13
1.99,3.5109E-13
2,3.54164E-13
2.01,3.54907E-13
2.02,3.51439E-13
2.03,3.57179E-13
2.04,3.53581E-13
2.05,3.52436E-13
2.06,3.55008E-13
2.07,3.53153E-13
2.08,3.53056E-13
2.09,3.54646E-13
2.1,3.52886E-13
2.11,3.53696E-13
2.12,3.53703E-13
2.13,3.51826E-13
2.14,3.54078E-13
2.15,3.55584E-13
2.16,3.50896E-13
2.17,3.55352E-13
2.18,3.495E-13
2.19,3.57158E-13
2.2,3.51234E-13
2.21,3.51544E-13
2.22,3.5218E-13
2.23,3.52634E-13
2.24,3.52532E-13
2.25,3.53543E-13
2.26,3.54196E-13
2.27,3.53592E-13
2.28,3.52454E-13
2.29,3.56378E-13
2.3,3.51415E-13
2.31,3.52193E-13
2.32,3.52624E-13
2.33,3.49469E-13
2.34,3.53492E-13
2.35,3.50839E-13
2.36,3.52605E-13
2.37,3.50324E-13
2.38,3.52869E-13
2.39,3.55897E-13
2.4,3.50957E-13
2.41,3.54413E-13
2.42,3.53199E-13
2.43,3.5028E-13
2.44,3.49501E-13
2.45,3.52143E-13
2.46,3.54318E-13
2.47,3.52089E-13
2.48,3.53413E-13
2.49,3.54903E-13
2.5,3.54577E-13
2.51,3.56874E-13
2.52,3.54343E-13
2.53,3.54888E-13
2.54,3.51554E-13
2.55,3.54037E-13
2.56,3.53338E-13
2.57,3.51457E-13
2.58,3.54759E-13
2.59,3.52153E-13
2.6,3.53303E-13
2.61,3.51254E-13
2.62,3.49352E-13
2.63,3.52177E-13
2.64,3.52228E-13
2.65,3.54255E-13
2.66,3.54649E-13
2.67,3.51203E-13
2.68,3.48759E-13
2.69,3.54021E-13
2.7,3.52318E-13
2.71,3.53623E-13
2.72,3.55797E-13
2.73,3.55261E-13
2.74,3.56629E-13
2.75,3.52574E-13
2.76,3.53916E-13
2.77,3.51534E-13
2.78,3.55076E-13
2.79,3.51731E-13
2.8,3.52572E-13
2.81,3.503E-13
2.82,3.50579E-13
2.83,3.5225E-13
2.84,3.53772E-13
2.85,3.53259E-13
2.86,3.53344E-13
2.87,3.54665E-13
2.88,3.55521E-13
2.89,3.54395E-13
2.9,3.49496E-13
2.91,3.52261E-13
2.92,3.52866E-13
2.93,3.50259E-13
2.94,3.54354E-13
2.95,3.50763E-13
2.96,3.52969E-13
2.97,3.51654E-13
2.98,3.54077E-13
2.99,3.5313E-13
3,3.5303E-13
3,3.52386E-13
2.99,3.54361E-13
2.98,3.53669E-13
2.97,3.54718E-13
2.96,3.50479E-13
2.95,3.53887E-13
2.94,3.53436E-13
2.93,3.54235E-13
2.92,3.52997E-13
2.91,3.53153E-13
2.9,3.51539E-13
2.89,3.50344E-13
2.88,3.53254E-13
2.87,3.54743E-13
2.86,3.53871E-13
2.85,3.55123E-13
2.84,3.54614E-13
2.83,3.54997E-13
2.82,3.52541E-13
2.81,3.52982E-13
2.8,3.52042E-13
2.79,3.51785E-13
2.78,3.52405E-13
2.77,3.51674E-13
2.76,3.56734E-13
2.75,3.52392E-13
2.74,3.51749E-13
2.73,3.53957E-13
2.72,3.52741E-13
2.71,3.54811E-13
2.7,3.53945E-13
2.69,3.54183E-13
2.68,3.53439E-13
2.67,3.52438E-13
2.66,3.56187E-13
2.65,3.5307E-13
2.64,3.5369E-13
2.63,3.54864E-13
2.62,3.51407E-13
2.61,3.53255E-13
2.6,3.5508E-13
2.59,3.51682E-13
2.58,3.53696E-13
2.57,3.54441E-13
2.56,3.54481E-13
2.55,3.53822E-13
2.54,3.52911E-13
2.53,3.52774E-13
2.52,3.56814E-13
2.51,3.55658E-13
2.5,3.57374E-13
2.49,3.54233E-13
2.48,3.5544E-13
2.47,3.53776E-13
2.46,3.53602E-13
2.45,3.53092E-13
2.44,3.5112E-13
2.43,3.5281E-13
2.42,3.49994E-13
2.41,3.51986E-13
2.4,3.54528E-13
2.39,3.54584E-13
2.38,3.56528E-13
2.37,3.49638E-13
2.36,3.50376E-13
2.35,3.50398E-13
2.34,3.54794E-13
2.33,3.54395E-13
2.32,3.5178E-13
2.31,3.57283E-13
2.3,3.51914E-13
2.29,3.52501E-13
2.28,3.51248E-13
2.27,3.51872E-13
2.26,3.52177E-13
2.25,3.5206E-13
2.24,3.514E-13
2.23,3.5177E-13
2.22,3.5265E-13
2.21,3.53744E-13
2.2,3.53407E-13
2.19,3.51193E-13
2.18,3.52716E-13
2.17,3.50876E-13
2.16,3.51564E-13
2.15,3.53664E-13
2.14,3.54852E-13
2.13,3.50971E-13
2.12,3.49839E-13
2.11,3.54529E-13
2.1,3.52129E-13
2.09,3.53501E-13
2.08,3.54063E-13
2.07,3.52889E-13
2.06,3.55799E-13
2.05,3.5581E-13
2.04,3.51123E-13
2.03,3.5464E-13
2.02,3.55046E-13
2.01,3.53654E-13
2,3.52419E-13
1.99,3.54238E-13
1.98,3.5616E-13
1.97,3.54509E-13
1.96,3.52139E-13
1.95,3.56276E-13
1.94,3.5338E-13
1.93,3.51138E-13
1.92,3.5525E-13
1.91,3.56822E-13
1.9,3.52795E-13
1.89,3.54026E-13
1.88,3.54168E-13
1.87,3.54501E-13
1.86,3.5478E-13
1.85,3.52564E-13
1.84,3.52365E-13
1.83,3.52238E-13
1.82,3.52202E-13
1.81,3.56275E-13
1.8,3.54195E-13
1.79,3.51597E-13
1.78,3.56222E-13
1.77,3.54193E-13
1.76,3.5367E-13
1.75,3.49961E-13
1.74,3.5392E-13
1.73,3.51104E-13
1.72,3.55013E-13
1.71,3.50668E-13
1.7,3.52076E-13
1.69,3.50264E-13
1.68,3.53647E-13
1.67,3.48714E-13
1.66,3.52809E-13
1.65,3.523E-13
1.64,3.54367E-13
1.63,3.5497E-13
1.62,3.52569E-13
1.61,3.48152E-13
1.6,3.50728E-13
1.59,3.52163E-13
1.58,3.5323E-13
1.57,3.49701E-13
1.56,3.54031E-13
1.55,3.54828E-13
1.54,3.47822E-13
1.53,3.53335E-13
1.52,3.54466E-13
1.51,3.54245E-13
1.5,3.47146E-13
1.49,3.54782E-13
1.48,3.55149E-13
1.47,3.5266E-13
1.46,3.50965E-13
1.45,3.55884E-13
1.44,3.52358E-13
1.43,3.51999E-13
1.42,3.54169E-13
1.41,3.51741E-13
1.4,3.57389E-13
1.39,3.5215E-13
1.38,3.50588E-13
1.37,3.54116E-13
1.36,3.51518E-13
1.35,3.57515E-13
1.34,3.53435E-13
1.33,3.54667E-13
1.32,3.53678E-13
1.31,3.53147E-13
1.3,3.55692E-13
1.29,3.51141E-13
1.28,3.50811E-13
1.27,3.50125E-13
1.26,3.54512E-13
1.25,3.52536E-13
1.24,3.54069E-13
1.23,3.52133E-13
1.22,3.53297E-13
1.21,3.54713E-13
1.2,3.50572E-13
1.19,3.52562E-13
1.18,3.52867E-13
1.17,3.481E-13
1.16,3.49421E-13
1.15,3.52401E-13
1.14,3.51849E-13
1.13,3.50668E-13
1.12,3.50749E-13
1.11,3.56963E-13
1.1,3.51373E-13
1.09,3.49788E-13
1.08,3.53069E-13
1.07,3.5631E-13
1.06,3.53682E-13
1.05,3.55939E-13
1.04,3.5471E-13
1.03,3.54386E-13
1.02,3.51686E-13
1.01,3.52047E-13
1,3.55331E-13
0.99,3.53878E-13
0.98,3.53686E-13
0.97,3.54746E-13
0.96,3.54468E-13
0.95,3.5555E-13
0.94,3.52718E-13
0.93,3.55862E-13
0.92,3.57316E-13
0.91,3.51987E-13
0.9,3.52763E-13
0.89,3.52241E-13
0.88,3.51752E-13
0.87,3.58873E-13
0.86,3.54385E-13
0.85,3.54241E-13
0.84,3.54767E-13
0.83,3.55456E-13
0.82,3.5293E-13
0.81,3.54457E-13
0.8,3.52302E-13
0.79,3.51798E-13
0.78,3.57528E-13
0.77,3.55353E-13
0.76,3.55345E-13
0.75,3.54459E-13
0.74,3.54017E-13
0.73,3.53783E-13
0.72,3.52912E-13
0.71,3.57999E-13
0.7,3.52822E-13
0.69,3.50697E-13
0.68,3.54208E-13
0.67,3.54229E-13
0.66,3.54419E-13
0.65,3.54582E-13
0.64,3.52592E-13
0.63,3.55535E-13
0.62,3.55164E-13
0.61,3.59249E-13
0.6,3.5276E-13
0.59,3.48487E-13
0.58,3.47779E-13
0.57,3.53694E-13
0.56,3.51051E-13
0.55,3.51578E-13
0.54,3.56151E-13
0.53,3.54001E-13
0.52,3.54961E-13
0.51,3.55519E-13
0.5,3.52583E-13
0.49,3.50978E-13
0.48,3.55207E-13
0.47,3.50862E-13
0.46,3.55493E-13
0.45,3.50518E-13
0.44,3.49082E-13
0.43,3.51617E-13
0.42,3.52561E-13
0.41,3.53612E-13
0.4,3.53321E-13
0.39,3.55216E-13
0.38,3.54217E-13
0.37,3.50849E-13
0.36,3.5264E-13
0.35,3.51942E-13
0.34,3.49778E-13
0.33,3.5275E-13
0.32,3.49814E-13
0.31,3.54745E-13
0.3,3.52069E-13
0.29,3.52394E-13
0.28,3.53373E-13
0.27,3.49592E-13
0.26,3.51233E-13
0.25,3.54542E-13
0.24,3.49567E-13
0.23,3.51719E-13
0.22,3.56515E-13
0.21,3.55017E-13
0.2,3.54278E-13
0.19,3.49123E-13
0.18,3.52766E-13
0.17,3.52617E-13
0.16,3.49009E-13
0.15,3.55845E-13
0.14,3.55209E-13
0.13,3.55266E-13
0.12,3.57226E-13
0.11,3.54093E-13
0.1,3.50788E-13
0.09,3.52484E-13
0.08,3.56096E-13
0.07,3.52441E-13
0.06,3.54078E-13
0.05,3.51047E-13
0.04,3.55262E-13
0.03,3.53257E-13
0.02,3.54822E-13
0.01,3.53779E-13
0,3.49924E-13
-0.01,3.52524E-13
-0.02,3.58888E-13
-0.03,3.54819E-13
-0.04,3.58025E-13
-0.05,3.55472E-13
-0.06,3.50911E-13
-0.07,3.51466E-13
-0.08,3.54842E-13
-0.09,3.54013E-13
-0.1,3.5448E-13
-0.11,3.5024E-13
-0.12,3.5489E-13
-0.13,3.56907E-13
-0.14,3.5706E-13
-0.15,3.51327E-13
-0.16,3.53504E-13
-0.17,3.47572E-13
-0.18,3.50118E-13
-0.19,3.53333E-13
-0.2,3.53016E-13
-0.21,3.53274E-13
-0.22,3.50486E-13
-0.23,3.52184E-13
-0.24,3.53699E-13
-0.25,3.55133E-13
-0.26,3.5474E-13
-0.27,3.51024E-13
-0.28,3.53993E-13
-0.29,3.53371E-13
-0.3,3.54217E-13
-0.31,3.53863E-13
-0.32,3.53221E-13
-0.33,3.55559E-13
-0.34,3.49677E-13
-0.35,3.54837E-13
-0.36,3.53885E-13
-0.37,3.52461E-13
-0.38,3.54449E-13
-0.39,3.54547E-13
