Setup title,"I/V Sweep_light_0-1"
0.2,1.3809E-06
0.19,1.31581E-06
0.18,1.24478E-06
0.17,1.18277E-06
0.16,1.11303E-06
0.15,1.04956E-06
0.14,9.84173E-07
0.13,9.19439E-07
0.12,8.46334E-07
0.11,7.80327E-07
0.1,7.14963E-07
0.09,6.47119E-07
0.08,5.81126E-07
0.07,5.11943E-07
0.06,4.43351E-07
0.05,3.73646E-07
0.04,3.03429E-07
0.03,2.328E-07
0.02,1.60968E-07
0.01,8.70046E-08
0,1.17313E-08
