Setup title,"I/V Sweep_light_0-(-1)"
-0.46,-2.0583E-05
-0.45,-1.94792E-05
-0.44,-1.8439E-05
-0.43,-1.7467E-05
-0.42,-1.64554E-05
-0.41,-1.54942E-05
-0.4,-1.4596E-05
-0.39,-1.37147E-05
-0.38,-1.28341E-05
-0.37,-1.20002E-05
-0.36,-1.12013E-05
-0.35,-1.04877E-05
-0.34,-9.76237E-06
-0.33,-9.05986E-06
-0.32,-8.40679E-06
-0.31,-7.77497E-06
-0.3,-7.16152E-06
-0.29,-6.59926E-06
-0.28,-6.06597E-06
-0.27,-5.56329E-06
-0.26,-5.07987E-06
-0.25,-4.63439E-06
-0.24,-4.22117E-06
-0.23,-3.82628E-06
-0.22,-3.4697E-06
-0.21,-3.14401E-06
-0.2,-2.84645E-06
-0.19,-2.56505E-06
-0.18,-2.31366E-06
-0.17,-2.07464E-06
-0.16,-1.85407E-06
-0.15,-1.65571E-06
-0.14,-1.47844E-06
-0.13,-1.31852E-06
-0.12,-1.1715E-06
-0.11,-1.03622E-06
-0.1,-9.09998E-07
-0.09,-7.93068E-07
-0.08,-6.83477E-07
-0.07,-5.82052E-07
-0.06,-4.85031E-07
-0.05,-3.91655E-07
-0.04,-3.03982E-07
-0.03,-2.21154E-07
-0.02,-1.40449E-07
-0.01,-6.15943E-08
0,1.42896E-08
