Setup title,"I/V Sweep_light_0-3"
1.81,1.123228E-05
1.82,1.13401E-05
1.83,1.15212E-05
1.84,1.15754E-05
1.85,1.16826E-05
1.86,1.1757E-05
1.87,1.17825E-05
1.88,1.1804E-05
1.89,1.18779E-05
1.9,1.19611E-05
1.91,1.19748E-05
1.92,1.20424E-05
1.93,1.21417E-05
1.94,1.22102E-05
1.95,1.23045E-05
1.96,1.23594E-05
1.97,1.23581E-05
1.98,1.243E-05
1.99,1.25284E-05
2,1.26652E-05
2.01,1.26471E-05
2.02,1.2689E-05
2.03,1.27716E-05
2.04,1.28489E-05
2.05,1.30119E-05
2.06,1.3076E-05
2.07,1.32065E-05
2.08,1.3237E-05
2.09,1.33994E-05
2.1,1.3386E-05
2.11,1.34387E-05
2.12,1.33315E-05
2.13,1.33405E-05
2.14,1.33883E-05
2.15,1.34307E-05
2.16,1.35401E-05
2.17,1.35262E-05
2.18,1.38934E-05
2.19,1.39306E-05
2.2,1.44542E-05
2.21,1.44516E-05
2.22,1.44089E-05
2.23,1.43882E-05
2.24,1.44236E-05
2.25,1.4705E-05
2.26,1.50055E-05
2.27,1.51116E-05
2.28,1.51048E-05
2.29,1.52309E-05
2.3,1.52598E-05
2.31,1.52806E-05
2.32,1.53755E-05
2.33,1.54886E-05
2.34,1.55316E-05
2.35,1.56588E-05
2.36,1.57924E-05
2.37,1.58523E-05
2.38,1.58781E-05
2.39,1.58794E-05
2.4,1.5897E-05
2.41,1.59768E-05
2.42,1.60438E-05
2.43,1.61668E-05
2.44,1.63117E-05
2.45,1.63847E-05
2.46,1.64241E-05
2.47,1.65014E-05
2.48,1.65457E-05
2.49,1.658E-05
2.5,1.66528E-05
2.51,1.67613E-05
2.52,1.68021E-05
2.53,1.69572E-05
2.54,1.6996E-05
2.55,1.70894E-05
2.56,1.70866E-05
2.57,1.7177E-05
2.58,1.72384E-05
2.59,1.73801E-05
2.6,1.73992E-05
2.61,1.74376E-05
2.62,1.75413E-05
2.63,1.75839E-05
2.64,1.76935E-05
2.65,1.77182E-05
2.66,1.77945E-05
2.67,1.79373E-05
2.68,1.79514E-05
2.69,1.78902E-05
2.7,1.80158E-05
2.71,1.801E-05
2.72,1.82539E-05
2.73,1.81891E-05
2.74,1.82732E-05
2.75,1.83399E-05
2.76,1.82662E-05
2.77,1.84879E-05
2.78,1.86158E-05
2.79,1.87119E-05
2.8,1.8739E-05
2.81,1.88348E-05
2.82,1.89137E-05
2.83,1.91894E-05
2.84,1.92823E-05
2.85,1.94224E-05
2.86,1.94723E-05
2.87,1.94881E-05
2.88,1.95574E-05
2.89,1.96901E-05
2.9,1.97483E-05
2.91,1.97954E-05
2.92,1.988E-05
2.93,1.99523E-05
2.94,2.00827E-05
2.95,2.00604E-05
2.96,2.01171E-05
2.97,2.00525E-05
2.98,2.01842E-05
2.99,2.0307E-05
3,2.04927E-05
3,2.05315E-05
2.99,2.03912E-05
2.98,2.00502E-05
2.97,1.97895E-05
2.96,1.97263E-05
2.95,1.96237E-05
2.94,1.96039E-05
2.93,1.94777E-05
2.92,1.94246E-05
2.91,1.93407E-05
2.9,1.92616E-05
2.89,1.94516E-05
2.88,1.93493E-05
2.87,1.93177E-05
2.86,1.93115E-05
2.85,1.92191E-05
2.84,1.92558E-05
2.83,1.95603E-05
2.82,1.94962E-05
2.81,1.93974E-05
2.8,1.93064E-05
2.79,1.9216E-05
2.78,1.92688E-05
2.77,1.91769E-05
2.76,1.89961E-05
2.75,1.89059E-05
2.74,1.88259E-05
2.73,1.87679E-05
2.72,1.87279E-05
2.71,1.86929E-05
2.7,1.86346E-05
2.69,1.85157E-05
2.68,1.84115E-05
2.67,1.84292E-05
2.66,1.83228E-05
2.65,1.82832E-05
2.64,1.82282E-05
2.63,1.82006E-05
2.62,1.81564E-05
2.61,1.80772E-05
2.6,1.80127E-05
2.59,1.80447E-05
2.58,1.79704E-05
2.57,1.78948E-05
2.56,1.77252E-05
2.55,1.75794E-05
2.54,1.75311E-05
2.53,1.74119E-05
2.52,1.73532E-05
2.51,1.73716E-05
2.5,1.72374E-05
2.49,1.7223E-05
2.48,1.7151E-05
2.47,1.70953E-05
2.46,1.70219E-05
2.45,1.69413E-05
2.44,1.69073E-05
2.43,1.68387E-05
2.42,1.67928E-05
2.41,1.66774E-05
2.4,1.65958E-05
2.39,1.65416E-05
2.38,1.64516E-05
2.37,1.63577E-05
2.36,1.6248E-05
2.35,1.61494E-05
2.34,1.60346E-05
2.33,1.59185E-05
2.32,1.58119E-05
2.31,1.5778E-05
2.3,1.5767E-05
2.29,1.56993E-05
2.28,1.55877E-05
2.27,1.55021E-05
2.26,1.53705E-05
2.25,1.53158E-05
2.24,1.52144E-05
2.23,1.51307E-05
2.22,1.50769E-05
2.21,1.50317E-05
2.2,1.49574E-05
2.19,1.4938E-05
2.18,1.48855E-05
2.17,1.47765E-05
2.16,1.46858E-05
2.15,1.46578E-05
2.14,1.46016E-05
2.13,1.45091E-05
2.12,1.44499E-05
2.11,1.44095E-05
2.1,1.43225E-05
2.09,1.42991E-05
2.08,1.41807E-05
2.07,1.4112E-05
2.06,1.40002E-05
2.05,1.39285E-05
2.04,1.38844E-05
2.03,1.38075E-05
2.02,1.37735E-05
2.01,1.37106E-05
2,1.36251E-05
1.99,1.35578E-05
1.98,1.34472E-05
1.97,1.34257E-05
1.96,1.33793E-05
1.95,1.33194E-05
1.94,1.32207E-05
1.93,1.3104E-05
1.92,1.31608E-05
1.91,1.30478E-05
1.9,1.29717E-05
1.89,1.29241E-05
1.88,1.28091E-05
1.87,1.27771E-05
1.86,1.26676E-05
1.85,1.26121E-05
1.84,1.25629E-05
1.83,1.24863E-05
1.82,1.24147E-05
1.81,1.23534E-05
1.8,1.22772E-05
1.79,1.21825E-05
1.78,1.20871E-05
1.77,1.20513E-05
1.76,1.20353E-05
1.75,1.19872E-05
1.74,1.19174E-05
1.73,1.18588E-05
1.72,1.17221E-05
1.71,1.17298E-05
1.7,1.16443E-05
1.69,1.15233E-05
1.68,1.14344E-05
1.67,1.13389E-05
1.66,1.12205E-05
1.65,1.1166E-05
1.64,1.10401E-05
1.63,1.1001E-05
1.62,1.09258E-05
1.61,1.0875E-05
1.6,1.07851E-05
1.59,1.07132E-05
1.58,1.06299E-05
1.57,1.05561E-05
1.56,1.04742E-05
1.55,1.03848E-05
1.54,1.03458E-05
1.53,1.02528E-05
1.52,1.01411E-05
1.51,1.00708E-05
1.5,1.001138E-05
1.49,9.93153E-06
1.48,9.8632E-06
1.47,9.82397E-06
1.46,9.70166E-06
1.45,9.65628E-06
1.44,9.60911E-06
1.43,9.56467E-06
1.42,9.50214E-06
1.41,9.41969E-06
1.4,9.37433E-06
1.39,9.28831E-06
1.38,9.22199E-06
1.37,9.15843E-06
1.36,9.06994E-06
1.35,8.9894E-06
1.34,8.8972E-06
1.33,8.8556E-06
1.32,8.75239E-06
1.31,8.7077E-06
1.3,8.65061E-06
1.29,8.57954E-06
1.28,8.50693E-06
1.27,8.44166E-06
1.26,8.37711E-06
1.25,8.3186E-06
1.24,8.21778E-06
1.23,8.16985E-06
1.22,8.08634E-06
1.21,8.04032E-06
1.2,8.01988E-06
1.19,7.90167E-06
1.18,7.80402E-06
1.17,7.73821E-06
1.16,7.6712E-06
1.15,7.62291E-06
1.14,7.56064E-06
1.13,7.50664E-06
1.12,7.40225E-06
1.11,7.37809E-06
1.1,7.31022E-06
1.09,7.22762E-06
1.08,7.16621E-06
1.07,7.06587E-06
1.06,6.97063E-06
1.05,6.88482E-06
1.04,6.81147E-06
1.03,6.75029E-06
1.02,6.68851E-06
1.01,6.65223E-06
1,6.59728E-06
0.99,6.51886E-06
0.98,6.44797E-06
0.97,6.38734E-06
0.96,6.33051E-06
0.95,6.27084E-06
0.94,6.19709E-06
0.93,6.14584E-06
0.92,6.06298E-06
0.91,5.91997E-06
0.9,5.85873E-06
0.89,5.81384E-06
0.88,5.73938E-06
0.87,5.67996E-06
0.86,5.62019E-06
0.85,5.58451E-06
0.84,5.47214E-06
0.83,5.42798E-06
0.82,5.35848E-06
0.81,5.30345E-06
0.8,5.23063E-06
0.79,5.17261E-06
0.78,5.12672E-06
0.77,5.04822E-06
0.76,4.97631E-06
0.75,4.88519E-06
0.74,4.82876E-06
0.73,4.7656E-06
0.72,4.68281E-06
0.71,4.58731E-06
0.7,4.53407E-06
0.69,4.47435E-06
0.68,4.40788E-06
0.67,4.36132E-06
0.66,4.29031E-06
0.65,4.21645E-06
0.64,4.15325E-06
0.63,4.09213E-06
0.62,4.03431E-06
0.61,3.96901E-06
0.6,3.92422E-06
0.59,3.84887E-06
0.58,3.78565E-06
0.57,3.71804E-06
0.56,3.6556E-06
0.55,3.58968E-06
0.54,3.54398E-06
0.53,3.48644E-06
0.52,3.42693E-06
0.51,3.36208E-06
0.5,3.30133E-06
0.49,3.23707E-06
0.48,3.19085E-06
0.47,3.10928E-06
0.46,3.05085E-06
0.45,2.97805E-06
0.44,2.91564E-06
0.43,2.84509E-06
0.42,2.78275E-06
0.41,2.72052E-06
0.4,2.65828E-06
0.39,2.60256E-06
0.38,2.54082E-06
0.37,2.47766E-06
0.36,2.41113E-06
0.35,2.33252E-06
0.34,2.2724E-06
0.33,2.21502E-06
0.32,2.14282E-06
0.31,2.07137E-06
0.3,2.0059E-06
0.29,1.94203E-06
0.28,1.88093E-06
0.27,1.81301E-06
0.26,1.74559E-06
0.25,1.6848E-06
0.24,1.62036E-06
0.23,1.55633E-06
0.22,1.49158E-06
0.21,1.41741E-06
0.2,1.3519E-06
0.19,1.28463E-06
0.18,1.22057E-06
0.17,1.15225E-06
0.16,1.09001E-06
0.15,1.02555E-06
0.14,9.61704E-07
0.13,8.96494E-07
0.12,8.32318E-07
0.11,7.67813E-07
0.1,7.04283E-07
0.09,6.37986E-07
0.08,5.71961E-07
0.07,5.04322E-07
0.06,4.36144E-07
0.05,3.6799E-07
0.04,2.9985E-07
0.03,2.31029E-07
0.02,1.61072E-07
0.01,8.99109E-08
0,1.7288E-08
