Setup title,"I/V Sweep_light_0-(-2)"
-0.66,-3.71397E-05
-0.64,-3.47584E-05
-0.62,-3.23803E-05
-0.6,-3.01121E-05
-0.58,-2.7876E-05
-0.56,-2.57467E-05
-0.54,-2.36804E-05
-0.52,-2.16929E-05
-0.5,-1.98363E-05
-0.48,-1.80203E-05
-0.46,-1.63125E-05
-0.44,-1.46106E-05
-0.42,-1.30783E-05
-0.4,-1.16139E-05
-0.38,-1.02656E-05
-0.36,-9.00481E-06
-0.34,-7.86722E-06
-0.32,-6.80885E-06
-0.3,-5.85089E-06
-0.28,-4.99033E-06
-0.26,-4.22807E-06
-0.24,-3.54625E-06
-0.22,-2.93932E-06
-0.2,-2.44748E-06
-0.18,-2.00087E-06
-0.16,-1.63133E-06
-0.14,-1.32088E-06
-0.12,-1.05523E-06
-0.1,-8.23885E-07
-0.08,-6.20812E-07
-0.06,-4.46044E-07
-0.04,-2.83194E-07
-0.02,-1.30211E-07
0,1.44154E-08
