Setup title,"I/V Sweep_light_0-2"
1.8,1.141881E-05
1.81,1.15799E-05
1.82,1.16506E-05
1.83,1.16211E-05
1.84,1.16994E-05
1.85,1.18062E-05
1.86,1.18594E-05
1.87,1.19293E-05
1.88,1.19695E-05
1.89,1.2003E-05
1.9,1.2066E-05
1.91,1.21697E-05
1.92,1.22607E-05
1.93,1.23659E-05
1.94,1.24235E-05
1.95,1.24992E-05
1.96,1.25615E-05
1.97,1.26348E-05
1.98,1.26586E-05
1.99,1.27165E-05
2,1.27553E-05
2,1.27415E-05
1.99,1.26984E-05
1.98,1.2683E-05
1.97,1.26058E-05
1.96,1.2533E-05
1.95,1.24415E-05
1.94,1.23646E-05
1.93,1.23025E-05
1.92,1.2298E-05
1.91,1.22775E-05
1.9,1.22014E-05
1.89,1.22523E-05
1.88,1.21483E-05
1.87,1.20369E-05
1.86,1.20076E-05
1.85,1.19235E-05
1.84,1.18444E-05
1.83,1.17703E-05
1.82,1.16671E-05
1.81,1.16224E-05
1.8,1.1571E-05
1.79,1.14935E-05
1.78,1.14016E-05
1.77,1.13319E-05
1.76,1.13122E-05
1.75,1.11994E-05
1.74,1.11381E-05
1.73,1.10484E-05
1.72,1.09525E-05
1.71,1.09118E-05
1.7,1.08503E-05
1.69,1.07616E-05
1.68,1.07278E-05
1.67,1.07614E-05
1.66,1.0701E-05
1.65,1.06025E-05
1.64,1.05804E-05
1.63,1.05366E-05
1.62,1.04563E-05
1.61,1.03479E-05
1.6,1.03257E-05
1.59,1.02183E-05
1.58,1.01838E-05
1.57,1.01471E-05
1.56,1.00309E-05
1.55,9.92601E-06
1.54,9.85034E-06
1.53,9.79928E-06
1.52,9.71226E-06
1.51,9.65654E-06
1.5,9.61098E-06
1.49,9.70527E-06
1.48,9.56858E-06
1.47,9.37889E-06
1.46,9.322E-06
1.45,9.24035E-06
1.44,9.26298E-06
1.43,9.14367E-06
1.42,9.08955E-06
1.41,9.03381E-06
1.4,8.97748E-06
1.39,8.90347E-06
1.38,8.82905E-06
1.37,8.73543E-06
1.36,8.66265E-06
1.35,8.54566E-06
1.34,8.50018E-06
1.33,8.42629E-06
1.32,8.27634E-06
1.31,8.22894E-06
1.3,8.18989E-06
1.29,8.10092E-06
1.28,8.04811E-06
1.27,7.9615E-06
1.26,7.94825E-06
1.25,7.91071E-06
1.24,7.85375E-06
1.23,7.78207E-06
1.22,7.69695E-06
1.21,7.6326E-06
1.2,7.4217E-06
1.19,7.31352E-06
1.18,7.18717E-06
1.17,7.10815E-06
1.16,7.08444E-06
1.15,7.08124E-06
1.14,7.12237E-06
1.13,7.08162E-06
1.12,6.95491E-06
1.11,6.84221E-06
1.1,6.80177E-06
1.09,6.74533E-06
1.08,6.73769E-06
1.07,6.63104E-06
1.06,6.51422E-06
1.05,6.44383E-06
1.04,6.3447E-06
1.03,6.29161E-06
1.02,6.23614E-06
1.01,6.18775E-06
1,6.10029E-06
0.99,6.0419E-06
0.98,5.96302E-06
0.97,5.90401E-06
0.96,5.83842E-06
0.95,5.77261E-06
0.94,5.67762E-06
0.93,5.60872E-06
0.92,5.55147E-06
0.91,5.4909E-06
0.9,5.47293E-06
0.89,5.41288E-06
0.88,5.34664E-06
0.87,5.27744E-06
0.86,5.19829E-06
0.85,5.16573E-06
0.84,5.10741E-06
0.83,5.01383E-06
0.82,4.93856E-06
0.81,4.87544E-06
0.8,4.86107E-06
0.79,4.79065E-06
0.78,4.72834E-06
0.77,4.69317E-06
0.76,4.63726E-06
0.75,4.59816E-06
0.74,4.5718E-06
0.73,4.51755E-06
0.72,4.44535E-06
0.71,4.39715E-06
0.7,4.33989E-06
0.69,4.28667E-06
0.68,4.2311E-06
0.67,4.13978E-06
0.66,4.04811E-06
0.65,3.98566E-06
0.64,3.90994E-06
0.63,3.8391E-06
0.62,3.78889E-06
0.61,3.73307E-06
0.6,3.66094E-06
0.59,3.59881E-06
0.58,3.56421E-06
0.57,3.53014E-06
0.56,3.46214E-06
0.55,3.37799E-06
0.54,3.33445E-06
0.53,3.28157E-06
0.52,3.2186E-06
0.51,3.14574E-06
0.5,3.06944E-06
0.49,3.00583E-06
0.48,2.94169E-06
0.47,2.87539E-06
0.46,2.81168E-06
0.45,2.7546E-06
0.44,2.68604E-06
0.43,2.63515E-06
0.42,2.58724E-06
0.41,2.5173E-06
0.4,2.44868E-06
0.39,2.37993E-06
0.38,2.32823E-06
0.37,2.26454E-06
0.36,2.21189E-06
0.35,2.14639E-06
0.34,2.07609E-06
0.33,2.01944E-06
0.32,1.95753E-06
0.31,1.89237E-06
0.3,1.82654E-06
0.29,1.76525E-06
0.28,1.70176E-06
0.27,1.63925E-06
0.26,1.59065E-06
0.25,1.51665E-06
0.24,1.46513E-06
0.23,1.40114E-06
0.22,1.33926E-06
0.21,1.27793E-06
0.2,1.22318E-06
0.19,1.16499E-06
0.18,1.10741E-06
0.17,1.05158E-06
0.16,9.89724E-07
0.15,9.28442E-07
0.14,8.70635E-07
0.13,8.11757E-07
0.12,7.52958E-07
0.11,6.90426E-07
0.1,6.32943E-07
0.09,5.74032E-07
0.08,5.13655E-07
0.07,4.53383E-07
0.06,3.92318E-07
0.05,3.31098E-07
0.04,2.68503E-07
0.03,2.06697E-07
0.02,1.43672E-07
0.01,7.88181E-08
0,1.35432E-08
