Setup title,"I/V Sweep_0_1v_dark"
-0.47,-1.9953E-05
-0.46,-1.89435E-05
-0.45,-1.79802E-05
-0.44,-1.70433E-05
-0.43,-1.61226E-05
-0.42,-1.52363E-05
-0.41,-1.43618E-05
-0.4,-1.35312E-05
-0.39,-1.27261E-05
-0.38,-1.19376E-05
-0.37,-1.11822E-05
-0.36,-1.04513E-05
-0.35,-9.74229E-06
-0.34,-9.06946E-06
-0.33,-8.42001E-06
-0.32,-7.80645E-06
-0.31,-7.20664E-06
-0.3,-6.64685E-06
-0.29,-6.13125E-06
-0.28,-5.63338E-06
-0.27,-5.15717E-06
-0.26,-4.71013E-06
-0.25,-4.30007E-06
-0.24,-3.9172E-06
-0.23,-3.55969E-06
-0.22,-3.23161E-06
-0.21,-2.92931E-06
-0.2,-2.64885E-06
-0.19,-2.39291E-06
-0.18,-2.15994E-06
-0.17,-1.94454E-06
-0.16,-1.74813E-06
-0.15,-1.57024E-06
-0.14,-1.40829E-06
-0.13,-1.25978E-06
-0.12,-1.12123E-06
-0.11,-9.96521E-07
-0.1,-8.78934E-07
-0.09,-7.6913E-07
-0.08,-6.66042E-07
-0.07,-5.69875E-07
-0.06,-4.78065E-07
-0.05,-3.90488E-07
-0.04,-3.0665E-07
-0.03,-2.2666E-07
-0.02,-1.48635E-07
-0.01,-7.27911E-08
0,6.2571E-10
