Setup title,"I/V Sweep_0_-3"
-1.63,1.9E-12
-1.64,1.7E-12
-1.65,9E-13
-1.66,2.4E-12
-1.67,8E-13
-1.68,9E-13
-1.69,3E-12
-1.7,1.9E-12
-1.71,2.7E-12
-1.72,2.2E-12
-1.73,2.4E-12
-1.74,2.5E-12
-1.75,1.9E-12
-1.76,1.5E-12
-1.77,2.2E-12
-1.78,2E-12
-1.79,3.2E-12
-1.8,1.8E-12
-1.81,2.6E-12
-1.82,1.9E-12
-1.83,2E-12
-1.84,2E-12
-1.85,2.1E-12
-1.86,1.8E-12
-1.87,1.6E-12
-1.88,2.3E-12
-1.89,1.1E-12
-1.9,2.4E-12
-1.91,2.8E-12
-1.92,1E-13
-1.93,3.1E-12
-1.94,1.5E-12
-1.95,1.8E-12
-1.96,3E-13
-1.97,1.4E-12
-1.98,1.7E-12
-1.99,2.9E-12
-2,2.7E-12
-2.01,2.4E-12
-2.02,1.4E-12
-2.03,1.6E-12
-2.04,-2E-13
-2.05,1.9E-12
-2.06,1.5E-12
-2.07,1.9E-12
-2.08,2.2E-12
-2.09,2.4E-12
-2.1,2.1E-12
-2.11,2E-12
-2.12,1.8E-12
-2.13,7E-13
-2.14,1.7E-12
-2.15,4E-13
-2.16,2.5E-12
-2.17,3E-13
-2.18,2.1E-12
-2.19,1.7E-12
-2.2,1.2E-12
-2.21,2.2E-12
-2.22,2.5E-12
-2.23,1.7E-12
-2.24,1.8E-12
-2.25,9E-13
-2.26,1.4E-12
-2.27,1.5E-12
-2.28,9E-13
-2.29,7E-13
-2.3,1.3E-12
-2.31,6E-13
-2.32,2E-12
-2.33,8E-13
-2.34,2E-13
-2.35,2E-13
-2.36,1E-12
-2.37,-5E-13
-2.38,-2E-13
-2.39,1.4E-12
-2.4,1.4E-12
-2.41,6E-13
-2.42,8E-13
-2.43,-5E-13
-2.44,1E-13
-2.45,-2E-13
-2.46,9E-13
-2.47,1E-13
-2.48,8E-13
-2.49,1E-12
-2.5,1E-13
-2.51,-1.2E-12
-2.52,1E-13
-2.53,-7E-13
-2.54,4E-13
-2.55,4E-13
-2.56,-1.2E-12
-2.57,8E-13
-2.58,5E-13
-2.59,-1.1E-12
-2.6,5E-13
-2.61,-1.2E-12
-2.62,-1.2E-12
-2.63,-8E-13
-2.64,-7E-13
-2.65,-9E-13
-2.66,-1.8E-12
-2.67,-2.6E-12
-2.68,-9E-13
-2.69,-1.1E-12
-2.7,-1.5E-12
-2.71,-1.5E-12
-2.72,-2.1E-12
-2.73,-2.3E-12
-2.74,-1.9E-12
-2.75,-2.3E-12
-2.76,-3.2E-12
-2.77,-2.8E-12
-2.78,-3.4E-12
-2.79,-4.6E-12
-2.8,-2.8E-12
-2.81,-3.7E-12
-2.82,-3.8E-12
-2.83,-2.6E-12
-2.84,-3.9E-12
-2.85,-1.7E-12
-2.86,-4.5E-12
-2.87,-4.2E-12
-2.88,-3.4E-12
-2.89,-3.6E-12
-2.9,-5.2E-12
-2.91,-4.1E-12
-2.92,-5.1E-12
-2.93,-4.3E-12
-2.94,-6.2E-12
-2.95,-5.3E-12
-2.96,-5E-12
-2.97,-5.5E-12
-2.98,-5.3E-12
-2.99,-5.2E-12
-3,-6.2E-12
-3,-5.1E-12
-2.99,-4E-12
-2.98,-1.2E-12
-2.97,0
-2.96,6E-13
-2.95,3E-12
-2.94,4.3E-12
-2.93,5.9E-12
-2.92,5.7E-12
-2.91,5.2E-12
-2.9,8.5E-12
-2.89,6.9E-12
-2.88,7E-12
-2.87,7.4E-12
-2.86,8.1E-12
-2.85,9.3E-12
-2.84,8.3E-12
-2.83,6.8E-12
-2.82,8.1E-12
-2.81,8.5E-12
-2.8,9E-12
-2.79,7.9E-12
-2.78,8.9E-12
-2.77,8.1E-12
-2.76,7.5E-12
-2.75,6.9E-12
-2.74,7.4E-12
-2.73,8.6E-12
-2.72,7.7E-12
-2.71,8.1E-12
-2.7,7.3E-12
-2.69,7.1E-12
-2.68,6.3E-12
-2.67,7.6E-12
-2.66,5.4E-12
-2.65,5.8E-12
-2.64,6.1E-12
-2.63,4.9E-12
-2.62,6.3E-12
-2.61,5.8E-12
-2.6,6.1E-12
-2.59,5.9E-12
-2.58,6.6E-12
-2.57,6.3E-12
-2.56,5.4E-12
-2.55,5.5E-12
-2.54,4.9E-12
-2.53,5.7E-12
-2.52,4.5E-12
-2.51,3.5E-12
-2.5,4.2E-12
-2.49,3.8E-12
-2.48,5.3E-12
-2.47,4.6E-12
-2.46,4.3E-12
-2.45,4.8E-12
-2.44,3.2E-12
-2.43,3.7E-12
-2.42,3.4E-12
-2.41,5E-12
-2.4,3.5E-12
-2.39,4.2E-12
-2.38,3.3E-12
-2.37,4.1E-12
-2.36,3.6E-12
-2.35,3.9E-12
-2.34,3E-12
-2.33,4.5E-12
-2.32,4.6E-12
-2.31,4.3E-12
-2.3,3.3E-12
-2.29,4.4E-12
-2.28,3.7E-12
-2.27,4.8E-12
-2.26,3.1E-12
-2.25,2.5E-12
-2.24,2.1E-12
-2.23,3.9E-12
-2.22,4.1E-12
-2.21,2.7E-12
-2.2,2.8E-12
-2.19,2.6E-12
-2.18,2.9E-12
-2.17,3.3E-12
-2.16,3E-12
-2.15,3E-12
-2.14,3.3E-12
-2.13,2.6E-12
-2.12,2.9E-12
-2.11,4.3E-12
-2.1,3.4E-12
-2.09,2.7E-12
-2.08,3.7E-12
-2.07,3.9E-12
-2.06,3E-12
-2.05,3.2E-12
-2.04,4E-12
-2.03,2.3E-12
-2.02,2.1E-12
-2.01,4.4E-12
-2,1.9E-12
-1.99,3.5E-12
-1.98,2.3E-12
-1.97,1.8E-12
-1.96,1.8E-12
-1.95,3.6E-12
-1.94,2.3E-12
-1.93,3.2E-12
-1.92,1.8E-12
-1.91,2.9E-12
-1.9,2.1E-12
-1.89,1.7E-12
-1.88,2.7E-12
-1.87,1.6E-12
-1.86,8E-13
-1.85,7E-13
-1.84,1.5E-12
-1.83,2.3E-12
-1.82,3E-12
-1.81,1.4E-12
-1.8,2.2E-12
-1.79,2.4E-12
-1.78,1.4E-12
-1.77,2.2E-12
-1.76,1.6E-12
-1.75,4.4E-12
-1.74,1.9E-12
-1.73,3E-12
-1.72,2.7E-12
-1.71,2.7E-12
-1.7,2.8E-12
-1.69,2.5E-12
-1.68,3.6E-12
-1.67,2.3E-12
-1.66,2.1E-12
-1.65,7E-13
-1.64,1.7E-12
-1.63,2E-12
-1.62,1.8E-12
-1.61,2.1E-12
-1.6,2.5E-12
-1.59,2.7E-12
-1.58,8E-13
-1.57,-3E-13
-1.56,2.8E-12
-1.55,3.2E-12
-1.54,3E-13
-1.53,2.6E-12
-1.52,3.3E-12
-1.51,3.6E-12
-1.5,5E-13
-1.49,1.5E-12
-1.48,3.2E-12
-1.47,2.5E-12
-1.46,1.4E-12
-1.45,2.4E-12
-1.44,3.8E-12
-1.43,3.8E-12
-1.42,1.5E-12
-1.41,1.6E-12
-1.4,3.1E-12
-1.39,1.2E-12
-1.38,2E-12
-1.37,2E-12
-1.36,2.3E-12
-1.35,2.8E-12
-1.34,2.4E-12
-1.33,2.5E-12
-1.32,2.3E-12
-1.31,3.5E-12
-1.3,1.8E-12
-1.29,4.6E-12
-1.28,4E-12
-1.27,4E-12
-1.26,1.7E-12
-1.25,4.6E-12
-1.24,3.4E-12
-1.23,1.2E-12
-1.22,2.4E-12
-1.21,2.7E-12
-1.2,3E-12
-1.19,-4E-13
-1.18,2.5E-12
-1.17,3.1E-12
-1.16,3.1E-12
-1.15,4.1E-12
-1.14,1.8E-12
-1.13,2.4E-12
-1.12,4.7E-12
-1.11,1.8E-12
-1.1,-8E-13
-1.09,3.6E-12
-1.08,2.8E-12
-1.07,3.2E-12
-1.06,-1E-13
-1.05,5.9E-12
-1.04,3.2E-12
-1.03,5E-13
-1.02,3.8E-12
-1.01,3.8E-12
-1,2.9E-12
-0.99,2.4E-12
-0.98,2E-12
-0.97,2.9E-12
-0.96,2.6E-12
-0.95,2.6E-12
-0.94,-6E-13
-0.93,3.5E-12
-0.92,2.5E-12
-0.91,2E-12
-0.9,1.8E-12
-0.89,2E-12
-0.88,2.4E-12
-0.87,2.4E-12
-0.86,1.1E-12
-0.85,3.3E-12
-0.84,5E-12
-0.83,5E-13
-0.82,5E-12
-0.81,2.8E-12
-0.8,-8E-13
-0.79,3.1E-12
-0.78,1.9E-12
-0.77,2E-12
-0.76,6.5E-12
-0.75,3.4E-12
-0.74,3.2E-12
-0.73,2.8E-12
-0.72,1.9E-12
-0.71,5E-13
-0.7,2.2E-12
-0.69,4.4E-12
-0.68,1.5E-12
-0.67,4.7E-12
-0.66,3.2E-12
-0.65,1.4E-12
-0.64,1.5E-12
-0.63,1.9E-12
-0.62,3.3E-12
-0.61,3.5E-12
-0.6,4.5E-12
-0.59,2.4E-12
-0.58,1.5E-12
-0.57,3.3E-12
-0.56,7E-13
-0.55,1.6E-12
-0.54,3.8E-12
-0.53,3.7E-12
-0.52,3E-12
-0.51,4.8E-12
-0.5,1.5E-12
-0.49,1.5E-12
-0.48,4.6E-12
-0.47,4.3E-12
-0.46,2E-12
-0.45,1.8E-12
-0.44,2.6E-12
-0.43,6.4E-12
-0.42,2.1E-12
-0.41,4.1E-12
-0.4,3.8E-12
-0.39,2E-12
-0.38,2.2E-12
-0.37,1.4E-12
-0.36,3.4E-12
-0.35,5E-12
-0.34,2.1E-12
-0.33,4E-13
-0.32,4.4E-12
-0.31,3.4E-12
-0.3,2.1E-12
-0.29,4E-13
-0.28,4.9E-12
-0.27,3.6E-12
-0.26,0
-0.25,3E-12
-0.24,4.4E-12
-0.23,1.8E-12
-0.22,4.1E-12
-0.21,2.6E-12
-0.2,2.4E-12
-0.19,6.5E-12
-0.18,3.6E-12
-0.17,4.3E-12
-0.16,1E-12
-0.15,3.5E-12
-0.14,3.9E-12
-0.13,1.9E-12
-0.12,6.5E-12
-0.11,2.4E-12
-0.1,3.5E-12
-0.09,1.8E-12
-0.08,4.7E-12
-0.07,1.9E-12
-0.06,1E-12
-0.05,3.9E-12
-0.04,1.2E-12
-0.03,1.6E-12
-0.02,4E-13
-0.01,3.4E-12
0,2.7E-12
