Setup title,"I/V-t Sampling_-3V_50S__Dark"
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
Measurement.Sampling.StopCondition.Enabled,true
Measurement.Sampling.StopCondition.EnableDelay,0
Measurement.Sampling.StopCondition.Name,Time
Measurement.Sampling.StopCondition.Threshold,50
Measurement.Sampling.StopCondition.Event,"Val > Th"
Measurement.Sampling.StopCondition.EventCount,1
Time,I1
0.03351,-5.013E-11
0.25068,-3.664E-11
0.4571,-3.541E-11
0.70068,-3.52E-11
0.90068,-3.5E-11
1.10068,-3.485E-11
1.30064,-3.507E-11
1.50064,-3.47E-11
1.70068,-3.469E-11
1.90068,-3.467E-11
2.10064,-3.456E-11
2.30068,-3.45E-11
2.50068,-3.466E-11
2.70146,-3.452E-11
2.90068,-3.445E-11
3.10068,-3.454E-11
3.30068,-3.432E-11
3.50068,-3.431E-11
3.70064,-3.428E-11
3.90068,-3.438E-11
4.10064,-3.434E-11
4.30064,-3.429E-11
4.50064,-3.429E-11
4.70068,-3.434E-11
4.90068,-3.412E-11
5.10068,-3.416E-11
5.30064,-3.427E-11
5.50068,-3.412E-11
5.70144,-3.422E-11
5.90068,-3.4E-11
6.10068,-3.414E-11
6.30064,-3.422E-11
6.50064,-3.396E-11
6.70064,-3.406E-11
6.90064,-3.406E-11
7.10064,-3.392E-11
7.30064,-3.405E-11
7.50068,-3.397E-11
7.70068,-3.397E-11
7.90064,-3.392E-11
8.10068,-3.4E-11
8.30064,-3.393E-11
8.50064,-3.394E-11
8.70068,-3.386E-11
8.90068,-3.39E-11
9.10064,-3.382E-11
9.30068,-3.386E-11
9.50068,-3.373E-11
9.70136,-3.378E-11
9.90068,-3.383E-11
10.10064,-3.377E-11
10.30068,-3.376E-11
10.50064,-3.381E-11
10.70068,-3.366E-11
10.90068,-3.371E-11
11.10068,-3.367E-11
11.30068,-3.364E-11
11.50068,-3.366E-11
11.70068,-3.368E-11
11.90064,-3.368E-11
12.10068,-3.353E-11
12.30064,-3.361E-11
12.50068,-3.37E-11
12.70138,-3.358E-11
12.90063,-3.352E-11
13.10068,-3.353E-11
13.30064,-3.358E-11
13.50068,-3.345E-11
13.70064,-3.349E-11
13.90068,-3.341E-11
14.10064,-3.344E-11
14.30068,-3.334E-11
14.50068,-3.337E-11
14.70068,-3.329E-11
14.90064,-3.347E-11
15.10068,-3.33E-11
15.30068,-3.336E-11
15.50064,-3.338E-11
15.70138,-3.336E-11
15.90083,-3.331E-11
16.10063,-3.331E-11
16.30068,-3.316E-11
16.50068,-3.318E-11
16.70068,-3.336E-11
16.90068,-3.323E-11
17.10068,-3.326E-11
17.30068,-3.317E-11
17.50064,-3.326E-11
17.70068,-3.306E-11
17.90064,-3.314E-11
18.10064,-3.314E-11
18.30068,-3.317E-11
18.50068,-3.312E-11
18.70141,-3.305E-11
18.90084,-3.316E-11
19.10063,-3.299E-11
19.30068,-3.309E-11
19.50063,-3.302E-11
19.70068,-3.29E-11
19.90067,-3.299E-11
20.10068,-3.304E-11
20.30067,-3.304E-11
20.50068,-3.287E-11
20.70063,-3.284E-11
20.90068,-3.278E-11
21.10063,-3.284E-11
21.30064,-3.29E-11
21.50067,-3.294E-11
21.70136,-3.281E-11
21.90079,-3.286E-11
22.10063,-3.284E-11
22.30063,-3.288E-11
22.50063,-3.276E-11
22.70068,-3.273E-11
22.90068,-3.272E-11
23.10063,-3.273E-11
23.30068,-3.274E-11
23.50068,-3.272E-11
23.70063,-3.275E-11
23.90067,-3.269E-11
24.10063,-3.273E-11
24.30068,-3.268E-11
24.50067,-3.269E-11
24.70136,-3.262E-11
24.90084,-3.265E-11
25.10063,-3.257E-11
25.30064,-3.254E-11
25.50068,-3.263E-11
25.70068,-3.249E-11
25.90068,-3.275E-11
26.10063,-3.243E-11
26.30063,-3.253E-11
26.50063,-3.242E-11
26.70068,-3.261E-11
26.90063,-3.237E-11
27.10063,-3.243E-11
27.30068,-3.257E-11
27.50063,-3.233E-11
27.70129,-3.236E-11
27.90082,-3.246E-11
28.10063,-3.245E-11
28.30063,-3.232E-11
28.50068,-3.235E-11
28.70063,-3.239E-11
28.90068,-3.234E-11
29.10068,-3.232E-11
29.30068,-3.232E-11
29.50064,-3.234E-11
29.70068,-3.228E-11
29.90068,-3.23E-11
30.10063,-3.227E-11
30.30068,-3.226E-11
30.50068,-3.222E-11
30.70128,-3.225E-11
30.9008,-3.22E-11
31.10063,-3.219E-11
31.30068,-3.225E-11
31.50063,-3.214E-11
31.70068,-3.226E-11
31.90067,-3.215E-11
32.10064,-3.212E-11
32.30064,-3.219E-11
32.50064,-3.208E-11
32.70068,-3.209E-11
32.90068,-3.205E-11
33.10068,-3.202E-11
33.30068,-3.208E-11
33.50068,-3.2E-11
33.70127,-3.202E-11
33.9008,-3.201E-11
34.10064,-3.205E-11
34.30068,-3.196E-11
34.50068,-3.195E-11
34.70064,-3.186E-11
34.90064,-3.191E-11
35.10068,-3.187E-11
35.30064,-3.193E-11
35.50068,-3.185E-11
35.70068,-3.19E-11
35.90064,-3.19E-11
36.10068,-3.194E-11
36.30068,-3.18E-11
36.50064,-3.188E-11
36.70118,-3.193E-11
36.9008,-3.193E-11
37.10068,-3.183E-11
37.30064,-3.177E-11
37.50068,-3.173E-11
37.70068,-3.18E-11
37.90063,-3.183E-11
38.10068,-3.179E-11
38.30064,-3.18E-11
38.50068,-3.179E-11
38.70064,-3.173E-11
38.90068,-3.164E-11
39.10063,-3.165E-11
39.30064,-3.169E-11
39.50063,-3.163E-11
39.70117,-3.169E-11
39.90087,-3.165E-11
40.10068,-3.169E-11
40.30068,-3.168E-11
40.50064,-3.164E-11
40.70068,-3.155E-11
40.90068,-3.161E-11
41.10068,-3.153E-11
41.30063,-3.155E-11
41.50063,-3.15E-11
41.70064,-3.156E-11
41.90064,-3.151E-11
42.10068,-3.138E-11
42.30068,-3.152E-11
42.50068,-3.154E-11
42.70682,-3.141E-11
42.95063,-3.142E-11
43.15068,-3.144E-11
43.35068,-3.14E-11
43.55769,-3.138E-11
43.80784,-3.149E-11
44.05778,-3.124E-11
44.3063,-3.128E-11
44.55631,-3.126E-11
44.80635,-3.128E-11
45.05635,-3.137E-11
45.30634,-3.124E-11
45.55635,-3.132E-11
45.80635,-3.129E-11
46.05635,-3.117E-11
46.3063,-3.108E-11
46.55635,-3.117E-11
46.80631,-3.116E-11
47.05631,-3.11E-11
47.30635,-3.112E-11
47.5563,-3.103E-11
47.80631,-3.126E-11
48.05631,-3.106E-11
48.30634,-3.105E-11
48.55635,-3.101E-11
48.805,-3.094E-11
49.055,-3.101E-11
49.30499,-3.101E-11
49.555,-3.102E-11
49.80496,-3.099E-11
50.05496,-3.09E-11
