Setup title,"I/V Sweep_device2_light"
0.86,1.85333E-09
0.85,1.91993E-09
0.84,2.00722E-09
0.83,1.88253E-09
0.82,1.74102E-09
0.81,1.76094E-09
0.8,1.72108E-09
0.79,1.75757E-09
0.78,1.75992E-09
0.77,1.84168E-09
0.76,1.74586E-09
0.75,1.82351E-09
0.74,1.65372E-09
0.73,1.66485E-09
0.72,1.74156E-09
0.71,1.74018E-09
0.7,1.74275E-09
0.69,1.57472E-09
0.68,1.60274E-09
0.67,1.48651E-09
0.66,1.49116E-09
0.65,1.4205E-09
0.64,1.40744E-09
0.63,1.63128E-09
0.62,1.54785E-09
0.61,1.6153E-09
0.6,1.4714E-09
0.59,1.46449E-09
0.58,1.43219E-09
0.57,1.30208E-09
0.56,1.45369E-09
0.55,1.3713E-09
0.54,1.33787E-09
0.53,1.35113E-09
0.52,1.30189E-09
0.51,1.39993E-09
0.5,1.32979E-09
0.49,1.18505E-09
0.48,1.02667E-09
0.47,9.7059E-10
0.46,9.2552E-10
0.45,9.616E-10
0.44,1.09795E-09
0.43,1.05515E-09
0.42,1.0933E-09
0.41,9.1621E-10
0.4,9.0961E-10
0.39,9.7503E-10
0.38,9.36E-10
0.37,8.7037E-10
0.36,8.4233E-10
0.35,8.0109E-10
0.34,7.6406E-10
0.33,7.9757E-10
0.32,7.9489E-10
0.31,7.8868E-10
0.3,7.8153E-10
0.29,7.2037E-10
0.28,6.3886E-10
0.27,5.9353E-10
0.26,5.8079E-10
0.25,5.8748E-10
0.24,6.1852E-10
0.23,6.6411E-10
0.22,6.5248E-10
0.21,6.2422E-10
0.2,5.8308E-10
0.19,5.0565E-10
0.18,4.7227E-10
0.17,3.9789E-10
0.16,3.5955E-10
0.15,3.1034E-10
0.14,2.1801E-10
0.13,1.3453E-10
0.12,1.636E-11
0.11,-1.0453E-10
0.1,-2.5358E-10
0.09,-4.3833E-10
0.08,-6.1743E-10
0.07,-9.4812E-10
0.06,-1.1293E-09
0.05,-1.38205E-09
0.04,-1.64232E-09
0.03,-2.0739E-09
0.02,-2.71222E-09
0.01,-3.21027E-09
0,-3.47381E-09
