Setup title,"I/V Sweep_device2_light"
-0.98,-3.80857E-08
-0.99,-3.78152E-08
-1,-4.12664E-08
-1,-3.6272E-08
-0.99,-3.03915E-08
-0.98,-2.60846E-08
-0.97,-2.40724E-08
-0.96,-2.31402E-08
-0.95,-2.20748E-08
-0.94,-2.13848E-08
-0.93,-2.12859E-08
-0.92,-1.98326E-08
-0.91,-1.86071E-08
-0.9,-1.79532E-08
-0.89,-1.7429E-08
-0.88,-1.62394E-08
-0.87,-1.48993E-08
-0.86,-1.44402E-08
-0.85,-1.40202E-08
-0.84,-1.34242E-08
-0.83,-1.28423E-08
-0.82,-1.25128E-08
-0.81,-1.14695E-08
-0.8,-1.07601E-08
-0.79,-1.02828E-08
-0.78,-1.02164E-08
-0.77,-9.644E-09
-0.76,-8.8874E-09
-0.75,-8.3382E-09
-0.74,-8.1366E-09
-0.73,-7.1727E-09
-0.72,-6.9646E-09
-0.71,-6.8718E-09
-0.7,-6.39047E-09
-0.69,-5.5783E-09
-0.68,-4.85487E-09
-0.67,-5.07729E-09
-0.66,-4.88017E-09
-0.65,-4.80728E-09
-0.64,-4.48679E-09
-0.63,-4.18161E-09
-0.62,-3.81575E-09
-0.61,-3.35219E-09
-0.6,-3.30191E-09
-0.59,-2.88261E-09
-0.58,-2.68152E-09
-0.57,-2.5611E-09
-0.56,-2.10846E-09
-0.55,-1.80523E-09
-0.54,-1.61048E-09
-0.53,-1.32643E-09
-0.52,-1.17706E-09
-0.51,-9.8252E-10
-0.5,-7.9573E-10
-0.49,-5.6832E-10
-0.48,-3.8628E-10
-0.47,-2.4694E-10
-0.46,-1.3594E-10
-0.45,-3.153E-11
-0.44,7.435E-11
-0.43,1.8434E-10
-0.42,2.5429E-10
-0.41,3.5988E-10
-0.4,4.3421E-10
-0.39,5.2144E-10
-0.38,5.3104E-10
-0.37,7.2042E-10
-0.36,6.7537E-10
-0.35,7.2764E-10
-0.34,8.1029E-10
-0.33,7.4688E-10
-0.32,7.7585E-10
-0.31,8.9122E-10
-0.3,8.6457E-10
-0.29,9.1009E-10
-0.28,1.12945E-09
-0.27,9.7671E-10
-0.26,1.01217E-09
-0.25,1.01676E-09
-0.24,1.15083E-09
-0.23,9.9411E-10
-0.22,1.06413E-09
-0.21,1.09876E-09
-0.2,1.13619E-09
-0.19,1.20984E-09
-0.18,1.16443E-09
-0.17,1.13729E-09
-0.16,1.26615E-09
-0.15,1.30387E-09
-0.14,1.29584E-09
-0.13,1.34217E-09
-0.12,1.35617E-09
-0.11,1.17325E-09
-0.1,1.30228E-09
-0.09,1.39395E-09
-0.08,1.38689E-09
-0.07,1.43706E-09
-0.06,1.42774E-09
-0.05,1.50961E-09
-0.04,1.55039E-09
-0.03,1.55778E-09
-0.02,1.54888E-09
-0.01,1.54422E-09
0,1.63862E-09
